Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Aruba,2017,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,40.736265118437
Aruba,2017,Colombia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,17.385887632909
Aruba,2017,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,12.892315642386
Aruba,2017,Venezuela,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11.215439201396
Aruba,2017,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3.326674121591
Aruba,2017,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,621.138214806281
Aruba,2017,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,255.372488047149
Aruba,2017,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,142.906174434168
Aruba,2017,Panama,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,28.181387891936
Aruba,2017,Venezuela,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,22.5737269727794
Aruba,2017,World,Animal,Export,Export(US$ Mil),1.031980044455
Aruba,2017,World,Vegetable,Export,Export(US$ Mil),0.682752247693
Aruba,2017,World,Food Products,Export,Export(US$ Mil),37.851497528413
Aruba,2017,World,Minerals,Export,Export(US$ Mil),0.001819552363
Aruba,2017,World,Fuels,Export,Export(US$ Mil),0.102291580218
Aruba,2017,World,Chemicals,Export,Export(US$ Mil),6.070711598902
Aruba,2017,World,Plastic or Rubber,Export,Export(US$ Mil),0.574521004987
Aruba,2017,World,Hides and Skins,Export,Export(US$ Mil),0.511417677642
Aruba,2017,World,Wood,Export,Export(US$ Mil),0.779968969555
Aruba,2017,World,Textiles and Clothing,Export,Export(US$ Mil),0.436244522602
Aruba,2017,World,Footwear,Export,Export(US$ Mil),0.339144001812
Aruba,2017,World,Stone and Glass,Export,Export(US$ Mil),10.161545199007
Aruba,2017,World,Metals,Export,Export(US$ Mil),16.700330917036
Aruba,2017,World,Mach and Elec,Export,Export(US$ Mil),3.748263901305
Aruba,2017,World,Transportation,Export,Export(US$ Mil),1.518333486062
Aruba,2017,World,Miscellaneous,Export,Export(US$ Mil),8.847918895679
Aruba,2017,World,Raw materials,Export,Export(US$ Mil),15.329323071841
Aruba,2017,World,Intermediate goods,Export,Export(US$ Mil),2.307516418504
Aruba,2017,World,Consumer goods,Export,Export(US$ Mil),62.352905849955
Aruba,2017,World,Capital goods,Export,Export(US$ Mil),5.809579298509
Aruba,2017,World,Raw materials,Import,Import(US$ Mil),132.895448729414
Aruba,2017,World,Intermediate goods,Import,Import(US$ Mil),111.612506197363
Aruba,2017,World,Consumer goods,Import,Import(US$ Mil),747.430857691797
Aruba,2017,World,Capital goods,Import,Import(US$ Mil),178.847578282937
Aruba,2017,World,All Products,Export,Exports (in US$ Mil),89.358741127731
Aruba,2017,World,All Products,Import,Imports (in US$ Mil),1188.58468284285
Aruba,2017,World,All Products,Tariff,Duty Free Imports (US$ Thousand),160119.091743474
Aruba,2017,...,...,Development,Trade Balance (current US$ Mil),-119.55307262569
Aruba,2017,...,...,Development,GDP (current US$ Mil),2700.55865921788
Aruba,2017,...,...,Tariff,No. Of Tariff Agreement,1
Aruba,2017,...,...,Import,No. Of Import partners,15
Aruba,2017,...,...,Import,No. Of Import products,3386
Aruba,2017,...,...,Export,No. Of Export partners,9
Aruba,2017,...,...,Export,No. Of Export products,989
Aruba,2016,...,...,Others,Population,104822
Aruba,2017,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,45.5873
Aruba,2017,Colombia,All Products,Export,Partner share(%)-Top 5 Export Partner,19.4563
Aruba,2017,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,14.4276
Aruba,2017,Venezuela,All Products,Export,Partner share(%)-Top 5 Export Partner,12.551
Aruba,2017,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,3.7228
Aruba,2017,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,52.2586
Aruba,2017,Unspecified,All Products,Import,Partner share(%)-Top 5 Import Partner,21.4854
Aruba,2017,Netherlands,All Products,Import,Partner share(%)-Top 5 Import Partner,12.0232
Aruba,2017,Panama,All Products,Import,Partner share(%)-Top 5 Import Partner,2.371
Aruba,2017,Venezuela,All Products,Import,Partner share(%)-Top 5 Import Partner,1.8992
Aruba,2017,World,Animal,Export,Export Product share(%),1.1549
Aruba,2017,World,Vegetable,Export,Export Product share(%),0.7641
Aruba,2017,World,Food Products,Export,Export Product share(%),42.359
Aruba,2017,World,Minerals,Export,Export Product share(%),0.002
Aruba,2017,World,Fuels,Export,Export Product share(%),0.1145
Aruba,2017,World,Chemicals,Export,Export Product share(%),6.7936
Aruba,2017,World,Plastic or Rubber,Export,Export Product share(%),0.6429
Aruba,2017,World,Hides and Skins,Export,Export Product share(%),0.5723
Aruba,2017,World,Wood,Export,Export Product share(%),0.8729
Aruba,2017,World,Textiles and Clothing,Export,Export Product share(%),0.4882
Aruba,2017,World,Footwear,Export,Export Product share(%),0.3795
Aruba,2017,World,Stone and Glass,Export,Export Product share(%),11.3716
Aruba,2017,World,Metals,Export,Export Product share(%),18.6891
Aruba,2017,World,Mach and Elec,Export,Export Product share(%),4.1946
Aruba,2017,World,Transportation,Export,Export Product share(%),1.6991
Aruba,2017,World,Miscellaneous,Export,Export Product share(%),9.9016
Aruba,2017,World,Raw materials,Export,Export Product share(%),17.1548
Aruba,2017,World,Intermediate goods,Export,Export Product share(%),2.5823
Aruba,2017,World,Consumer goods,Export,Export Product share(%),69.7782
Aruba,2017,World,Capital goods,Export,Export Product share(%),6.5014
Aruba,2017,World,Raw materials,Import,Import Product share(%),11.181
Aruba,2017,World,Intermediate goods,Import,Import Product share(%),9.3904
Aruba,2017,World,Consumer goods,Import,Import Product share(%),62.8841
Aruba,2017,World,Capital goods,Import,Import Product share(%),15.0471
Aruba,2017,World,Raw materials,Tariff,Weighted Average (%),1.60416252603138
Aruba,2017,World,Intermediate goods,Tariff,Weighted Average (%),7.19795733193352
Aruba,2017,World,Consumer goods,Tariff,Weighted Average (%),11.8527485723684
Aruba,2017,World,Capital goods,Tariff,Weighted Average (%),12.8445517779968
Aruba,2017,World,All Products,Trade Indicator,World Growth (%),1.50064825967466
Aruba,2017,World,All Products,Trade Indicator,Country Growth (%),26.1851087711046
Aruba,2017,World,All Products,Tariff,Simple Average (%),9.99108010292642
Aruba,2017,World,All Products,Tariff,Weighted Average (%),10.2985422640028
Aruba,2017,World,All Products,Tariff,Maximum Rate (%),249.353805541992
Aruba,2017,World,All Products,Tariff,Duty Free Tariff Lines Share (%),8.91228070175439
Aruba,2017,...,...,Trade Indicator,Index of export market penetration,1.25322201296616
Aruba,2017,...,...,Trade Indicator,HH Market concentration index,0.121829459623638
Aruba,2017,...,...,Development,Trade Balance (% of GDP),-4.4269755895738
Aruba,2017,...,...,Development,Trade (% of GDP),146.048820852296
Aruba,2017,...,...,Development,"GNI per capita, Atlas method (current US$)",23660
