Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Albania,2017,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1231.68729047249
Albania,2017,"Serbia, FR(Serbia/Montenegro)",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,176.459743451453
Albania,2017,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,126.386976786911
Albania,2017,Greece,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,97.8477705447437
Albania,2017,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,91.599712299752
Albania,2017,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1512.15443033421
Albania,2017,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,646.13807960212
Albania,2017,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,428.341365718907
Albania,2017,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,428.340870889475
Albania,2017,Greece,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,421.10100775541
Albania,2017,World,Animal,Export,Export(US$ Mil),14.6849446224615
Albania,2017,World,Vegetable,Export,Export(US$ Mil),84.248522941601
Albania,2017,World,Food Products,Export,Export(US$ Mil),90.0494515402604
Albania,2017,World,Minerals,Export,Export(US$ Mil),157.188414764781
Albania,2017,World,Fuels,Export,Export(US$ Mil),197.971033934173
Albania,2017,World,Chemicals,Export,Export(US$ Mil),13.3164687622185
Albania,2017,World,Plastic or Rubber,Export,Export(US$ Mil),19.3447935404671
Albania,2017,World,Hides and Skins,Export,Export(US$ Mil),24.7755102949038
Albania,2017,World,Wood,Export,Export(US$ Mil),69.6866803675919
Albania,2017,World,Textiles and Clothing,Export,Export(US$ Mil),503.509787262278
Albania,2017,World,Footwear,Export,Export(US$ Mil),473.596299434989
Albania,2017,World,Stone and Glass,Export,Export(US$ Mil),18.0972038122145
Albania,2017,World,Metals,Export,Export(US$ Mil),350.653648249491
Albania,2017,World,Mach and Elec,Export,Export(US$ Mil),9.41000665758082
Albania,2017,World,Transportation,Export,Export(US$ Mil),20.7753405254172
Albania,2017,World,Miscellaneous,Export,Export(US$ Mil),214.247614111149
Albania,2017,World,Raw materials,Export,Export(US$ Mil),180.236106640532
Albania,2017,World,Intermediate goods,Export,Export(US$ Mil),316.21702831202
Albania,2017,World,Consumer goods,Export,Export(US$ Mil),695.578485442868
Albania,2017,World,Capital goods,Export,Export(US$ Mil),4.2346892604905
Albania,2017,World,Raw materials,Import,Import(US$ Mil),208.323333547894
Albania,2017,World,Intermediate goods,Import,Import(US$ Mil),1267.05742635404
Albania,2017,World,Consumer goods,Import,Import(US$ Mil),1568.90195103378
Albania,2017,World,Capital goods,Import,Import(US$ Mil),384.675017127217
Albania,2017,World,All Products,Export,Exports (in US$ Mil),2261.55572082158
Albania,2017,World,All Products,Import,Imports (in US$ Mil),5717.08328033121
Albania,2017,World,All Products,Tariff,Duty Free Imports (US$ Thousand),2916853.24381889
Albania,2017,...,...,Development,Trade Balance (current US$ Mil),-1960.07210765434
Albania,2017,...,...,Development,GDP (current US$ Mil),13038.5383002644
Albania,2017,...,...,Tariff,No. Of Tariff Agreement,5
Albania,2017,...,...,Import,No. Of Import partners,177
Albania,2017,...,...,Import,No. Of Import products,2216
Albania,2017,...,...,Export,No. Of Export partners,116
Albania,2017,...,...,Export,No. Of Export products,379
Albania,2016,...,...,Others,Population,2876101
Albania,2018,...,...,Others,Ease of Doing Business Rank,65
Albania,2018,...,...,Others,Trading Across Borders Rank,24
Albania,2006,...,...,Others,CPIA Trade Ratings,5
Albania,2016,...,...,Others,LPI Rank,117
Albania,2016,...,...,Others,LPI Score,2.412498
Albania,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0691712
Albania,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0691712
Albania,,...,...,Others,Services Trade Restrictions Index - Over All,19.4
Albania,2017,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,54.4619
Albania,2017,"Serbia, FR(Serbia/Montenegro)",All Products,Export,Partner share(%)-Top 5 Export Partner,7.8026
Albania,2017,Spain,All Products,Export,Partner share(%)-Top 5 Export Partner,5.5885
Albania,2017,Greece,All Products,Export,Partner share(%)-Top 5 Export Partner,4.3266
Albania,2017,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,4.0503
Albania,2017,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,26.4498
Albania,2017,Unspecified,All Products,Import,Partner share(%)-Top 5 Import Partner,11.3019
Albania,2017,Turkey,All Products,Import,Partner share(%)-Top 5 Import Partner,7.4923
Albania,2017,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,7.4923
Albania,2017,Greece,All Products,Import,Partner share(%)-Top 5 Import Partner,7.3657
Albania,2017,World,Animal,Export,Export Product share(%),0.6493
Albania,2017,World,Vegetable,Export,Export Product share(%),3.7252
Albania,2017,World,Food Products,Export,Export Product share(%),3.9817
Albania,2017,World,Minerals,Export,Export Product share(%),6.9505
Albania,2017,World,Fuels,Export,Export Product share(%),8.7538
Albania,2017,World,Chemicals,Export,Export Product share(%),0.5888
Albania,2017,World,Plastic or Rubber,Export,Export Product share(%),0.8554
Albania,2017,World,Hides and Skins,Export,Export Product share(%),1.0955
Albania,2017,World,Wood,Export,Export Product share(%),3.0814
Albania,2017,World,Textiles and Clothing,Export,Export Product share(%),22.2639
Albania,2017,World,Footwear,Export,Export Product share(%),20.9412
Albania,2017,World,Stone and Glass,Export,Export Product share(%),0.8002
Albania,2017,World,Metals,Export,Export Product share(%),15.505
Albania,2017,World,Mach and Elec,Export,Export Product share(%),0.4161
Albania,2017,World,Transportation,Export,Export Product share(%),0.9186
Albania,2017,World,Miscellaneous,Export,Export Product share(%),9.4735
Albania,2017,World,Raw materials,Export,Export Product share(%),7.9696
Albania,2017,World,Intermediate goods,Export,Export Product share(%),13.9823
Albania,2017,World,Consumer goods,Export,Export Product share(%),30.7566
Albania,2017,World,Capital goods,Export,Export Product share(%),0.1872
Albania,2017,World,Raw materials,Import,Import Product share(%),3.6439
Albania,2017,World,Intermediate goods,Import,Import Product share(%),22.1627
Albania,2017,World,Consumer goods,Import,Import Product share(%),27.4423
Albania,2017,World,Capital goods,Import,Import Product share(%),6.7285
Albania,2017,World,Raw materials,Tariff,Weighted Average (%),3.88998268166
Albania,2017,World,Intermediate goods,Tariff,Weighted Average (%),0.146097169038008
Albania,2017,World,Consumer goods,Tariff,Weighted Average (%),1.16807081344195
Albania,2017,World,Capital goods,Tariff,Weighted Average (%),0.482503670934579
Albania,2017,World,All Products,Trade Indicator,World Growth (%),1.50064825967466
Albania,2017,World,All Products,Trade Indicator,Country Growth (%),8.34046686163981
Albania,2017,World,All Products,Tariff,Simple Average (%),1.22056948892559
Albania,2017,World,All Products,Tariff,Weighted Average (%),0.851714604028338
Albania,2017,World,All Products,Tariff,Maximum Rate (%),15
Albania,2017,World,All Products,Tariff,Duty Free Tariff Lines Share (%),84.7248803827751
Albania,2017,...,...,Trade Indicator,Index of export market penetration,3.09954627453124
Albania,2017,...,...,Trade Indicator,HH Market concentration index,0.230674284884416
Albania,2017,...,...,Development,Trade Balance (% of GDP),-15.03291291183
Albania,2017,...,...,Development,Trade in services (% of GDP),40.3088523695212
Albania,2017,...,...,Development,Trade (% of GDP),78.0814560759772
Albania,2017,...,...,Development,"GNI per capita, Atlas method (current US$)",4320
