Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
United Arab Emirates,2016,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,153338.687949
United Arab Emirates,2016,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,41350.848266
United Arab Emirates,2016,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11255.496258
United Arab Emirates,2016,"Iran, Islamic Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8810.49267
United Arab Emirates,2016,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,7424.957019
United Arab Emirates,2016,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,81776.703839
United Arab Emirates,2016,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,22424.486751
United Arab Emirates,2016,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,20587.014437
United Arab Emirates,2016,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,18669.358619
United Arab Emirates,2016,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,12594.493777
United Arab Emirates,2016,World,Animal,Export,Export(US$ Mil),694.998143
United Arab Emirates,2016,World,Vegetable,Export,Export(US$ Mil),2189.314045
United Arab Emirates,2016,World,Food Products,Export,Export(US$ Mil),3899.74652
United Arab Emirates,2016,World,Minerals,Export,Export(US$ Mil),1080.060851
United Arab Emirates,2016,World,Fuels,Export,Export(US$ Mil),45615.668288
United Arab Emirates,2016,World,Chemicals,Export,Export(US$ Mil),2636.428827
United Arab Emirates,2016,World,Plastic or Rubber,Export,Export(US$ Mil),6402.262695
United Arab Emirates,2016,World,Hides and Skins,Export,Export(US$ Mil),147.778255
United Arab Emirates,2016,World,Wood,Export,Export(US$ Mil),1890.472712
United Arab Emirates,2016,World,Textiles and Clothing,Export,Export(US$ Mil),3306.716424
United Arab Emirates,2016,World,Footwear,Export,Export(US$ Mil),410.949793
United Arab Emirates,2016,World,Stone and Glass,Export,Export(US$ Mil),43511.788579
United Arab Emirates,2016,World,Metals,Export,Export(US$ Mil),10138.16953
United Arab Emirates,2016,World,Mach and Elec,Export,Export(US$ Mil),14617.420922
United Arab Emirates,2016,World,Transportation,Export,Export(US$ Mil),10289.006647
United Arab Emirates,2016,World,Miscellaneous,Export,Export(US$ Mil),151820.160167
United Arab Emirates,2016,World,Raw materials,Export,Export(US$ Mil),44414.977466
United Arab Emirates,2016,World,Intermediate goods,Export,Export(US$ Mil),40708.625415
United Arab Emirates,2016,World,Consumer goods,Export,Export(US$ Mil),46415.855509
United Arab Emirates,2016,World,Capital goods,Export,Export(US$ Mil),17413.275276
United Arab Emirates,2016,World,Raw materials,Import,Import(US$ Mil),15209.62167
United Arab Emirates,2016,World,Intermediate goods,Import,Import(US$ Mil),64301.085952
United Arab Emirates,2016,World,Consumer goods,Import,Import(US$ Mil),56592.441644
United Arab Emirates,2016,World,Capital goods,Import,Import(US$ Mil),52982.928491
United Arab Emirates,2016,World,All Products,Export,Exports (in US$ Mil),298650.942398
United Arab Emirates,2016,World,All Products,Import,Imports (in US$ Mil),270882.074394
United Arab Emirates,2016,World,All Products,Tariff,Duty Free Imports (US$ Thousand),86587497.7169999
United Arab Emirates,2017,...,...,Development,Trade Balance (current US$ Mil),106957.113682778
United Arab Emirates,2017,...,...,Development,GDP (current US$ Mil),382575.085091899
United Arab Emirates,2016,...,...,Tariff,No. Of Tariff Agreement,5
United Arab Emirates,2016,...,...,Import,No. Of Import partners,197
United Arab Emirates,2016,...,...,Import,No. Of Import products,4496
United Arab Emirates,2016,...,...,Export,No. Of Export partners,208
United Arab Emirates,2016,...,...,Export,No. Of Export products,4260
United Arab Emirates,2016,...,...,Others,Population,9269612
United Arab Emirates,2018,...,...,Others,Ease of Doing Business Rank,21
United Arab Emirates,2018,...,...,Others,Trading Across Borders Rank,91
United Arab Emirates,2016,...,...,Others,LPI Rank,13
United Arab Emirates,2016,...,...,Others,LPI Score,3.941767
United Arab Emirates,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0299518
United Arab Emirates,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0323606
United Arab Emirates,2016,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,51.3438
United Arab Emirates,2016,"Other Asia, nes",All Products,Export,Partner share(%)-Top 5 Export Partner,13.8459
United Arab Emirates,2016,India,All Products,Export,Partner share(%)-Top 5 Export Partner,3.7688
United Arab Emirates,2016,"Iran, Islamic Rep.",All Products,Export,Partner share(%)-Top 5 Export Partner,2.9501
United Arab Emirates,2016,Switzerland,All Products,Export,Partner share(%)-Top 5 Export Partner,2.4862
United Arab Emirates,2016,Unspecified,All Products,Import,Partner share(%)-Top 5 Import Partner,30.189
United Arab Emirates,2016,China,All Products,Import,Partner share(%)-Top 5 Import Partner,8.2783
United Arab Emirates,2016,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,7.6
United Arab Emirates,2016,India,All Products,Import,Partner share(%)-Top 5 Import Partner,6.8921
United Arab Emirates,2016,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,4.6494
United Arab Emirates,2016,World,Animal,Export,Export Product share(%),0.2327
United Arab Emirates,2016,World,Vegetable,Export,Export Product share(%),0.7331
United Arab Emirates,2016,World,Food Products,Export,Export Product share(%),1.3058
United Arab Emirates,2016,World,Minerals,Export,Export Product share(%),0.3616
United Arab Emirates,2016,World,Fuels,Export,Export Product share(%),15.2739
United Arab Emirates,2016,World,Chemicals,Export,Export Product share(%),0.8828
United Arab Emirates,2016,World,Plastic or Rubber,Export,Export Product share(%),2.1437
United Arab Emirates,2016,World,Hides and Skins,Export,Export Product share(%),0.0495
United Arab Emirates,2016,World,Wood,Export,Export Product share(%),0.633
United Arab Emirates,2016,World,Textiles and Clothing,Export,Export Product share(%),1.1072
United Arab Emirates,2016,World,Footwear,Export,Export Product share(%),0.1376
United Arab Emirates,2016,World,Stone and Glass,Export,Export Product share(%),14.5694
United Arab Emirates,2016,World,Metals,Export,Export Product share(%),3.3947
United Arab Emirates,2016,World,Mach and Elec,Export,Export Product share(%),4.8945
United Arab Emirates,2016,World,Transportation,Export,Export Product share(%),3.4452
United Arab Emirates,2016,World,Miscellaneous,Export,Export Product share(%),50.8353
United Arab Emirates,2016,World,Raw materials,Export,Export Product share(%),14.8719
United Arab Emirates,2016,World,Intermediate goods,Export,Export Product share(%),13.6308
United Arab Emirates,2016,World,Consumer goods,Export,Export Product share(%),15.5418
United Arab Emirates,2016,World,Capital goods,Export,Export Product share(%),5.8306
United Arab Emirates,2016,World,Raw materials,Import,Import Product share(%),5.6148
United Arab Emirates,2016,World,Intermediate goods,Import,Import Product share(%),23.7377
United Arab Emirates,2016,World,Consumer goods,Import,Import Product share(%),20.8919
United Arab Emirates,2016,World,Capital goods,Import,Import Product share(%),19.5594
United Arab Emirates,2016,World,Raw materials,Tariff,Weighted Average (%),1.61322041519923
United Arab Emirates,2016,World,Intermediate goods,Tariff,Weighted Average (%),2.15992802877793
United Arab Emirates,2016,World,Consumer goods,Tariff,Weighted Average (%),3.97628669155889
United Arab Emirates,2016,World,Capital goods,Tariff,Weighted Average (%),2.50730029521704
United Arab Emirates,2016,World,All Products,Trade Indicator,World Growth (%),-1.59063243474449
United Arab Emirates,2016,World,All Products,Trade Indicator,Country Growth (%),-1.16799677684666
United Arab Emirates,2016,World,All Products,Tariff,Simple Average (%),3.99339902045844
United Arab Emirates,2016,World,All Products,Tariff,Weighted Average (%),2.82109921124943
United Arab Emirates,2016,World,All Products,Tariff,Maximum Rate (%),672.623718261719
United Arab Emirates,2016,World,All Products,Tariff,Duty Free Tariff Lines Share (%),24.0960962162865
United Arab Emirates,2016,...,...,Trade Indicator,Index of export market penetration,13.1326389942417
United Arab Emirates,2016,...,...,Trade Indicator,HH Market concentration index,0.0536277638435539
United Arab Emirates,2017,...,...,Development,Trade Balance (% of GDP),27.9571560853438
United Arab Emirates,2017,...,...,Development,Trade (% of GDP),172.810526922642
United Arab Emirates,2017,...,...,Development,"GNI per capita, Atlas method (current US$)",39130
