Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Armenia,2017,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,540.51447921
Armenia,2017,Bulgaria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,281.70930161
Armenia,2017,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,246.46699913
Armenia,2017,Georgia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,144.93191881
Armenia,2017,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,126.9038199
Armenia,2017,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1165.644746
Armenia,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,465.83166292
Armenia,2017,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,221.61389207
Armenia,2017,"Iran, Islamic Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,174.48921449
Armenia,2017,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,164.25369392
Armenia,2017,World,Animal,Export,Export(US$ Mil),57.56769774
Armenia,2017,World,Vegetable,Export,Export(US$ Mil),46.66290636
Armenia,2017,World,Food Products,Export,Export(US$ Mil),523.49649066
Armenia,2017,World,Minerals,Export,Export(US$ Mil),604.01634841
Armenia,2017,World,Fuels,Export,Export(US$ Mil),71.97936941
Armenia,2017,World,Chemicals,Export,Export(US$ Mil),30.84169744
Armenia,2017,World,Plastic or Rubber,Export,Export(US$ Mil),8.53163786
Armenia,2017,World,Hides and Skins,Export,Export(US$ Mil),9.06825582
Armenia,2017,World,Wood,Export,Export(US$ Mil),3.43861503
Armenia,2017,World,Textiles and Clothing,Export,Export(US$ Mil),126.15798318
Armenia,2017,World,Footwear,Export,Export(US$ Mil),2.82914206
Armenia,2017,World,Stone and Glass,Export,Export(US$ Mil),272.04128456
Armenia,2017,World,Metals,Export,Export(US$ Mil),268.61088385
Armenia,2017,World,Mach and Elec,Export,Export(US$ Mil),36.27276427
Armenia,2017,World,Transportation,Export,Export(US$ Mil),13.83671129
Armenia,2017,World,Miscellaneous,Export,Export(US$ Mil),69.61118164
Armenia,2017,World,Raw materials,Export,Export(US$ Mil),720.16153346
Armenia,2017,World,Intermediate goods,Export,Export(US$ Mil),470.64272552
Armenia,2017,World,Consumer goods,Export,Export(US$ Mil),901.541048350001
Armenia,2017,World,Capital goods,Export,Export(US$ Mil),45.6403522600001
Armenia,2017,World,Raw materials,Import,Import(US$ Mil),343.311397
Armenia,2017,World,Intermediate goods,Import,Import(US$ Mil),861.55989481
Armenia,2017,World,Consumer goods,Import,Import(US$ Mil),1931.17187096
Armenia,2017,World,Capital goods,Import,Import(US$ Mil),754.937523269999
Armenia,2017,World,All Products,Export,Exports (in US$ Mil),2144.96296958
Armenia,2017,World,All Products,Import,Imports (in US$ Mil),3893.45490313
Armenia,2017,World,All Products,Tariff,Duty Free Imports (US$ Thousand),2235880.92
Armenia,2017,...,...,Development,Trade Balance (current US$ Mil),-1410.75878093224
Armenia,2017,...,...,Development,GDP (current US$ Mil),11536.5906358268
Armenia,2017,...,...,Tariff,No. Of Tariff Agreement,6
Armenia,2017,...,...,Import,No. Of Import partners,165
Armenia,2017,...,...,Import,No. Of Import products,3787
Armenia,2017,...,...,Export,No. Of Export partners,107
Armenia,2017,...,...,Export,No. Of Export products,2009
Armenia,2016,...,...,Others,Population,2924816
Armenia,2018,...,...,Others,Ease of Doing Business Rank,47
Armenia,2018,...,...,Others,Trading Across Borders Rank,52
Armenia,2013,...,...,Others,CPIA Trade Ratings,4.5
Armenia,2016,...,...,Others,LPI Rank,141
Armenia,2016,...,...,Others,LPI Score,2.205513
Armenia,,...,...,Others,Services Trade Restrictions Index - Over All,11.4
Armenia,2017,Russian Federation,All Products,Export,Partner share(%)-Top 5 Export Partner,25.1992
Armenia,2017,Bulgaria,All Products,Export,Partner share(%)-Top 5 Export Partner,13.1335
Armenia,2017,Switzerland,All Products,Export,Partner share(%)-Top 5 Export Partner,11.4905
Armenia,2017,Georgia,All Products,Export,Partner share(%)-Top 5 Export Partner,6.7568
Armenia,2017,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,5.9164
Armenia,2017,Russian Federation,All Products,Import,Partner share(%)-Top 5 Import Partner,29.9386
Armenia,2017,China,All Products,Import,Partner share(%)-Top 5 Import Partner,11.9645
Armenia,2017,Turkey,All Products,Import,Partner share(%)-Top 5 Import Partner,5.692
Armenia,2017,"Iran, Islamic Rep.",All Products,Import,Partner share(%)-Top 5 Import Partner,4.4816
Armenia,2017,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,4.2187
Armenia,2017,World,Animal,Export,Export Product share(%),2.6839
Armenia,2017,World,Vegetable,Export,Export Product share(%),2.1755
Armenia,2017,World,Food Products,Export,Export Product share(%),24.4059
Armenia,2017,World,Minerals,Export,Export Product share(%),28.1598
Armenia,2017,World,Fuels,Export,Export Product share(%),3.3557
Armenia,2017,World,Chemicals,Export,Export Product share(%),1.4379
Armenia,2017,World,Plastic or Rubber,Export,Export Product share(%),0.3978
Armenia,2017,World,Hides and Skins,Export,Export Product share(%),0.4228
Armenia,2017,World,Wood,Export,Export Product share(%),0.1603
Armenia,2017,World,Textiles and Clothing,Export,Export Product share(%),5.8816
Armenia,2017,World,Footwear,Export,Export Product share(%),0.1319
Armenia,2017,World,Stone and Glass,Export,Export Product share(%),12.6828
Armenia,2017,World,Metals,Export,Export Product share(%),12.5229
Armenia,2017,World,Mach and Elec,Export,Export Product share(%),1.6911
Armenia,2017,World,Transportation,Export,Export Product share(%),0.6451
Armenia,2017,World,Miscellaneous,Export,Export Product share(%),3.2453
Armenia,2017,World,Raw materials,Export,Export Product share(%),33.5745
Armenia,2017,World,Intermediate goods,Export,Export Product share(%),21.9418
