Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Antigua and Barbuda,2017,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,13.8943781167191
Antigua and Barbuda,2017,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,13.0197156617528
Antigua and Barbuda,2017,Bermuda,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8.6686066128662
Antigua and Barbuda,2017,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8.4465296756841
Antigua and Barbuda,2017,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3.6600779473258
Antigua and Barbuda,2017,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,272.24131089175
Antigua and Barbuda,2017,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,102.11958400624
Antigua and Barbuda,2017,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,34.4793892798355
Antigua and Barbuda,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,26.9973538248414
Antigua and Barbuda,2017,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,23.339128290478
Antigua and Barbuda,2017,World,Animal,Export,Export(US$ Mil),0.3644894540287
Antigua and Barbuda,2017,World,Vegetable,Export,Export(US$ Mil),0.0743262071552
Antigua and Barbuda,2017,World,Food Products,Export,Export(US$ Mil),4.5940901762756
Antigua and Barbuda,2017,World,Minerals,Export,Export(US$ Mil),0.0432702308038
Antigua and Barbuda,2017,World,Fuels,Export,Export(US$ Mil),0.0868374909402
Antigua and Barbuda,2017,World,Chemicals,Export,Export(US$ Mil),0.6020574794234
Antigua and Barbuda,2017,World,Plastic or Rubber,Export,Export(US$ Mil),0.3678555728848
Antigua and Barbuda,2017,World,Hides and Skins,Export,Export(US$ Mil),0.2338395217158
Antigua and Barbuda,2017,World,Wood,Export,Export(US$ Mil),0.3972529397837
Antigua and Barbuda,2017,World,Textiles and Clothing,Export,Export(US$ Mil),13.1637459066113
Antigua and Barbuda,2017,World,Footwear,Export,Export(US$ Mil),0.1404268188323
Antigua and Barbuda,2017,World,Stone and Glass,Export,Export(US$ Mil),2.2622059637177
Antigua and Barbuda,2017,World,Metals,Export,Export(US$ Mil),3.3335113220409
Antigua and Barbuda,2017,World,Mach and Elec,Export,Export(US$ Mil),6.1265109549644
Antigua and Barbuda,2017,World,Transportation,Export,Export(US$ Mil),27.7507827751154
Antigua and Barbuda,2017,World,Miscellaneous,Export,Export(US$ Mil),2.8493998987454
Antigua and Barbuda,2017,World,Raw materials,Export,Export(US$ Mil),0.7458115541877
Antigua and Barbuda,2017,World,Intermediate goods,Export,Export(US$ Mil),2.3562961474052
Antigua and Barbuda,2017,World,Consumer goods,Export,Export(US$ Mil),50.5549104746686
Antigua and Barbuda,2017,World,Capital goods,Export,Export(US$ Mil),8.7080758882117
Antigua and Barbuda,2017,World,Raw materials,Import,Import(US$ Mil),46.8301666586754
Antigua and Barbuda,2017,World,Intermediate goods,Import,Import(US$ Mil),90.5478395965145
Antigua and Barbuda,2017,World,Consumer goods,Import,Import(US$ Mil),400.816817627227
Antigua and Barbuda,2017,World,Capital goods,Import,Import(US$ Mil),91.3337505143063
Antigua and Barbuda,2017,World,All Products,Export,Exports (in US$ Mil),62.3906027130386
Antigua and Barbuda,2017,World,All Products,Import,Imports (in US$ Mil),629.819171869087
Antigua and Barbuda,2017,World,All Products,Tariff,Duty Free Imports (US$ Thousand),48659.4764849193
Antigua and Barbuda,2017,...,...,Development,GDP (current US$ Mil),1510.08475074074
Antigua and Barbuda,2017,...,...,Tariff,No. Of Tariff Agreement,3
Antigua and Barbuda,2017,...,...,Import,No. Of Import partners,161
Antigua and Barbuda,2017,...,...,Import,No. Of Import products,3181
Antigua and Barbuda,2017,...,...,Export,No. Of Export partners,56
Antigua and Barbuda,2017,...,...,Export,No. Of Export products,1032
Antigua and Barbuda,2016,...,...,Others,Population,100963
Antigua and Barbuda,2018,...,...,Others,Ease of Doing Business Rank,107
Antigua and Barbuda,2018,...,...,Others,Trading Across Borders Rank,101
Antigua and Barbuda,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1457912
Antigua and Barbuda,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1457911
Antigua and Barbuda,2017,Spain,All Products,Export,Partner share(%)-Top 5 Export Partner,22.27
Antigua and Barbuda,2017,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,20.8681
Antigua and Barbuda,2017,Bermuda,All Products,Export,Partner share(%)-Top 5 Export Partner,13.8941
