Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Australia,2017,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,68095.6770265779
Australia,2017,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,34610.9606838293
Australia,2017,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,24008.4209631575
Australia,2017,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,13145.7465079983
Australia,2017,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10757.1371305709
Australia,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,49970.9705318077
Australia,2017,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,23613.2191369594
Australia,2017,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,16510.8745569156
Australia,2017,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,15899.1286871808
Australia,2017,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,15085.4042462151
Australia,2017,World,Animal,Export,Export(US$ Mil),13328.3352261486
Australia,2017,World,Vegetable,Export,Export(US$ Mil),13598.0133465129
Australia,2017,World,Food Products,Export,Export(US$ Mil),6101.99024982495
Australia,2017,World,Minerals,Export,Export(US$ Mil),60672.1294430249
Australia,2017,World,Fuels,Export,Export(US$ Mil),69396.6127492873
Australia,2017,World,Chemicals,Export,Export(US$ Mil),11397.5808338311
Australia,2017,World,Plastic or Rubber,Export,Export(US$ Mil),1131.67300575204
Australia,2017,World,Hides and Skins,Export,Export(US$ Mil),830.779824097694
Australia,2017,World,Wood,Export,Export(US$ Mil),2843.9060949186
Australia,2017,World,Textiles and Clothing,Export,Export(US$ Mil),4878.00162014646
Australia,2017,World,Footwear,Export,Export(US$ Mil),101.818333807763
Australia,2017,World,Stone and Glass,Export,Export(US$ Mil),14991.6835055356
Australia,2017,World,Metals,Export,Export(US$ Mil),10231.288935803
Australia,2017,World,Mach and Elec,Export,Export(US$ Mil),7652.52787776285
Australia,2017,World,Transportation,Export,Export(US$ Mil),3586.91316897119
Australia,2017,World,Miscellaneous,Export,Export(US$ Mil),9419.95298752272
Australia,2017,World,Raw materials,Export,Export(US$ Mil),134900.171448403
Australia,2017,World,Intermediate goods,Export,Export(US$ Mil),38576.6038419485
Australia,2017,World,Consumer goods,Export,Export(US$ Mil),37468.540601225
Australia,2017,World,Capital goods,Export,Export(US$ Mil),10847.0453354958
Australia,2017,World,Raw materials,Import,Import(US$ Mil),12862.4785385078
Australia,2017,World,Intermediate goods,Import,Import(US$ Mil),32506.4803692881
Australia,2017,World,Consumer goods,Import,Import(US$ Mil),97896.5984807175
Australia,2017,World,Capital goods,Import,Import(US$ Mil),73723.1117421865
Australia,2017,World,All Products,Export,Exports (in US$ Mil),230163.207202948
Australia,2017,World,All Products,Import,Imports (in US$ Mil),228441.736928991
Australia,2017,World,All Products,Tariff,Duty Free Imports (US$ Thousand),149028380.399066
Australia,2017,...,...,Development,Trade Balance (current US$ Mil),8572.29051964697
