Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Austria,2017,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,47526.2914762097
Austria,2017,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10560.6509145691
Austria,2017,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,9995.18353400921
Austria,2017,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8346.37086852632
Austria,2017,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,7761.54135138976
Austria,2017,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,60827.2364386559
Austria,2017,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10130.7778785012
Austria,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,9526.90420816632
Austria,2017,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8983.56981606216
Austria,2017,Czech Republic,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7152.18640262911
Austria,2017,World,Animal,Export,Export(US$ Mil),2959.39986902857
Austria,2017,World,Vegetable,Export,Export(US$ Mil),2031.00354551651
Austria,2017,World,Food Products,Export,Export(US$ Mil),7562.478003521
Austria,2017,World,Minerals,Export,Export(US$ Mil),438.426258042649
Austria,2017,World,Fuels,Export,Export(US$ Mil),3055.79225654061
Austria,2017,World,Chemicals,Export,Export(US$ Mil),16533.7681770413
Austria,2017,World,Plastic or Rubber,Export,Export(US$ Mil),8026.53557407086
Austria,2017,World,Hides and Skins,Export,Export(US$ Mil),938.017179161808
Austria,2017,World,Wood,Export,Export(US$ Mil),10219.3356363718
Austria,2017,World,Textiles and Clothing,Export,Export(US$ Mil),5636.56694135722
Austria,2017,World,Footwear,Export,Export(US$ Mil),1039.06730791356
Austria,2017,World,Stone and Glass,Export,Export(US$ Mil),3809.78221874488
Austria,2017,World,Metals,Export,Export(US$ Mil),22400.7375836654
Austria,2017,World,Mach and Elec,Export,Export(US$ Mil),44566.3127387509
Austria,2017,World,Transportation,Export,Export(US$ Mil),19517.2635610834
Austria,2017,World,Miscellaneous,Export,Export(US$ Mil),11236.043952124
Austria,2017,World,Raw materials,Export,Export(US$ Mil),5132.41026621619
Austria,2017,World,Intermediate goods,Export,Export(US$ Mil),40436.0540852011
Austria,2017,World,Consumer goods,Export,Export(US$ Mil),51124.165656502
Austria,2017,World,Capital goods,Export,Export(US$ Mil),58018.6995204924
Austria,2017,World,Raw materials,Import,Import(US$ Mil),13354.4367567844
Austria,2017,World,Intermediate goods,Import,Import(US$ Mil),38907.6325137872
Austria,2017,World,Consumer goods,Import,Import(US$ Mil),65532.9323676998
Austria,2017,World,Capital goods,Import,Import(US$ Mil),48140.0071434615
Austria,2017,World,All Products,Export,Exports (in US$ Mil),159970.530802934
Austria,2017,World,All Products,Import,Imports (in US$ Mil),166475.080970019
Austria,2017,...,...,Development,Trade Balance (current US$ Mil),13185.219746925
Austria,2017,...,...,Development,GDP (current US$ Mil),416595.666396636
Austria,2017,...,...,Import,No. Of Import partners,220
Austria,2017,...,...,Import,No. Of Import products,4466
Austria,2017,...,...,Export,No. Of Export partners,219
Austria,2017,...,...,Export,No. Of Export products,4303
Austria,2016,...,...,Others,Population,8736668
Austria,2018,...,...,Others,Ease of Doing Business Rank,22
Austria,2018,...,...,Others,Trading Across Borders Rank,1
Austria,2016,...,...,Others,LPI Rank,7
Austria,2016,...,...,Others,LPI Score,4.097985
Austria,,...,...,Others,Services Trade Restrictions Index - Over All,17.8
Austria,2017,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,29.7094
Austria,2017,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,6.6016
Austria,2017,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,6.2481
Austria,2017,Switzerland,All Products,Export,Partner share(%)-Top 5 Export Partner,5.2174
Austria,2017,France,All Products,Export,Partner share(%)-Top 5 Export Partner,4.8519
Austria,2017,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,36.5383
Austria,2017,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,6.0855
Austria,2017,China,All Products,Import,Partner share(%)-Top 5 Import Partner,5.7227
Austria,2017,Switzerland,All Products,Import,Partner share(%)-Top 5 Import Partner,5.3963
Austria,2017,Czech Republic,All Products,Import,Partner share(%)-Top 5 Import Partner,4.2963
Austria,2017,World,Animal,Export,Export Product share(%),1.85
Austria,2017,World,Vegetable,Export,Export Product share(%),1.2696
Austria,2017,World,Food Products,Export,Export Product share(%),4.7274
Austria,2017,World,Minerals,Export,Export Product share(%),0.2741
Austria,2017,World,Fuels,Export,Export Product share(%),1.9102
Austria,2017,World,Chemicals,Export,Export Product share(%),10.3355
Austria,2017,World,Plastic or Rubber,Export,Export Product share(%),5.0175
Austria,2017,World,Hides and Skins,Export,Export Product share(%),0.5864
Austria,2017,World,Wood,Export,Export Product share(%),6.3883
Austria,2017,World,Textiles and Clothing,Export,Export Product share(%),3.5235
Austria,2017,World,Footwear,Export,Export Product share(%),0.6495
Austria,2017,World,Stone and Glass,Export,Export Product share(%),2.3816
Austria,2017,World,Metals,Export,Export Product share(%),14.003
Austria,2017,World,Mach and Elec,Export,Export Product share(%),27.8591
Austria,2017,World,Transportation,Export,Export Product share(%),12.2005
Austria,2017,World,Miscellaneous,Export,Export Product share(%),7.0238
Austria,2017,World,Raw materials,Export,Export Product share(%),3.2083
Austria,2017,World,Intermediate goods,Export,Export Product share(%),25.2772
Austria,2017,World,Consumer goods,Export,Export Product share(%),31.9585
Austria,2017,World,Capital goods,Export,Export Product share(%),36.2684
Austria,2017,World,Raw materials,Import,Import Product share(%),8.0219
Austria,2017,World,Intermediate goods,Import,Import Product share(%),23.3714
Austria,2017,World,Consumer goods,Import,Import Product share(%),39.365
Austria,2017,World,Capital goods,Import,Import Product share(%),28.9172
Austria,2017,World,All Products,Trade Indicator,World Growth (%),1.50064825967466
Austria,2017,World,All Products,Trade Indicator,Country Growth (%),3.85244061828114
Austria,2017,...,...,Trade Indicator,Index of export market penetration,17.2528542510385
Austria,2017,...,...,Trade Indicator,HH Market concentration index,0.104890120787004
Austria,2017,...,...,Development,Trade Balance (% of GDP),3.1649920559593
Austria,2017,...,...,Development,Trade in services (% of GDP),29.3766210295936
Austria,2017,...,...,Development,Trade (% of GDP),104.707771937866
Austria,2017,...,...,Development,"GNI per capita, Atlas method (current US$)",45440
