Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Azerbaijan,2017,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4406.42523983
Azerbaijan,2017,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1366.3370861
Azerbaijan,2017,Israel,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,638.93839873
Azerbaijan,2017,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,587.02536951
Azerbaijan,2017,Czech Republic,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,556.85486411
Azerbaijan,2017,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1471.42462328
Azerbaijan,2017,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1284.88678208
Azerbaijan,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,978.31474469
Azerbaijan,2017,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,729.39841538
Azerbaijan,2017,Ukraine,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,483.35214739
Azerbaijan,2017,World,Animal,Export,Export(US$ Mil),12.60682732
Azerbaijan,2017,World,Vegetable,Export,Export(US$ Mil),535.40353973
Azerbaijan,2017,World,Food Products,Export,Export(US$ Mil),110.90000546
Azerbaijan,2017,World,Minerals,Export,Export(US$ Mil),44.82648342
Azerbaijan,2017,World,Fuels,Export,Export(US$ Mil),12358.789496
Azerbaijan,2017,World,Chemicals,Export,Export(US$ Mil),79.55842957
Azerbaijan,2017,World,Plastic or Rubber,Export,Export(US$ Mil),102.51422081
Azerbaijan,2017,World,Hides and Skins,Export,Export(US$ Mil),15.15334368
Azerbaijan,2017,World,Wood,Export,Export(US$ Mil),6.57755347
Azerbaijan,2017,World,Textiles and Clothing,Export,Export(US$ Mil),76.83650885
Azerbaijan,2017,World,Footwear,Export,Export(US$ Mil),0.3868506
Azerbaijan,2017,World,Stone and Glass,Export,Export(US$ Mil),135.49968877
Azerbaijan,2017,World,Metals,Export,Export(US$ Mil),245.0506025
Azerbaijan,2017,World,Mach and Elec,Export,Export(US$ Mil),50.44898865
Azerbaijan,2017,World,Transportation,Export,Export(US$ Mil),11.52053138
Azerbaijan,2017,World,Miscellaneous,Export,Export(US$ Mil),11.59257917
Azerbaijan,2017,World,Raw materials,Export,Export(US$ Mil),11308.43285479
Azerbaijan,2017,World,Intermediate goods,Export,Export(US$ Mil),703.3100939
Azerbaijan,2017,World,Consumer goods,Export,Export(US$ Mil),1722.4908564
Azerbaijan,2017,World,Capital goods,Export,Export(US$ Mil),61.23281654
Azerbaijan,2017,World,Raw materials,Import,Import(US$ Mil),644.88808138
Azerbaijan,2017,World,Intermediate goods,Import,Import(US$ Mil),1961.3672374
Azerbaijan,2017,World,Consumer goods,Import,Import(US$ Mil),3336.28376771
Azerbaijan,2017,World,Capital goods,Import,Import(US$ Mil),2335.67714388
Azerbaijan,2017,World,All Products,Export,Exports (in US$ Mil),13797.66564938
Azerbaijan,2017,World,All Products,Import,Imports (in US$ Mil),8766.50524239
Azerbaijan,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),2577628.717
Azerbaijan,2017,...,...,Development,Trade Balance (current US$ Mil),2735.3009528236
Azerbaijan,2017,...,...,Development,GDP (current US$ Mil),40747.7922379735
Azerbaijan,2015,...,...,Tariff,No. Of Tariff Agreement,2
Azerbaijan,2017,...,...,Import,No. Of Import partners,137
Azerbaijan,2017,...,...,Import,No. Of Import products,3958
Azerbaijan,2017,...,...,Export,No. Of Export partners,115
Azerbaijan,2017,...,...,Export,No. Of Export products,1711
Azerbaijan,2016,...,...,Others,Population,9757812
Azerbaijan,2018,...,...,Others,Ease of Doing Business Rank,57
Azerbaijan,2018,...,...,Others,Trading Across Borders Rank,83
Azerbaijan,2010,...,...,Others,CPIA Trade Ratings,3.5
Azerbaijan,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0344225
Azerbaijan,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0482686
Azerbaijan,2017,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,31.936
Azerbaijan,2017,Turkey,All Products,Export,Partner share(%)-Top 5 Export Partner,9.9027
Azerbaijan,2017,Israel,All Products,Export,Partner share(%)-Top 5 Export Partner,4.6308
Azerbaijan,2017,Russian Federation,All Products,Export,Partner share(%)-Top 5 Export Partner,4.2545
Azerbaijan,2017,Czech Republic,All Products,Export,Partner share(%)-Top 5 Export Partner,4.0359
Azerbaijan,2017,Russian Federation,All Products,Import,Partner share(%)-Top 5 Import Partner,16.7846
Azerbaijan,2017,Turkey,All Products,Import,Partner share(%)-Top 5 Import Partner,14.6568
Azerbaijan,2017,China,All Products,Import,Partner share(%)-Top 5 Import Partner,11.1597
Azerbaijan,2017,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,8.3203
Azerbaijan,2017,Ukraine,All Products,Import,Partner share(%)-Top 5 Import Partner,5.5136
Azerbaijan,2017,World,Animal,Export,Export Product share(%),0.0914
Azerbaijan,2017,World,Vegetable,Export,Export Product share(%),3.8804
Azerbaijan,2017,World,Food Products,Export,Export Product share(%),0.8038
Azerbaijan,2017,World,Minerals,Export,Export Product share(%),0.3249
Azerbaijan,2017,World,Fuels,Export,Export Product share(%),89.5716
Azerbaijan,2017,World,Chemicals,Export,Export Product share(%),0.5766
Azerbaijan,2017,World,Plastic or Rubber,Export,Export Product share(%),0.743
Azerbaijan,2017,World,Hides and Skins,Export,Export Product share(%),0.1098
Azerbaijan,2017,World,Wood,Export,Export Product share(%),0.0477
Azerbaijan,2017,World,Textiles and Clothing,Export,Export Product share(%),0.5569
Azerbaijan,2017,World,Footwear,Export,Export Product share(%),0.0028
Azerbaijan,2017,World,Stone and Glass,Export,Export Product share(%),0.982
Azerbaijan,2017,World,Metals,Export,Export Product share(%),1.776
Azerbaijan,2017,World,Mach and Elec,Export,Export Product share(%),0.3656
