Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Burundi,2017,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,38.3814406510143
Burundi,2017,"Congo, Dem. Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,24.1132999705141
Burundi,2017,Pakistan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,12.978090780149
Burundi,2017,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8.85129456456711
Burundi,2017,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,7.83450573644554
Burundi,2017,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,103.319713363294
Burundi,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,100.370786373749
Burundi,2017,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,66.3429839151504
Burundi,2017,Tanzania,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,52.9202582821047
Burundi,2017,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,52.4793844772779
Burundi,2017,World,Animal,Export,Export(US$ Mil),0.09393029130003
Burundi,2017,World,Vegetable,Export,Export(US$ Mil),69.1697947172282
Burundi,2017,World,Food Products,Export,Export(US$ Mil),13.5752718738913
Burundi,2017,World,Minerals,Export,Export(US$ Mil),7.96985638666584
Burundi,2017,World,Fuels,Export,Export(US$ Mil),0.2429798465014
Burundi,2017,World,Chemicals,Export,Export(US$ Mil),1.33797845101255
Burundi,2017,World,Plastic or Rubber,Export,Export(US$ Mil),3.07879059609926
Burundi,2017,World,Hides and Skins,Export,Export(US$ Mil),0.52117630912618
Burundi,2017,World,Wood,Export,Export(US$ Mil),0.16523859289324
Burundi,2017,World,Textiles and Clothing,Export,Export(US$ Mil),0.23955340851743
Burundi,2017,World,Footwear,Export,Export(US$ Mil),0.00897186732225
Burundi,2017,World,Stone and Glass,Export,Export(US$ Mil),40.3966004863546
Burundi,2017,World,Metals,Export,Export(US$ Mil),1.36461922870018
Burundi,2017,World,Mach and Elec,Export,Export(US$ Mil),1.30153972041209
Burundi,2017,World,Transportation,Export,Export(US$ Mil),1.02416768946526
Burundi,2017,World,Miscellaneous,Export,Export(US$ Mil),1.24754646782345
Burundi,2017,World,Raw materials,Export,Export(US$ Mil),46.5587272293008
Burundi,2017,World,Intermediate goods,Export,Export(US$ Mil),47.0310952694696
