Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Benin,2016,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,63.099698
Benin,2016,Malaysia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,53.988436
Benin,2016,Bangladesh,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,41.949748
Benin,2016,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,27.283294
Benin,2016,Nigeria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,27.090635
Benin,2016,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,391.720944
Benin,2016,Thailand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,326.504546
Benin,2016,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,264.930962
Benin,2016,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,221.437355
Benin,2016,Togo,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,191.347151
Benin,2016,World,Animal,Export,Export(US$ Mil),1.993364
Benin,2016,World,Vegetable,Export,Export(US$ Mil),94.73216
Benin,2016,World,Food Products,Export,Export(US$ Mil),15.598497
Benin,2016,World,Minerals,Export,Export(US$ Mil),16.952854
Benin,2016,World,Fuels,Export,Export(US$ Mil),14.629245
Benin,2016,World,Chemicals,Export,Export(US$ Mil),4.556235
Benin,2016,World,Plastic or Rubber,Export,Export(US$ Mil),3.643746
Benin,2016,World,Hides and Skins,Export,Export(US$ Mil),0.180898
Benin,2016,World,Wood,Export,Export(US$ Mil),6.585748
Benin,2016,World,Textiles and Clothing,Export,Export(US$ Mil),187.179472
Benin,2016,World,Footwear,Export,Export(US$ Mil),0.107424
Benin,2016,World,Stone and Glass,Export,Export(US$ Mil),20.230502
Benin,2016,World,Metals,Export,Export(US$ Mil),23.299957
Benin,2016,World,Mach and Elec,Export,Export(US$ Mil),12.040986
Benin,2016,World,Transportation,Export,Export(US$ Mil),5.654407
Benin,2016,World,Miscellaneous,Export,Export(US$ Mil),2.366541
Benin,2016,World,Raw materials,Export,Export(US$ Mil),257.762949
Benin,2016,World,Intermediate goods,Export,Export(US$ Mil),77.349283
Benin,2016,World,Consumer goods,Export,Export(US$ Mil),57.623085
Benin,2016,World,Capital goods,Export,Export(US$ Mil),17.016653
Benin,2016,World,Raw materials,Import,Import(US$ Mil),521.164387
Benin,2016,World,Intermediate goods,Import,Import(US$ Mil),382.120552
Benin,2016,World,Consumer goods,Import,Import(US$ Mil),1454.951409
Benin,2016,World,Capital goods,Import,Import(US$ Mil),271.618882
Benin,2016,World,All Products,Export,Exports (in US$ Mil),409.752038
Benin,2016,World,All Products,Import,Imports (in US$ Mil),2630.157599
Benin,2016,World,All Products,Tariff,Duty Free Imports (US$ Thousand),350171.065
Benin,2017,...,...,Development,Trade Balance (current US$ Mil),-1202.47091177276
Benin,2017,...,...,Development,GDP (current US$ Mil),9246.69692366155
Benin,2016,...,...,Tariff,No. Of Tariff Agreement,2
Benin,2016,...,...,Import,No. Of Import partners,154
Benin,2016,...,...,Import,No. Of Import products,2654
Benin,2016,...,...,Export,No. Of Export partners,96
Benin,2016,...,...,Export,No. Of Export products,688
Benin,2016,...,...,Others,Population,10872298
Benin,2018,...,...,Others,Ease of Doing Business Rank,151
Benin,2018,...,...,Others,Trading Across Borders Rank,136
Benin,2017,...,...,Others,CPIA Trade Ratings,4
Benin,2016,...,...,Others,LPI Rank,115
Benin,2016,...,...,Others,LPI Score,2.428125
Benin,2014,...,...,Others,No Of NTM Affected Products (HS 6 Digit),5052
Benin,2014,...,...,Others,No Of NTM Measures,62
Benin,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1091418
Benin,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1172308
Benin,2016,India,All Products,Export,Partner share(%)-Top 5 Export Partner,15.3995
Benin,2016,Malaysia,All Products,Export,Partner share(%)-Top 5 Export Partner,13.1759
Benin,2016,Bangladesh,All Products,Export,Partner share(%)-Top 5 Export Partner,10.2378
Benin,2016,China,All Products,Export,Partner share(%)-Top 5 Export Partner,6.6585
Benin,2016,Nigeria,All Products,Export,Partner share(%)-Top 5 Export Partner,6.6115
Benin,2016,India,All Products,Import,Partner share(%)-Top 5 Import Partner,14.8934
Benin,2016,Thailand,All Products,Import,Partner share(%)-Top 5 Import Partner,12.4139
Benin,2016,France,All Products,Import,Partner share(%)-Top 5 Import Partner,10.0728
Benin,2016,China,All Products,Import,Partner share(%)-Top 5 Import Partner,8.4192
Benin,2016,Togo,All Products,Import,Partner share(%)-Top 5 Import Partner,7.2751
Benin,2016,World,Animal,Export,Export Product share(%),0.4865
Benin,2016,World,Vegetable,Export,Export Product share(%),23.1194
Benin,2016,World,Food Products,Export,Export Product share(%),3.8068
Benin,2016,World,Minerals,Export,Export Product share(%),4.1373
Benin,2016,World,Fuels,Export,Export Product share(%),3.5703
Benin,2016,World,Chemicals,Export,Export Product share(%),1.1119
Benin,2016,World,Plastic or Rubber,Export,Export Product share(%),0.8893
Benin,2016,World,Hides and Skins,Export,Export Product share(%),0.0441
Benin,2016,World,Wood,Export,Export Product share(%),1.6073
Benin,2016,World,Textiles and Clothing,Export,Export Product share(%),45.6812
Benin,2016,World,Footwear,Export,Export Product share(%),0.0262
Benin,2016,World,Stone and Glass,Export,Export Product share(%),4.9373
Benin,2016,World,Metals,Export,Export Product share(%),5.6864
Benin,2016,World,Mach and Elec,Export,Export Product share(%),2.9386
Benin,2016,World,Transportation,Export,Export Product share(%),1.38
Benin,2016,World,Miscellaneous,Export,Export Product share(%),0.5776
Benin,2016,World,Raw materials,Export,Export Product share(%),62.9071
Benin,2016,World,Intermediate goods,Export,Export Product share(%),18.8771
Benin,2016,World,Consumer goods,Export,Export Product share(%),14.0629
Benin,2016,World,Capital goods,Export,Export Product share(%),4.1529
Benin,2016,World,Raw materials,Import,Import Product share(%),19.8149
Benin,2016,World,Intermediate goods,Import,Import Product share(%),14.5284
Benin,2016,World,Consumer goods,Import,Import Product share(%),55.318
Benin,2016,World,Capital goods,Import,Import Product share(%),10.3271
Benin,2016,World,Raw materials,Tariff,Weighted Average (%),19.1098098071855
Benin,2016,World,Intermediate goods,Tariff,Weighted Average (%),7.72322591143774
Benin,2016,World,Consumer goods,Tariff,Weighted Average (%),11.1768665412971
Benin,2016,World,Capital goods,Tariff,Weighted Average (%),8.32840647071186
Benin,2016,World,All Products,Trade Indicator,World Growth (%),-1.59063243474449
Benin,2016,World,All Products,Trade Indicator,Country Growth (%),1.1800588888101
Benin,2016,World,All Products,Tariff,Simple Average (%),12.1917394636235
Benin,2016,World,All Products,Tariff,Weighted Average (%),11.569368507346
Benin,2016,World,All Products,Tariff,Maximum Rate (%),35
Benin,2016,World,All Products,Tariff,Duty Free Tariff Lines Share (%),13.9204219699576
Benin,2016,...,...,Trade Indicator,Index of export market penetration,1.42185799475392
Benin,2016,...,...,Trade Indicator,HH Market concentration index,0.15580049408549
Benin,2017,...,...,Development,Trade Balance (% of GDP),-13.0043292399444
Benin,2017,...,...,Development,Trade (% of GDP),67.5771284358836
Benin,2017,...,...,Development,"GNI per capita, Atlas method (current US$)",800
