Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Burkina Faso,2016,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1495.688218
Burkina Faso,2016,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,230.074234
Burkina Faso,2016,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,129.978768
Burkina Faso,2016,Cote d'Ivoire,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,107.801551
Burkina Faso,2016,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,90.930702
Burkina Faso,2016,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,483.080869
Burkina Faso,2016,Cote d'Ivoire,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,287.197884
Burkina Faso,2016,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,269.27858
Burkina Faso,2016,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,266.853614
Burkina Faso,2016,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,173.392633
Burkina Faso,2016,World,Animal,Export,Export(US$ Mil),3.412382
Burkina Faso,2016,World,Vegetable,Export,Export(US$ Mil),309.110641
Burkina Faso,2016,World,Food Products,Export,Export(US$ Mil),13.573086
Burkina Faso,2016,World,Minerals,Export,Export(US$ Mil),3.394103
Burkina Faso,2016,World,Fuels,Export,Export(US$ Mil),10.665093
Burkina Faso,2016,World,Chemicals,Export,Export(US$ Mil),23.625389
Burkina Faso,2016,World,Plastic or Rubber,Export,Export(US$ Mil),8.278292
Burkina Faso,2016,World,Hides and Skins,Export,Export(US$ Mil),2.249422
Burkina Faso,2016,World,Wood,Export,Export(US$ Mil),0.615161
Burkina Faso,2016,World,Textiles and Clothing,Export,Export(US$ Mil),429.668091
Burkina Faso,2016,World,Footwear,Export,Export(US$ Mil),0.075498
Burkina Faso,2016,World,Stone and Glass,Export,Export(US$ Mil),1551.020619
Burkina Faso,2016,World,Metals,Export,Export(US$ Mil),101.897175
Burkina Faso,2016,World,Mach and Elec,Export,Export(US$ Mil),29.428957
Burkina Faso,2016,World,Transportation,Export,Export(US$ Mil),29.122466
Burkina Faso,2016,World,Miscellaneous,Export,Export(US$ Mil),3.875961
Burkina Faso,2016,World,Raw materials,Export,Export(US$ Mil),695.176459
Burkina Faso,2016,World,Intermediate goods,Export,Export(US$ Mil),1724.016042
Burkina Faso,2016,World,Consumer goods,Export,Export(US$ Mil),48.559543
Burkina Faso,2016,World,Capital goods,Export,Export(US$ Mil),52.260282
Burkina Faso,2016,World,Raw materials,Import,Import(US$ Mil),83.328456
Burkina Faso,2016,World,Intermediate goods,Import,Import(US$ Mil),783.734993999999
Burkina Faso,2016,World,Consumer goods,Import,Import(US$ Mil),1664.481106
Burkina Faso,2016,World,Capital goods,Import,Import(US$ Mil),811.181638
Burkina Faso,2016,World,All Products,Export,Exports (in US$ Mil),2520.012338
Burkina Faso,2016,World,All Products,Import,Imports (in US$ Mil),3342.727115
Burkina Faso,2016,World,All Products,Tariff,Duty Free Imports (US$ Thousand),741073.49
Burkina Faso,2017,...,...,Development,Trade Balance (current US$ Mil),-45.2915151592197
Burkina Faso,2017,...,...,Development,GDP (current US$ Mil),12322.8642449183
Burkina Faso,2016,...,...,Tariff,No. Of Tariff Agreement,2
Burkina Faso,2016,...,...,Import,No. Of Import partners,148
Burkina Faso,2016,...,...,Import,No. Of Import products,2850
Burkina Faso,2016,...,...,Export,No. Of Export partners,89
Burkina Faso,2016,...,...,Export,No. Of Export products,703
Burkina Faso,2016,...,...,Others,Population,18646433
Burkina Faso,2018,...,...,Others,Ease of Doing Business Rank,148
Burkina Faso,2018,...,...,Others,Trading Across Borders Rank,113
Burkina Faso,2017,...,...,Others,CPIA Trade Ratings,4
Burkina Faso,2016,...,...,Others,LPI Rank,81
Burkina Faso,2016,...,...,Others,LPI Score,2.73081
Burkina Faso,2012,...,...,Others,No Of NTM Affected Products (HS 6 Digit),5052
Burkina Faso,2012,...,...,Others,No Of NTM Measures,33
Burkina Faso,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1214529
Burkina Faso,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1351108
Burkina Faso,2016,Switzerland,All Products,Export,Partner share(%)-Top 5 Export Partner,59.3524
Burkina Faso,2016,Singapore,All Products,Export,Partner share(%)-Top 5 Export Partner,9.1299
Burkina Faso,2016,India,All Products,Export,Partner share(%)-Top 5 Export Partner,5.1579
Burkina Faso,2016,Cote d'Ivoire,All Products,Export,Partner share(%)-Top 5 Export Partner,4.2778
Burkina Faso,2016,South Africa,All Products,Export,Partner share(%)-Top 5 Export Partner,3.6083
Burkina Faso,2016,China,All Products,Import,Partner share(%)-Top 5 Import Partner,14.4517
Burkina Faso,2016,Cote d'Ivoire,All Products,Import,Partner share(%)-Top 5 Import Partner,8.5917
Burkina Faso,2016,France,All Products,Import,Partner share(%)-Top 5 Import Partner,8.0557
Burkina Faso,2016,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,7.9831
Burkina Faso,2016,India,All Products,Import,Partner share(%)-Top 5 Import Partner,5.1872
Burkina Faso,2016,World,Animal,Export,Export Product share(%),0.1354
Burkina Faso,2016,World,Vegetable,Export,Export Product share(%),12.2662
Burkina Faso,2016,World,Food Products,Export,Export Product share(%),0.5386
Burkina Faso,2016,World,Minerals,Export,Export Product share(%),0.1347
Burkina Faso,2016,World,Fuels,Export,Export Product share(%),0.4232
Burkina Faso,2016,World,Chemicals,Export,Export Product share(%),0.9375
Burkina Faso,2016,World,Plastic or Rubber,Export,Export Product share(%),0.3285
Burkina Faso,2016,World,Hides and Skins,Export,Export Product share(%),0.0893
Burkina Faso,2016,World,Wood,Export,Export Product share(%),0.0244
Burkina Faso,2016,World,Textiles and Clothing,Export,Export Product share(%),17.0502
Burkina Faso,2016,World,Footwear,Export,Export Product share(%),0.003
Burkina Faso,2016,World,Stone and Glass,Export,Export Product share(%),61.5481
Burkina Faso,2016,World,Metals,Export,Export Product share(%),4.0435
Burkina Faso,2016,World,Mach and Elec,Export,Export Product share(%),1.1678
Burkina Faso,2016,World,Transportation,Export,Export Product share(%),1.1556
Burkina Faso,2016,World,Miscellaneous,Export,Export Product share(%),0.1538
Burkina Faso,2016,World,Raw materials,Export,Export Product share(%),27.5862
Burkina Faso,2016,World,Intermediate goods,Export,Export Product share(%),68.413
Burkina Faso,2016,World,Consumer goods,Export,Export Product share(%),1.927
Burkina Faso,2016,World,Capital goods,Export,Export Product share(%),2.0738
Burkina Faso,2016,World,Raw materials,Import,Import Product share(%),2.4928
Burkina Faso,2016,World,Intermediate goods,Import,Import Product share(%),23.446
Burkina Faso,2016,World,Consumer goods,Import,Import Product share(%),49.7941
Burkina Faso,2016,World,Capital goods,Import,Import Product share(%),24.2671
Burkina Faso,2016,World,Raw materials,Tariff,Weighted Average (%),7.76299320304983
Burkina Faso,2016,World,Intermediate goods,Tariff,Weighted Average (%),6.01529583634636
Burkina Faso,2016,World,Consumer goods,Tariff,Weighted Average (%),8.28841418489568
Burkina Faso,2016,World,Capital goods,Tariff,Weighted Average (%),7.75777822759752
Burkina Faso,2016,World,All Products,Trade Indicator,World Growth (%),-1.59063243474449
Burkina Faso,2016,World,All Products,Trade Indicator,Country Growth (%),5.58464804528271
Burkina Faso,2016,World,All Products,Tariff,Simple Average (%),11.381944498674
Burkina Faso,2016,World,All Products,Tariff,Weighted Average (%),7.37104161535137
Burkina Faso,2016,World,All Products,Tariff,Maximum Rate (%),35
Burkina Faso,2016,World,All Products,Tariff,Duty Free Tariff Lines Share (%),14.1804544451798
Burkina Faso,2016,...,...,Trade Indicator,Index of export market penetration,1.44176154292783
Burkina Faso,2016,...,...,Trade Indicator,HH Market concentration index,0.453837173639871
Burkina Faso,2017,...,...,Development,Trade Balance (% of GDP),-0.367540486197402
Burkina Faso,2017,...,...,Development,Trade (% of GDP),52.3406940524368
Burkina Faso,2017,...,...,Development,"GNI per capita, Atlas method (current US$)",590
