Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
"Bahamas, The",2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,367.790303
"Bahamas, The",2015,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,19.360297
"Bahamas, The",2015,Finland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,14.069907
"Bahamas, The",2015,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6.096675
"Bahamas, The",2015,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5.458969
"Bahamas, The",2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2587.841812
"Bahamas, The",2015,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,94.511461
"Bahamas, The",2015,Dominica,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,47.13405
"Bahamas, The",2015,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,35.807814
"Bahamas, The",2015,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,32.043587
"Bahamas, The",2015,World,Animal,Export,Export(US$ Mil),63.853992
"Bahamas, The",2015,World,Vegetable,Export,Export(US$ Mil),0.743374
"Bahamas, The",2015,World,Food Products,Export,Export(US$ Mil),1.999402
"Bahamas, The",2015,World,Minerals,Export,Export(US$ Mil),23.441183
"Bahamas, The",2015,World,Fuels,Export,Export(US$ Mil),70.349936
"Bahamas, The",2015,World,Chemicals,Export,Export(US$ Mil),58.910533
"Bahamas, The",2015,World,Plastic or Rubber,Export,Export(US$ Mil),87.842353
"Bahamas, The",2015,World,Hides and Skins,Export,Export(US$ Mil),0.589143
"Bahamas, The",2015,World,Wood,Export,Export(US$ Mil),2.505729
"Bahamas, The",2015,World,Textiles and Clothing,Export,Export(US$ Mil),5.905939
"Bahamas, The",2015,World,Footwear,Export,Export(US$ Mil),0.051001
"Bahamas, The",2015,World,Stone and Glass,Export,Export(US$ Mil),0.872726
"Bahamas, The",2015,World,Metals,Export,Export(US$ Mil),24.875177
"Bahamas, The",2015,World,Mach and Elec,Export,Export(US$ Mil),43.976522
"Bahamas, The",2015,World,Transportation,Export,Export(US$ Mil),44.95495
"Bahamas, The",2015,World,Miscellaneous,Export,Export(US$ Mil),11.909415
"Bahamas, The",2015,World,Raw materials,Export,Export(US$ Mil),64.417246
"Bahamas, The",2015,World,Intermediate goods,Export,Export(US$ Mil),143.686279
"Bahamas, The",2015,World,Consumer goods,Export,Export(US$ Mil),157.626877
"Bahamas, The",2015,World,Capital goods,Export,Export(US$ Mil),77.0422210000001
"Bahamas, The",2015,World,Raw materials,Import,Import(US$ Mil),271.245861
"Bahamas, The",2015,World,Intermediate goods,Import,Import(US$ Mil),345.524658
"Bahamas, The",2015,World,Consumer goods,Import,Import(US$ Mil),1965.888188
"Bahamas, The",2015,World,Capital goods,Import,Import(US$ Mil),452.773924
"Bahamas, The",2015,World,All Products,Export,Exports (in US$ Mil),442.781375
"Bahamas, The",2015,World,All Products,Import,Imports (in US$ Mil),3161.314272
"Bahamas, The",2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),1435679.48
"Bahamas, The",2017,...,...,Development,Trade Balance (current US$ Mil),-991.8
"Bahamas, The",2017,...,...,Development,GDP (current US$ Mil),12162.1
"Bahamas, The",2015,...,...,Tariff,No. Of Tariff Agreement,2
"Bahamas, The",2015,...,...,Import,No. Of Import partners,103
"Bahamas, The",2015,...,...,Import,No. Of Import products,3860
"Bahamas, The",2015,...,...,Export,No. Of Export partners,65
"Bahamas, The",2015,...,...,Export,No. Of Export products,1132
"Bahamas, The",2016,...,...,Others,Population,391232
"Bahamas, The",2018,...,...,Others,Ease of Doing Business Rank,119
"Bahamas, The",2018,...,...,Others,Trading Across Borders Rank,157
"Bahamas, The",2016,...,...,Others,LPI Rank,78
"Bahamas, The",2016,...,...,Others,LPI Score,2.749937
"Bahamas, The",2015,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,83.0636
"Bahamas, The",2015,France,All Products,Export,Partner share(%)-Top 5 Export Partner,4.3724
"Bahamas, The",2015,Finland,All Products,Export,Partner share(%)-Top 5 Export Partner,3.1776
"Bahamas, The",2015,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,1.3769
