Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Bosnia and Herzegovina,2017,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,915.889631
Bosnia and Herzegovina,2017,Croatia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,735.983581
Bosnia and Herzegovina,2017,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,696.350716
Bosnia and Herzegovina,2017,"Serbia, FR(Serbia/Montenegro)",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,624.772796
Bosnia and Herzegovina,2017,Slovenia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,560.579284
Bosnia and Herzegovina,2017,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1211.35783
Bosnia and Herzegovina,2017,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1186.525975
Bosnia and Herzegovina,2017,"Serbia, FR(Serbia/Montenegro)",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1166.365665
Bosnia and Herzegovina,2017,Croatia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1053.000865
Bosnia and Herzegovina,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,683.167551
Bosnia and Herzegovina,2017,World,Animal,Export,Export(US$ Mil),93.012753
Bosnia and Herzegovina,2017,World,Vegetable,Export,Export(US$ Mil),269.506454
Bosnia and Herzegovina,2017,World,Food Products,Export,Export(US$ Mil),191.672017
Bosnia and Herzegovina,2017,World,Minerals,Export,Export(US$ Mil),72.389101
Bosnia and Herzegovina,2017,World,Fuels,Export,Export(US$ Mil),530.390302
Bosnia and Herzegovina,2017,World,Chemicals,Export,Export(US$ Mil),554.803596
Bosnia and Herzegovina,2017,World,Plastic or Rubber,Export,Export(US$ Mil),204.726145
Bosnia and Herzegovina,2017,World,Hides and Skins,Export,Export(US$ Mil),113.777017
Bosnia and Herzegovina,2017,World,Wood,Export,Export(US$ Mil),613.723828
Bosnia and Herzegovina,2017,World,Textiles and Clothing,Export,Export(US$ Mil),325.872358
Bosnia and Herzegovina,2017,World,Footwear,Export,Export(US$ Mil),407.51896
Bosnia and Herzegovina,2017,World,Stone and Glass,Export,Export(US$ Mil),53.403268
Bosnia and Herzegovina,2017,World,Metals,Export,Export(US$ Mil),1101.825136
Bosnia and Herzegovina,2017,World,Mach and Elec,Export,Export(US$ Mil),728.605135
Bosnia and Herzegovina,2017,World,Transportation,Export,Export(US$ Mil),192.191565
Bosnia and Herzegovina,2017,World,Miscellaneous,Export,Export(US$ Mil),913.482094
Bosnia and Herzegovina,2017,World,Raw materials,Export,Export(US$ Mil),507.643256
Bosnia and Herzegovina,2017,World,Intermediate goods,Export,Export(US$ Mil),2736.863607
Bosnia and Herzegovina,2017,World,Consumer goods,Export,Export(US$ Mil),2117.113216
Bosnia and Herzegovina,2017,World,Capital goods,Export,Export(US$ Mil),804.430216999999
Bosnia and Herzegovina,2017,World,Raw materials,Import,Import(US$ Mil),1295.759305
Bosnia and Herzegovina,2017,World,Intermediate goods,Import,Import(US$ Mil),3044.090152
Bosnia and Herzegovina,2017,World,Consumer goods,Import,Import(US$ Mil),4400.887775
Bosnia and Herzegovina,2017,World,Capital goods,Import,Import(US$ Mil),1685.60663
Bosnia and Herzegovina,2017,World,All Products,Export,Exports (in US$ Mil),6366.899729
Bosnia and Herzegovina,2017,World,All Products,Import,Imports (in US$ Mil),10444.46563
Bosnia and Herzegovina,2017,World,All Products,Tariff,Duty Free Imports (US$ Thousand),7175803.69099999
Bosnia and Herzegovina,2017,...,...,Development,Trade Balance (current US$ Mil),-3036.66474587993
Bosnia and Herzegovina,2017,...,...,Development,GDP (current US$ Mil),18054.8547885214
Bosnia and Herzegovina,2017,...,...,Tariff,No. Of Tariff Agreement,8
Bosnia and Herzegovina,2017,...,...,Import,No. Of Import partners,199
Bosnia and Herzegovina,2017,...,...,Import,No. Of Import products,4136
Bosnia and Herzegovina,2017,...,...,Export,No. Of Export partners,136
Bosnia and Herzegovina,2017,...,...,Export,No. Of Export products,2974
Bosnia and Herzegovina,2016,...,...,Others,Population,3516816
Bosnia and Herzegovina,2018,...,...,Others,Ease of Doing Business Rank,86
Bosnia and Herzegovina,2018,...,...,Others,Trading Across Borders Rank,37
Bosnia and Herzegovina,2013,...,...,Others,CPIA Trade Ratings,4
Bosnia and Herzegovina,2016,...,...,Others,LPI Rank,97
Bosnia and Herzegovina,2016,...,...,Others,LPI Score,2.596254
Bosnia and Herzegovina,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0337862
Bosnia and Herzegovina,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0886252
Bosnia and Herzegovina,2017,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,14.3852
Bosnia and Herzegovina,2017,Croatia,All Products,Export,Partner share(%)-Top 5 Export Partner,11.5595
Bosnia and Herzegovina,2017,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,10.937
Bosnia and Herzegovina,2017,"Serbia, FR(Serbia/Montenegro)",All Products,Export,Partner share(%)-Top 5 Export Partner,9.8128
Bosnia and Herzegovina,2017,Slovenia,All Products,Export,Partner share(%)-Top 5 Export Partner,8.8046
Bosnia and Herzegovina,2017,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,11.5981
Bosnia and Herzegovina,2017,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,11.3603
Bosnia and Herzegovina,2017,"Serbia, FR(Serbia/Montenegro)",All Products,Import,Partner share(%)-Top 5 Import Partner,11.1673
Bosnia and Herzegovina,2017,Croatia,All Products,Import,Partner share(%)-Top 5 Import Partner,10.0819
Bosnia and Herzegovina,2017,China,All Products,Import,Partner share(%)-Top 5 Import Partner,6.541
Bosnia and Herzegovina,2017,World,Animal,Export,Export Product share(%),1.4609
Bosnia and Herzegovina,2017,World,Vegetable,Export,Export Product share(%),4.2329
Bosnia and Herzegovina,2017,World,Food Products,Export,Export Product share(%),3.0104
Bosnia and Herzegovina,2017,World,Minerals,Export,Export Product share(%),1.137
Bosnia and Herzegovina,2017,World,Fuels,Export,Export Product share(%),8.3304
