Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Belarus,2017,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,12835.2831
Belarus,2017,Ukraine,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3357.6861
Belarus,2017,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2398.5048
Belarus,2017,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1107.9477
Belarus,2017,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1102.8498
Belarus,2017,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,19359.4862
Belarus,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2697.8409
Belarus,2017,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1707.8729
Belarus,2017,Poland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1334.7199
Belarus,2017,Ukraine,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1213.3921
Belarus,2017,World,Animal,Export,Export(US$ Mil),3041.4859
Belarus,2017,World,Vegetable,Export,Export(US$ Mil),657.8614
Belarus,2017,World,Food Products,Export,Export(US$ Mil),1206.5674
Belarus,2017,World,Minerals,Export,Export(US$ Mil),269.6876
Belarus,2017,World,Fuels,Export,Export(US$ Mil),6917.7798
Belarus,2017,World,Chemicals,Export,Export(US$ Mil),3629.7735
Belarus,2017,World,Plastic or Rubber,Export,Export(US$ Mil),1406.6949
Belarus,2017,World,Hides and Skins,Export,Export(US$ Mil),79.5272
Belarus,2017,World,Wood,Export,Export(US$ Mil),1332.5749
Belarus,2017,World,Textiles and Clothing,Export,Export(US$ Mil),1197.9799
Belarus,2017,World,Footwear,Export,Export(US$ Mil),191.9652
Belarus,2017,World,Stone and Glass,Export,Export(US$ Mil),549.8544
Belarus,2017,World,Metals,Export,Export(US$ Mil),2056.8163
Belarus,2017,World,Mach and Elec,Export,Export(US$ Mil),2435.2646
Belarus,2017,World,Transportation,Export,Export(US$ Mil),2532.659
Belarus,2017,World,Miscellaneous,Export,Export(US$ Mil),1760.637
Belarus,2017,World,Raw materials,Export,Export(US$ Mil),2374.7605
Belarus,2017,World,Intermediate goods,Export,Export(US$ Mil),8781.55
Belarus,2017,World,Consumer goods,Export,Export(US$ Mil),12348.7528
Belarus,2017,World,Capital goods,Export,Export(US$ Mil),4582.5038
Belarus,2017,World,Raw materials,Import,Import(US$ Mil),8462.4133
Belarus,2017,World,Intermediate goods,Import,Import(US$ Mil),7074.61889999999
Belarus,2017,World,Consumer goods,Import,Import(US$ Mil),11348.8937
Belarus,2017,World,Capital goods,Import,Import(US$ Mil),6570.1678
Belarus,2017,World,All Products,Export,Exports (in US$ Mil),29267.129
Belarus,2017,World,All Products,Import,Imports (in US$ Mil),34230.7131
Belarus,2017,World,All Products,Tariff,Duty Free Imports (US$ Thousand),16728795.2783999
Belarus,2017,...,...,Development,Trade Balance (current US$ Mil),-10.0942126514053
Belarus,2017,...,...,Development,GDP (current US$ Mil),54456.4654726162
Belarus,2017,...,...,Tariff,No. Of Tariff Agreement,8
Belarus,2017,...,...,Import,No. Of Import partners,187
Belarus,2017,...,...,Import,No. Of Import products,4228
Belarus,2017,...,...,Export,No. Of Export partners,165
Belarus,2017,...,...,Export,No. Of Export products,3688
Belarus,2016,...,...,Others,Population,9501534
Belarus,2018,...,...,Others,Ease of Doing Business Rank,38
Belarus,2018,...,...,Others,Trading Across Borders Rank,30
Belarus,2016,...,...,Others,LPI Rank,120
Belarus,2016,...,...,Others,LPI Score,2.399232
Belarus,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0801941
Belarus,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.111352
Belarus,,...,...,Others,Services Trade Restrictions Index - Over All,35.1
Belarus,2017,Russian Federation,All Products,Export,Partner share(%)-Top 5 Export Partner,43.8556
Belarus,2017,Ukraine,All Products,Export,Partner share(%)-Top 5 Export Partner,11.4726
Belarus,2017,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,8.1952
Belarus,2017,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,3.7856
Belarus,2017,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,3.7682
Belarus,2017,Russian Federation,All Products,Import,Partner share(%)-Top 5 Import Partner,56.5559
Belarus,2017,China,All Products,Import,Partner share(%)-Top 5 Import Partner,7.8813
