Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Belize,2017,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,76.754144525
Belize,2017,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,73.00659708
Belize,2017,Jamaica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,14.95062641
Belize,2017,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,14.17275091
Belize,2017,Barbados,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,13.1174885
Belize,2017,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,325.47594133
Belize,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,102.669752585
Belize,2017,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,101.900822565
Belize,2017,Curaçao,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,73.909936565
Belize,2017,Guatemala,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,63.4261934450001
Belize,2017,World,Animal,Export,Export(US$ Mil),20.6642306
Belize,2017,World,Vegetable,Export,Export(US$ Mil),53.172281875
Belize,2017,World,Food Products,Export,Export(US$ Mil),135.006647895
Belize,2017,World,Minerals,Export,Export(US$ Mil),0.000335
Belize,2017,World,Fuels,Export,Export(US$ Mil),21.018512075
Belize,2017,World,Chemicals,Export,Export(US$ Mil),15.653025665
Belize,2017,World,Plastic or Rubber,Export,Export(US$ Mil),3.38818139
Belize,2017,World,Hides and Skins,Export,Export(US$ Mil),0.87186292
Belize,2017,World,Wood,Export,Export(US$ Mil),7.804591855
Belize,2017,World,Textiles and Clothing,Export,Export(US$ Mil),2.56740542
Belize,2017,World,Footwear,Export,Export(US$ Mil),0.548286955
Belize,2017,World,Stone and Glass,Export,Export(US$ Mil),1.90231728
Belize,2017,World,Metals,Export,Export(US$ Mil),0.937125935
Belize,2017,World,Mach and Elec,Export,Export(US$ Mil),2.634698265
Belize,2017,World,Transportation,Export,Export(US$ Mil),4.10042691
Belize,2017,World,Miscellaneous,Export,Export(US$ Mil),7.315030025
Belize,2017,World,Raw materials,Export,Export(US$ Mil),76.11375729
Belize,2017,World,Intermediate goods,Export,Export(US$ Mil),102.361929005
Belize,2017,World,Consumer goods,Export,Export(US$ Mil),89.56787378
Belize,2017,World,Capital goods,Export,Export(US$ Mil),8.87116963
Belize,2017,World,Raw materials,Import,Import(US$ Mil),24.99994584
Belize,2017,World,Intermediate goods,Import,Import(US$ Mil),136.97564173
Belize,2017,World,Consumer goods,Import,Import(US$ Mil),583.763058114999
Belize,2017,World,Capital goods,Import,Import(US$ Mil),165.309355335
Belize,2017,World,All Products,Export,Exports (in US$ Mil),277.584960065
Belize,2017,World,All Products,Import,Imports (in US$ Mil),913.13045285
Belize,2017,World,All Products,Tariff,Duty Free Imports (US$ Thousand),164750.610445
Belize,2017,...,...,Development,Trade Balance (current US$ Mil),-63.51925
Belize,2017,...,...,Development,GDP (current US$ Mil),1862.6148
Belize,2017,...,...,Tariff,No. Of Tariff Agreement,6
Belize,2017,...,...,Import,No. Of Import partners,109
Belize,2017,...,...,Import,No. Of Import products,3234
Belize,2017,...,...,Export,No. Of Export partners,76
Belize,2017,...,...,Export,No. Of Export products,797
Belize,2016,...,...,Others,Population,366954
Belize,2018,...,...,Others,Ease of Doing Business Rank,121
Belize,2018,...,...,Others,Trading Across Borders Rank,104
Belize,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0716068
Belize,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0736294
Belize,2017,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,27.6507
Belize,2017,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,26.3006
Belize,2017,Jamaica,All Products,Export,Partner share(%)-Top 5 Export Partner,5.386
Belize,2017,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,5.1057
Belize,2017,Barbados,All Products,Export,Partner share(%)-Top 5 Export Partner,4.7256
Belize,2017,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,35.644
Belize,2017,China,All Products,Import,Partner share(%)-Top 5 Import Partner,11.2437
Belize,2017,Mexico,All Products,Import,Partner share(%)-Top 5 Import Partner,11.1595
Belize,2017,Curaçao,All Products,Import,Partner share(%)-Top 5 Import Partner,8.0941
Belize,2017,Guatemala,All Products,Import,Partner share(%)-Top 5 Import Partner,6.946
Belize,2017,World,Animal,Export,Export Product share(%),7.4443
Belize,2017,World,Vegetable,Export,Export Product share(%),19.1553
Belize,2017,World,Food Products,Export,Export Product share(%),48.6362
Belize,2017,World,Minerals,Export,Export Product share(%),0.0001
Belize,2017,World,Fuels,Export,Export Product share(%),7.5719
Belize,2017,World,Chemicals,Export,Export Product share(%),5.639
Belize,2017,World,Plastic or Rubber,Export,Export Product share(%),1.2206
Belize,2017,World,Hides and Skins,Export,Export Product share(%),0.3141
Belize,2017,World,Wood,Export,Export Product share(%),2.8116
Belize,2017,World,Textiles and Clothing,Export,Export Product share(%),0.9249
Belize,2017,World,Footwear,Export,Export Product share(%),0.1975
Belize,2017,World,Stone and Glass,Export,Export Product share(%),0.6853
Belize,2017,World,Metals,Export,Export Product share(%),0.3376
Belize,2017,World,Mach and Elec,Export,Export Product share(%),0.9492
Belize,2017,World,Transportation,Export,Export Product share(%),1.4772
Belize,2017,World,Miscellaneous,Export,Export Product share(%),2.6352
Belize,2017,World,Raw materials,Export,Export Product share(%),27.42
Belize,2017,World,Intermediate goods,Export,Export Product share(%),36.8759
Belize,2017,World,Consumer goods,Export,Export Product share(%),32.2668
Belize,2017,World,Capital goods,Export,Export Product share(%),3.1958
Belize,2017,World,Raw materials,Import,Import Product share(%),2.7378
Belize,2017,World,Intermediate goods,Import,Import Product share(%),15.0007
Belize,2017,World,Consumer goods,Import,Import Product share(%),63.9299
Belize,2017,World,Capital goods,Import,Import Product share(%),18.1036
Belize,2017,World,Raw materials,Tariff,Weighted Average (%),15.0655481085326
Belize,2017,World,Intermediate goods,Tariff,Weighted Average (%),5.94092611630538
Belize,2017,World,Consumer goods,Tariff,Weighted Average (%),13.4738090974035
Belize,2017,World,Capital goods,Tariff,Weighted Average (%),7.16799412108021
Belize,2017,World,All Products,Trade Indicator,World Growth (%),1.50064825967466
Belize,2017,World,All Products,Trade Indicator,Country Growth (%),14.7332268827684
Belize,2017,World,All Products,Tariff,Simple Average (%),11.0918437763592
