Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Bermuda,2017,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,9.53228008
Bermuda,2017,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.57170233
Bermuda,2017,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.51222057
Bermuda,2017,Norway,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.44597606
Bermuda,2017,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.29359325
Bermuda,2017,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,716.714439909999
Bermuda,2017,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,102.21835791
Bermuda,2017,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,43.56322693
Bermuda,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,27.53031838
Bermuda,2017,"Bahamas, The",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,18.93945135
Bermuda,2017,World,Animal,Export,Export(US$ Mil),0.17949993
Bermuda,2017,World,Vegetable,Export,Export(US$ Mil),0.01723198
Bermuda,2017,World,Food Products,Export,Export(US$ Mil),5.41021847
Bermuda,2017,World,Minerals,Export,Export(US$ Mil),0.00067196
Bermuda,2017,World,Fuels,Export,Export(US$ Mil),0.01777205
Bermuda,2017,World,Chemicals,Export,Export(US$ Mil),0.02503795
Bermuda,2017,World,Plastic or Rubber,Export,Export(US$ Mil),0.11008972
Bermuda,2017,World,Hides and Skins,Export,Export(US$ Mil),0.00375134
Bermuda,2017,World,Wood,Export,Export(US$ Mil),0.15816401
Bermuda,2017,World,Textiles and Clothing,Export,Export(US$ Mil),0.08682897
Bermuda,2017,World,Footwear,Export,Export(US$ Mil),0.01684556
Bermuda,2017,World,Stone and Glass,Export,Export(US$ Mil),0.1323888
Bermuda,2017,World,Metals,Export,Export(US$ Mil),0.20161194
Bermuda,2017,World,Mach and Elec,Export,Export(US$ Mil),1.50187376
Bermuda,2017,World,Transportation,Export,Export(US$ Mil),0.6881673
Bermuda,2017,World,Miscellaneous,Export,Export(US$ Mil),3.19201193
Bermuda,2017,World,Raw materials,Export,Export(US$ Mil),0.17568524
Bermuda,2017,World,Intermediate goods,Export,Export(US$ Mil),0.89619079
Bermuda,2017,World,Consumer goods,Export,Export(US$ Mil),7.40333407
Bermuda,2017,World,Capital goods,Export,Export(US$ Mil),2.37417768
Bermuda,2017,World,Raw materials,Import,Import(US$ Mil),73.11506095
Bermuda,2017,World,Intermediate goods,Import,Import(US$ Mil),56.08141202
Bermuda,2017,World,Consumer goods,Import,Import(US$ Mil),629.933408669999
Bermuda,2017,World,Capital goods,Import,Import(US$ Mil),141.111633
Bermuda,2017,World,All Products,Export,Exports (in US$ Mil),11.74216567
Bermuda,2017,World,All Products,Import,Imports (in US$ Mil),1078.21378473
Bermuda,2017,World,All Products,Tariff,Duty Free Imports (US$ Thousand),103110.36315
Bermuda,2017,...,...,Tariff,No. Of Tariff Agreement,1
Bermuda,2017,...,...,Import,No. Of Import partners,165
Bermuda,2017,...,...,Import,No. Of Import products,3487
Bermuda,2017,...,...,Export,No. Of Export partners,44
Bermuda,2017,...,...,Export,No. Of Export products,539
Bermuda,2016,...,...,Others,Population,65341
Bermuda,2017,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,81.1799
Bermuda,2017,Canada,All Products,Export,Partner share(%)-Top 5 Export Partner,4.8688
Bermuda,2017,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,4.3622
Bermuda,2017,Norway,All Products,Export,Partner share(%)-Top 5 Export Partner,3.7981
Bermuda,2017,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,2.5003
Bermuda,2017,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,66.4724
Bermuda,2017,Canada,All Products,Import,Partner share(%)-Top 5 Import Partner,9.4803
Bermuda,2017,United Kingdom,All Products,Import,Partner share(%)-Top 5 Import Partner,4.0403
Bermuda,2017,China,All Products,Import,Partner share(%)-Top 5 Import Partner,2.5533
Bermuda,2017,"Bahamas, The",All Products,Import,Partner share(%)-Top 5 Import Partner,1.7566
Bermuda,2017,World,Animal,Export,Export Product share(%),1.5287
Bermuda,2017,World,Vegetable,Export,Export Product share(%),0.1468
Bermuda,2017,World,Food Products,Export,Export Product share(%),46.0751
Bermuda,2017,World,Minerals,Export,Export Product share(%),0.0057
Bermuda,2017,World,Fuels,Export,Export Product share(%),0.1514
Bermuda,2017,World,Chemicals,Export,Export Product share(%),0.2132
Bermuda,2017,World,Plastic or Rubber,Export,Export Product share(%),0.9376
Bermuda,2017,World,Hides and Skins,Export,Export Product share(%),0.0319
Bermuda,2017,World,Wood,Export,Export Product share(%),1.347
Bermuda,2017,World,Textiles and Clothing,Export,Export Product share(%),0.7395
Bermuda,2017,World,Footwear,Export,Export Product share(%),0.1435
Bermuda,2017,World,Stone and Glass,Export,Export Product share(%),1.1275
Bermuda,2017,World,Metals,Export,Export Product share(%),1.717
Bermuda,2017,World,Mach and Elec,Export,Export Product share(%),12.7904
Bermuda,2017,World,Transportation,Export,Export Product share(%),5.8607
Bermuda,2017,World,Miscellaneous,Export,Export Product share(%),27.1842
Bermuda,2017,World,Raw materials,Export,Export Product share(%),1.4962
Bermuda,2017,World,Intermediate goods,Export,Export Product share(%),7.6322
Bermuda,2017,World,Consumer goods,Export,Export Product share(%),63.0491
Bermuda,2017,World,Capital goods,Export,Export Product share(%),20.2192
Bermuda,2017,World,Raw materials,Import,Import Product share(%),6.7811
Bermuda,2017,World,Intermediate goods,Import,Import Product share(%),5.2013
Bermuda,2017,World,Consumer goods,Import,Import Product share(%),58.4238
Bermuda,2017,World,Capital goods,Import,Import Product share(%),13.0875
Bermuda,2017,World,Raw materials,Tariff,Weighted Average (%),6.26228667325991
Bermuda,2017,World,Intermediate goods,Tariff,Weighted Average (%),16.1233237237016
Bermuda,2017,World,Consumer goods,Tariff,Weighted Average (%),21.9649989914048
Bermuda,2017,World,Capital goods,Tariff,Weighted Average (%),26.7851043362828
Bermuda,2017,World,All Products,Trade Indicator,World Growth (%),1.50064825967466
Bermuda,2017,World,All Products,Trade Indicator,Country Growth (%),-38.313682826304
Bermuda,2017,World,All Products,Tariff,Simple Average (%),19.9048991643626
Bermuda,2017,World,All Products,Tariff,Weighted Average (%),20.8518595913457
Bermuda,2017,World,All Products,Tariff,Maximum Rate (%),1403.42395019531
Bermuda,2017,World,All Products,Tariff,Duty Free Tariff Lines Share (%),6.73721119529147
Bermuda,2017,...,...,Trade Indicator,Index of export market penetration,1.28603970061829
Bermuda,2017,...,...,Trade Indicator,HH Market concentration index,0.260521116452315
