Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Bolivia,2017,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1452.28478773
Bolivia,2017,Argentina,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1231.0763486
Bolivia,2017,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,609.94593559
Bolivia,2017,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,581.30323016
Bolivia,2017,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,567.74718983
Bolivia,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2027.34195311
Bolivia,2017,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1559.95501332
Bolivia,2017,Argentina,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1164.04141869
Bolivia,2017,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,744.08083422
Bolivia,2017,Peru,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,609.72155932
Bolivia,2017,World,Animal,Export,Export(US$ Mil),26.25810633
Bolivia,2017,World,Vegetable,Export,Export(US$ Mil),616.28160301
Bolivia,2017,World,Food Products,Export,Export(US$ Mil),450.40521251
Bolivia,2017,World,Minerals,Export,Export(US$ Mil),2262.94503557
Bolivia,2017,World,Fuels,Export,Export(US$ Mil),2723.39738729
Bolivia,2017,World,Chemicals,Export,Export(US$ Mil),45.13451048
Bolivia,2017,World,Plastic or Rubber,Export,Export(US$ Mil),2.42583798
Bolivia,2017,World,Hides and Skins,Export,Export(US$ Mil),35.46340447
Bolivia,2017,World,Wood,Export,Export(US$ Mil),46.21259805
Bolivia,2017,World,Textiles and Clothing,Export,Export(US$ Mil),16.22881501
Bolivia,2017,World,Footwear,Export,Export(US$ Mil),8.73837896
Bolivia,2017,World,Stone and Glass,Export,Export(US$ Mil),1250.80360857
Bolivia,2017,World,Metals,Export,Export(US$ Mil),354.01827121
Bolivia,2017,World,Mach and Elec,Export,Export(US$ Mil),4.92637398
Bolivia,2017,World,Transportation,Export,Export(US$ Mil),0.001
Bolivia,2017,World,Miscellaneous,Export,Export(US$ Mil),9.12083576
Bolivia,2017,World,Raw materials,Export,Export(US$ Mil),2680.22607381
Bolivia,2017,World,Intermediate goods,Export,Export(US$ Mil),2216.81286898
Bolivia,2017,World,Consumer goods,Export,Export(US$ Mil),2950.12902976
Bolivia,2017,World,Capital goods,Export,Export(US$ Mil),5.14831378
Bolivia,2017,World,Raw materials,Import,Import(US$ Mil),166.00652944
Bolivia,2017,World,Intermediate goods,Import,Import(US$ Mil),2278.75242487
Bolivia,2017,World,Consumer goods,Import,Import(US$ Mil),3746.73727639
Bolivia,2017,World,Capital goods,Import,Import(US$ Mil),3104.88991292
Bolivia,2017,World,All Products,Export,Exports (in US$ Mil),7852.36097918
Bolivia,2017,World,All Products,Import,Imports (in US$ Mil),9302.38588751001
Bolivia,2017,World,All Products,Tariff,Duty Free Imports (US$ Thousand),2924222.81088
Bolivia,2017,...,...,Development,Trade Balance (current US$ Mil),-2586.73256150509
Bolivia,2017,...,...,Development,GDP (current US$ Mil),37508.6421128799
Bolivia,2017,...,...,Tariff,No. Of Tariff Agreement,22
Bolivia,2017,...,...,Import,No. Of Import partners,199
Bolivia,2017,...,...,Import,No. Of Import products,3927
