Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Brazil,2017,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,47488.448664
Brazil,2017,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,27147.72201
Brazil,2017,Argentina,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,17618.814028
Brazil,2017,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,9252.264688
Brazil,2017,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5263.291437
Brazil,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,27321.483887
Brazil,2017,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,25112.251807
Brazil,2017,Argentina,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,9435.191875
Brazil,2017,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,9227.149632
Brazil,2017,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5239.961289
Brazil,2017,World,Animal,Export,Export(US$ Mil),15379.359619
Brazil,2017,World,Vegetable,Export,Export(US$ Mil),38759.176626
Brazil,2017,World,Food Products,Export,Export(US$ Mil),25189.110334
Brazil,2017,World,Minerals,Export,Export(US$ Mil),23080.38543
Brazil,2017,World,Fuels,Export,Export(US$ Mil),21222.938019
Brazil,2017,World,Chemicals,Export,Export(US$ Mil),10557.556608
Brazil,2017,World,Plastic or Rubber,Export,Export(US$ Mil),5457.51334
Brazil,2017,World,Hides and Skins,Export,Export(US$ Mil),2006.569668
Brazil,2017,World,Wood,Export,Export(US$ Mil),11140.295318
Brazil,2017,World,Textiles and Clothing,Export,Export(US$ Mil),2377.800823
Brazil,2017,World,Footwear,Export,Export(US$ Mil),1283.483602
Brazil,2017,World,Stone and Glass,Export,Export(US$ Mil),5188.260482
Brazil,2017,World,Metals,Export,Export(US$ Mil),16314.529356
Brazil,2017,World,Mach and Elec,Export,Export(US$ Mil),17281.12972
Brazil,2017,World,Transportation,Export,Export(US$ Mil),19844.881774
Brazil,2017,World,Miscellaneous,Export,Export(US$ Mil),2656.186358
Brazil,2017,World,Raw materials,Export,Export(US$ Mil),95246.488091
Brazil,2017,World,Intermediate goods,Export,Export(US$ Mil),60413.1289769999
Brazil,2017,World,Consumer goods,Export,Export(US$ Mil),28748.01694
Brazil,2017,World,Capital goods,Export,Export(US$ Mil),30632.630557
Brazil,2017,World,Raw materials,Import,Import(US$ Mil),13789.801375
Brazil,2017,World,Intermediate goods,Import,Import(US$ Mil),47351.5744989999
Brazil,2017,World,Consumer goods,Import,Import(US$ Mil),40874.221906
Brazil,2017,World,Capital goods,Import,Import(US$ Mil),48632.64249
Brazil,2017,World,All Products,Export,Exports (in US$ Mil),217739.177077
Brazil,2017,World,All Products,Import,Imports (in US$ Mil),150749.452449
Brazil,2017,World,All Products,Tariff,Duty Free Imports (US$ Thousand),39782813.985
