Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Barbados,2017,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,125.4370775
Barbados,2017,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,94.637345
Barbados,2017,Trinidad and Tobago,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,36.5188335
Barbados,2017,Jamaica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,28.4366865
Barbados,2017,Guyana,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,23.930051
Barbados,2017,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,632.5550565
Barbados,2017,Trinidad and Tobago,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,268.336201
Barbados,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,92.515314
Barbados,2017,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,63.99888
Barbados,2017,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,45.3577085
Barbados,2017,World,Animal,Export,Export(US$ Mil),2.1792395
Barbados,2017,World,Vegetable,Export,Export(US$ Mil),15.902718
Barbados,2017,World,Food Products,Export,Export(US$ Mil),91.592681
Barbados,2017,World,Minerals,Export,Export(US$ Mil),16.5966055
Barbados,2017,World,Fuels,Export,Export(US$ Mil),107.9076485
Barbados,2017,World,Chemicals,Export,Export(US$ Mil),71.085509
Barbados,2017,World,Plastic or Rubber,Export,Export(US$ Mil),5.906206
Barbados,2017,World,Hides and Skins,Export,Export(US$ Mil),9.9459385
Barbados,2017,World,Wood,Export,Export(US$ Mil),17.0337805
Barbados,2017,World,Textiles and Clothing,Export,Export(US$ Mil),17.01437
Barbados,2017,World,Footwear,Export,Export(US$ Mil),9.089721
Barbados,2017,World,Stone and Glass,Export,Export(US$ Mil),29.725117
Barbados,2017,World,Metals,Export,Export(US$ Mil),16.8471255
Barbados,2017,World,Mach and Elec,Export,Export(US$ Mil),21.0012915
Barbados,2017,World,Transportation,Export,Export(US$ Mil),8.7249205
Barbados,2017,World,Miscellaneous,Export,Export(US$ Mil),44.8350755
Barbados,2017,World,Raw materials,Export,Export(US$ Mil),20.260523
Barbados,2017,World,Intermediate goods,Export,Export(US$ Mil),65.790954
Barbados,2017,World,Consumer goods,Export,Export(US$ Mil),360.989864499999
Barbados,2017,World,Capital goods,Export,Export(US$ Mil),35.6438095
Barbados,2017,World,Raw materials,Import,Import(US$ Mil),115.1864835
Barbados,2017,World,Intermediate goods,Import,Import(US$ Mil),167.214466
Barbados,2017,World,Consumer goods,Import,Import(US$ Mil),1034.8054755
Barbados,2017,World,Capital goods,Import,Import(US$ Mil),277.6266635
Barbados,2017,World,All Products,Export,Exports (in US$ Mil),485.3879475
Barbados,2017,World,All Products,Import,Imports (in US$ Mil),1599.5974945
Barbados,2013,World,All Products,Tariff,Duty Free Imports (US$ Thousand),149661.191
Barbados,2017,...,...,Development,Trade Balance (current US$ Mil),-321.59255
Barbados,2017,...,...,Development,GDP (current US$ Mil),4673.5
Barbados,2013,...,...,Tariff,No. Of Tariff Agreement,3
Barbados,2017,...,...,Import,No. Of Import partners,178
Barbados,2017,...,...,Import,No. Of Import products,3765
Barbados,2017,...,...,Export,No. Of Export partners,141
Barbados,2017,...,...,Export,No. Of Export products,1764
Barbados,2016,...,...,Others,Population,284996
Barbados,2018,...,...,Others,Ease of Doing Business Rank,132
Barbados,2018,...,...,Others,Trading Across Borders Rank,129
Barbados,2017,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,25.8426
Barbados,2017,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,19.4973
Barbados,2017,Trinidad and Tobago,All Products,Export,Partner share(%)-Top 5 Export Partner,7.5236
Barbados,2017,Jamaica,All Products,Export,Partner share(%)-Top 5 Export Partner,5.8585
Barbados,2017,Guyana,All Products,Export,Partner share(%)-Top 5 Export Partner,4.9301
Barbados,2017,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,39.5446
Barbados,2017,Trinidad and Tobago,All Products,Import,Partner share(%)-Top 5 Import Partner,16.7752
Barbados,2017,China,All Products,Import,Partner share(%)-Top 5 Import Partner,5.7837
Barbados,2017,United Kingdom,All Products,Import,Partner share(%)-Top 5 Import Partner,4.0009
Barbados,2017,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,2.8356
Barbados,2017,World,Animal,Export,Export Product share(%),0.449
Barbados,2017,World,Vegetable,Export,Export Product share(%),3.2763
Barbados,2017,World,Food Products,Export,Export Product share(%),18.87
Barbados,2017,World,Minerals,Export,Export Product share(%),3.4192
Barbados,2017,World,Fuels,Export,Export Product share(%),22.2312
Barbados,2017,World,Chemicals,Export,Export Product share(%),14.6451
Barbados,2017,World,Plastic or Rubber,Export,Export Product share(%),1.2168
Barbados,2017,World,Hides and Skins,Export,Export Product share(%),2.0491
Barbados,2017,World,Wood,Export,Export Product share(%),3.5093
Barbados,2017,World,Textiles and Clothing,Export,Export Product share(%),3.5053
Barbados,2017,World,Footwear,Export,Export Product share(%),1.8727
Barbados,2017,World,Stone and Glass,Export,Export Product share(%),6.124
Barbados,2017,World,Metals,Export,Export Product share(%),3.4709
Barbados,2017,World,Mach and Elec,Export,Export Product share(%),4.3267
Barbados,2017,World,Transportation,Export,Export Product share(%),1.7975
Barbados,2017,World,Miscellaneous,Export,Export Product share(%),9.237
Barbados,2017,World,Raw materials,Export,Export Product share(%),4.1741
Barbados,2017,World,Intermediate goods,Export,Export Product share(%),13.5543
Barbados,2017,World,Consumer goods,Export,Export Product share(%),74.3714
Barbados,2017,World,Capital goods,Export,Export Product share(%),7.3434
Barbados,2017,World,Raw materials,Import,Import Product share(%),7.201
Barbados,2017,World,Intermediate goods,Import,Import Product share(%),10.4535
Barbados,2017,World,Consumer goods,Import,Import Product share(%),64.6916
Barbados,2017,World,Capital goods,Import,Import Product share(%),17.356
Barbados,2013,World,Raw materials,Tariff,Weighted Average (%),24.2619121014975
Barbados,2013,World,Intermediate goods,Tariff,Weighted Average (%),11.9506457777289
Barbados,2013,World,Consumer goods,Tariff,Weighted Average (%),15.9549666750694
Barbados,2013,World,Capital goods,Tariff,Weighted Average (%),6.06622629185971
Barbados,2017,World,All Products,Trade Indicator,World Growth (%),1.50064825967466
Barbados,2017,World,All Products,Trade Indicator,Country Growth (%),8.39728619945164
Barbados,2013,World,All Products,Tariff,Simple Average (%),12.5547610525408
Barbados,2013,World,All Products,Tariff,Weighted Average (%),14.2090751720492
Barbados,2013,World,All Products,Tariff,Maximum Rate (%),845.230590820313
Barbados,2013,World,All Products,Tariff,Duty Free Tariff Lines Share (%),23.6503180360616
Barbados,2017,...,...,Trade Indicator,Index of export market penetration,1.69105989021058
Barbados,2017,...,...,Trade Indicator,HH Market concentration index,0.0646111467964186
Barbados,2017,...,...,Development,Trade Balance (% of GDP),-6.8811928961164
Barbados,2017,...,...,Development,Trade (% of GDP),82.8433582967797
Barbados,2017,...,...,Development,"GNI per capita, Atlas method (current US$)",15270
