Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Brunei,2017,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1630.29960010586
Brunei,2017,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,789.360593223659
Brunei,2017,Malaysia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,625.6362371293
Brunei,2017,Thailand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,611.505485242793
Brunei,2017,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,544.901107106578
Brunei,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,641.85992803623
Brunei,2017,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,569.21676811306
Brunei,2017,Malaysia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,562.431634394634
Brunei,2017,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,292.167974772887
Brunei,2017,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,171.796563145469
Brunei,2017,World,Animal,Export,Export(US$ Mil),5.48734042948137
Brunei,2017,World,Vegetable,Export,Export(US$ Mil),0.753232317018519
Brunei,2017,World,Food Products,Export,Export(US$ Mil),4.77094437296561
Brunei,2017,World,Minerals,Export,Export(US$ Mil),0.285962766694428
Brunei,2017,World,Fuels,Export,Export(US$ Mil),4989.41356009544
Brunei,2017,World,Chemicals,Export,Export(US$ Mil),202.799036404631
Brunei,2017,World,Plastic or Rubber,Export,Export(US$ Mil),3.40688269840866
Brunei,2017,World,Hides and Skins,Export,Export(US$ Mil),1.14733256827513
Brunei,2017,World,Wood,Export,Export(US$ Mil),3.84120588665962
Brunei,2017,World,Textiles and Clothing,Export,Export(US$ Mil),11.7985493030698
Brunei,2017,World,Footwear,Export,Export(US$ Mil),0.852307696432512
Brunei,2017,World,Stone and Glass,Export,Export(US$ Mil),12.5780886353246
Brunei,2017,World,Metals,Export,Export(US$ Mil),33.0218387397404
Brunei,2017,World,Mach and Elec,Export,Export(US$ Mil),99.6132687587074
Brunei,2017,World,Transportation,Export,Export(US$ Mil),38.6788014273853
Brunei,2017,World,Miscellaneous,Export,Export(US$ Mil),162.126861665173
Brunei,2017,World,Raw materials,Export,Export(US$ Mil),2233.37396696177
Brunei,2017,World,Intermediate goods,Export,Export(US$ Mil),250.728694455029
Brunei,2017,World,Consumer goods,Export,Export(US$ Mil),2829.54208505163
Brunei,2017,World,Capital goods,Export,Export(US$ Mil),245.704576591697
Brunei,2017,World,Raw materials,Import,Import(US$ Mil),185.88713127346
