Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Botswana,2017,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1346.62261908035
Botswana,2017,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1163.1590794113
Botswana,2017,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,976.8879959255
Botswana,2017,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,535.127779283366
Botswana,2017,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,482.843858453308
Botswana,2017,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3397.95292774229
Botswana,2017,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,467.353897806289
Botswana,2017,Namibia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,354.438747339595
Botswana,2017,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,188.247070458192
Botswana,2017,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,125.494880547158
Botswana,2017,World,Animal,Export,Export(US$ Mil),87.9344693397128
Botswana,2017,World,Vegetable,Export,Export(US$ Mil),5.89164551816228
Botswana,2017,World,Food Products,Export,Export(US$ Mil),11.5495723384213
Botswana,2017,World,Minerals,Export,Export(US$ Mil),23.594029451462
Botswana,2017,World,Fuels,Export,Export(US$ Mil),8.51066853788324
Botswana,2017,World,Chemicals,Export,Export(US$ Mil),52.6643882941214
Botswana,2017,World,Plastic or Rubber,Export,Export(US$ Mil),22.8045963351087
Botswana,2017,World,Hides and Skins,Export,Export(US$ Mil),3.83784113366423
Botswana,2017,World,Wood,Export,Export(US$ Mil),10.5140379908811
Botswana,2017,World,Textiles and Clothing,Export,Export(US$ Mil),17.2565718983306
Botswana,2017,World,Footwear,Export,Export(US$ Mil),0.730250262832209
Botswana,2017,World,Stone and Glass,Export,Export(US$ Mil),5395.07883416664
Botswana,2017,World,Metals,Export,Export(US$ Mil),23.5540753889468
Botswana,2017,World,Mach and Elec,Export,Export(US$ Mil),169.84866646098
Botswana,2017,World,Transportation,Export,Export(US$ Mil),55.3638069680722
Botswana,2017,World,Miscellaneous,Export,Export(US$ Mil),8.96929625647717
Botswana,2017,World,Raw materials,Export,Export(US$ Mil),4924.91746547309
Botswana,2017,World,Intermediate goods,Export,Export(US$ Mil),648.258190952657
Botswana,2017,World,Consumer goods,Export,Export(US$ Mil),218.536796680082
Botswana,2017,World,Capital goods,Export,Export(US$ Mil),102.565699910484
Botswana,2017,World,Raw materials,Import,Import(US$ Mil),1451.68061515173
Botswana,2017,World,Intermediate goods,Import,Import(US$ Mil),676.921092448984
Botswana,2017,World,Consumer goods,Import,Import(US$ Mil),2198.03923483545
Botswana,2017,World,Capital goods,Import,Import(US$ Mil),933.994872498803
Botswana,2017,World,All Products,Export,Exports (in US$ Mil),5898.10275034169
Botswana,2017,World,All Products,Import,Imports (in US$ Mil),5284.23056518759
Botswana,2017,World,All Products,Tariff,Duty Free Imports (US$ Thousand),4766715.95611156
Botswana,2017,...,...,Development,Trade Balance (current US$ Mil),1026.99841506079
Botswana,2017,...,...,Development,GDP (current US$ Mil),17406.5658232986
