Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Central African Republic,2016,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,42.976527
Central African Republic,2016,Burundi,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,12.603887
Central African Republic,2016,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8.9959
Central African Republic,2016,Cameroon,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,7.469194
Central African Republic,2016,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3.277105
Central African Republic,2016,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,84.821865
Central African Republic,2016,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,45.170066
Central African Republic,2016,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,39.649853
Central African Republic,2016,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,35.239619
Central African Republic,2016,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,28.327251
Central African Republic,2016,World,Animal,Export,Export(US$ Mil),
Central African Republic,2016,World,Vegetable,Export,Export(US$ Mil),0.018864
Central African Republic,2016,World,Food Products,Export,Export(US$ Mil),0.303689
Central African Republic,2016,World,Minerals,Export,Export(US$ Mil),0.002083
Central African Republic,2016,World,Fuels,Export,Export(US$ Mil),0.040908
Central African Republic,2016,World,Chemicals,Export,Export(US$ Mil),
Central African Republic,2016,World,Plastic or Rubber,Export,Export(US$ Mil),0.135329
Central African Republic,2016,World,Hides and Skins,Export,Export(US$ Mil),0.001655
Central African Republic,2016,World,Wood,Export,Export(US$ Mil),28.827876
Central African Republic,2016,World,Textiles and Clothing,Export,Export(US$ Mil),0.784979
Central African Republic,2016,World,Footwear,Export,Export(US$ Mil),
Central African Republic,2016,World,Stone and Glass,Export,Export(US$ Mil),2.86427
Central African Republic,2016,World,Metals,Export,Export(US$ Mil),0.010688
Central African Republic,2016,World,Mach and Elec,Export,Export(US$ Mil),3.802255
Central African Republic,2016,World,Transportation,Export,Export(US$ Mil),51.653227
Central African Republic,2016,World,Miscellaneous,Export,Export(US$ Mil),0.00543
Central African Republic,2016,World,Raw materials,Export,Export(US$ Mil),22.159159
Central African Republic,2016,World,Intermediate goods,Export,Export(US$ Mil),13.965484
Central African Republic,2016,World,Consumer goods,Export,Export(US$ Mil),1.268564
Central African Republic,2016,World,Capital goods,Export,Export(US$ Mil),51.058048
Central African Republic,2016,World,Raw materials,Import,Import(US$ Mil),5.707957
Central African Republic,2016,World,Intermediate goods,Import,Import(US$ Mil),45.351412
Central African Republic,2016,World,Consumer goods,Import,Import(US$ Mil),199.041864
