Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Switzerland,2017,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,45312.2262775301
Switzerland,2017,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,36674.9283004076
Switzerland,2017,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,24492.5340622749
Switzerland,2017,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,19899.8233375263
Switzerland,2017,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,17128.2871390089
Switzerland,2017,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,55322.1932019104
Switzerland,2017,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,21409.3963801127
Switzerland,2017,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,20134.7988381699
Switzerland,2017,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,19384.0252950313
Switzerland,2017,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,17393.031246257
Switzerland,2017,World,Animal,Export,Export(US$ Mil),843.515333900252
Switzerland,2017,World,Vegetable,Export,Export(US$ Mil),2554.58329351441
Switzerland,2017,World,Food Products,Export,Export(US$ Mil),5839.81298408067
Switzerland,2017,World,Minerals,Export,Export(US$ Mil),169.857204330837
Switzerland,2017,World,Fuels,Export,Export(US$ Mil),2068.82839901882
Switzerland,2017,World,Chemicals,Export,Export(US$ Mil),97326.9732813773
Switzerland,2017,World,Plastic or Rubber,Export,Export(US$ Mil),5547.72178563976
Switzerland,2017,World,Hides and Skins,Export,Export(US$ Mil),671.436660170847
Switzerland,2017,World,Wood,Export,Export(US$ Mil),2361.42944018173
Switzerland,2017,World,Textiles and Clothing,Export,Export(US$ Mil),3267.08331151659
Switzerland,2017,World,Footwear,Export,Export(US$ Mil),832.491502169034
Switzerland,2017,World,Stone and Glass,Export,Export(US$ Mil),85359.1524127472
Switzerland,2017,World,Metals,Export,Export(US$ Mil),9592.08236316223
Switzerland,2017,World,Mach and Elec,Export,Export(US$ Mil),35558.1865114056
Switzerland,2017,World,Transportation,Export,Export(US$ Mil),5515.87262341026
Switzerland,2017,World,Miscellaneous,Export,Export(US$ Mil),41799.6659812059
Switzerland,2017,World,Raw materials,Export,Export(US$ Mil),1856.82538624313
Switzerland,2017,World,Intermediate goods,Export,Export(US$ Mil),137657.641835986
Switzerland,2017,World,Consumer goods,Export,Export(US$ Mil),102585.00827636
