Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
China,2017,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,430328.146524
China,2017,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,279210.546471
China,2017,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,137258.93331
China,2017,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,102703.776594
China,2017,Vietnam,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,71617.248156
China,2017,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,177553.154148
China,2017,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,165794.005814
China,2017,"Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,155961.303175
China,2017,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,154441.855874
China,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,132369.371926
China,2017,World,Animal,Export,Export(US$ Mil),16873.853416
China,2017,World,Vegetable,Export,Export(US$ Mil),25908.559098
China,2017,World,Food Products,Export,Export(US$ Mil),30866.231353
China,2017,World,Minerals,Export,Export(US$ Mil),3995.077654
China,2017,World,Fuels,Export,Export(US$ Mil),35390.766468
China,2017,World,Chemicals,Export,Export(US$ Mil),114299.749531
China,2017,World,Plastic or Rubber,Export,Export(US$ Mil),91050.519535
China,2017,World,Hides and Skins,Export,Export(US$ Mil),33138.764394
China,2017,World,Wood,Export,Export(US$ Mil),38516.042286
China,2017,World,Textiles and Clothing,Export,Export(US$ Mil),257399.072451
China,2017,World,Footwear,Export,Export(US$ Mil),61105.663564
China,2017,World,Stone and Glass,Export,Export(US$ Mil),63822.267927
China,2017,World,Metals,Export,Export(US$ Mil),165096.874367
China,2017,World,Mach and Elec,Export,Export(US$ Mil),981023.769949
China,2017,World,Transportation,Export,Export(US$ Mil),104808.916449
China,2017,World,Miscellaneous,Export,Export(US$ Mil),240074.375859
