Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Cameroon,2017,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,906.21523612575
Cameroon,2017,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,788.909548542
Cameroon,2017,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,686.2008818454
Cameroon,2017,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,625.15140629685
Cameroon,2017,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,589.9969407897
Cameroon,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1785.73001076266
Cameroon,2017,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1016.31398257646
Cameroon,2017,Thailand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,595.3346963966
Cameroon,2017,Togo,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,529.44666729168
Cameroon,2017,Nigeria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,509.23085416888
Cameroon,2017,World,Animal,Export,Export(US$ Mil),13.9802449878
Cameroon,2017,World,Vegetable,Export,Export(US$ Mil),259.02438002835
Cameroon,2017,World,Food Products,Export,Export(US$ Mil),1161.3749272374
Cameroon,2017,World,Minerals,Export,Export(US$ Mil),18.8343814776
Cameroon,2017,World,Fuels,Export,Export(US$ Mil),2836.61797945515
Cameroon,2017,World,Chemicals,Export,Export(US$ Mil),204.95443417995
Cameroon,2017,World,Plastic or Rubber,Export,Export(US$ Mil),157.3408215573
Cameroon,2017,World,Hides and Skins,Export,Export(US$ Mil),0.43002287985
Cameroon,2017,World,Wood,Export,Export(US$ Mil),1030.2337664673
Cameroon,2017,World,Textiles and Clothing,Export,Export(US$ Mil),343.59302587485
Cameroon,2017,World,Footwear,Export,Export(US$ Mil),4.10174650005
Cameroon,2017,World,Stone and Glass,Export,Export(US$ Mil),28.07708523375
Cameroon,2017,World,Metals,Export,Export(US$ Mil),360.09930773265
Cameroon,2017,World,Mach and Elec,Export,Export(US$ Mil),60.91931594955
Cameroon,2017,World,Transportation,Export,Export(US$ Mil),26.61491527275
Cameroon,2017,World,Miscellaneous,Export,Export(US$ Mil),21.11448296205
Cameroon,2017,World,Raw materials,Export,Export(US$ Mil),4505.11018883835
