Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
"Congo, Rep.",2017,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2761.48319785115
"Congo, Rep.",2017,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1008.57616852086
"Congo, Rep.",2017,Angola,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,523.729663340363
"Congo, Rep.",2017,Heard Island and McDonald Isla,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,461.785818407482
"Congo, Rep.",2017,Cameroon,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,433.333166774607
"Congo, Rep.",2017,Heard Island and McDonald Isla,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,463.410560485158
"Congo, Rep.",2017,Namibia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,398.280114316197
"Congo, Rep.",2017,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,364.188115013406
"Congo, Rep.",2017,Angola,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,318.753388107365
"Congo, Rep.",2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,295.716906581304
"Congo, Rep.",2017,World,Animal,Export,Export(US$ Mil),6.54092648328436
"Congo, Rep.",2017,World,Vegetable,Export,Export(US$ Mil),2.28815809694931
"Congo, Rep.",2017,World,Food Products,Export,Export(US$ Mil),14.2462972741312
"Congo, Rep.",2017,World,Minerals,Export,Export(US$ Mil),1.31065954980599
"Congo, Rep.",2017,World,Fuels,Export,Export(US$ Mil),3654.04712785283
"Congo, Rep.",2017,World,Chemicals,Export,Export(US$ Mil),4.07740237724886
"Congo, Rep.",2017,World,Plastic or Rubber,Export,Export(US$ Mil),1.9528379271942
"Congo, Rep.",2017,World,Hides and Skins,Export,Export(US$ Mil),0.21850926489378
"Congo, Rep.",2017,World,Wood,Export,Export(US$ Mil),45.3351452493245
