Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Colombia,2017,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11012.21522041
Colombia,2017,Panama,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2584.23335637
Colombia,2017,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1999.57498961
Colombia,2017,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1542.30094611
Colombia,2017,Mexico,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1536.66154457
Colombia,2017,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,12096.14541822
Colombia,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8754.46295629
Colombia,2017,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3436.89468365
Colombia,2017,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2286.01270595
Colombia,2017,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1873.99763772
Colombia,2017,World,Animal,Export,Export(US$ Mil),276.2872344
Colombia,2017,World,Vegetable,Export,Export(US$ Mil),5732.49516807
Colombia,2017,World,Food Products,Export,Export(US$ Mil),1308.8372789
Colombia,2017,World,Minerals,Export,Export(US$ Mil),76.7279726
Colombia,2017,World,Fuels,Export,Export(US$ Mil),20446.99057501
Colombia,2017,World,Chemicals,Export,Export(US$ Mil),1887.19738463
Colombia,2017,World,Plastic or Rubber,Export,Export(US$ Mil),1423.54960834
Colombia,2017,World,Hides and Skins,Export,Export(US$ Mil),163.01396459
Colombia,2017,World,Wood,Export,Export(US$ Mil),455.99907585
Colombia,2017,World,Textiles and Clothing,Export,Export(US$ Mil),696.57369981
Colombia,2017,World,Footwear,Export,Export(US$ Mil),44.24133739
Colombia,2017,World,Stone and Glass,Export,Export(US$ Mil),2273.09270767
Colombia,2017,World,Metals,Export,Export(US$ Mil),1177.25084139
Colombia,2017,World,Mach and Elec,Export,Export(US$ Mil),908.70246896
Colombia,2017,World,Transportation,Export,Export(US$ Mil),614.23149481
Colombia,2017,World,Miscellaneous,Export,Export(US$ Mil),281.13024761
Colombia,2017,World,Raw materials,Export,Export(US$ Mil),22212.67801833
Colombia,2017,World,Intermediate goods,Export,Export(US$ Mil),6574.96834240999
Colombia,2017,World,Consumer goods,Export,Export(US$ Mil),7875.40906795
Colombia,2017,World,Capital goods,Export,Export(US$ Mil),1084.95617081
