Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Cape Verde,2017,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,35.3468334750329
Cape Verde,2017,Portugal,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,12.3628948727774
Cape Verde,2017,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1.1658636402769
Cape Verde,2017,Angola,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.2473147657382
Cape Verde,2017,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.18606095799202
Cape Verde,2017,Portugal,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,340.711721643815
Cape Verde,2017,Spain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,100.032346031954
Cape Verde,2017,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,48.7988337170295
Cape Verde,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,42.8458717043669
Cape Verde,2017,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,36.4090215996742
Cape Verde,2017,World,Animal,Export,Export(US$ Mil),9.9508721472869
Cape Verde,2017,World,Vegetable,Export,Export(US$ Mil),0.09629665921344
Cape Verde,2017,World,Food Products,Export,Export(US$ Mil),28.564747124168
Cape Verde,2017,World,Minerals,Export,Export(US$ Mil),0.00022509894054
Cape Verde,2017,World,Fuels,Export,Export(US$ Mil),
Cape Verde,2017,World,Chemicals,Export,Export(US$ Mil),
Cape Verde,2017,World,Plastic or Rubber,Export,Export(US$ Mil),
Cape Verde,2017,World,Hides and Skins,Export,Export(US$ Mil),0.00192915702
Cape Verde,2017,World,Wood,Export,Export(US$ Mil),
Cape Verde,2017,World,Textiles and Clothing,Export,Export(US$ Mil),6.49512103908546
Cape Verde,2017,World,Footwear,Export,Export(US$ Mil),3.72571221757588
Cape Verde,2017,World,Stone and Glass,Export,Export(US$ Mil),
Cape Verde,2017,World,Metals,Export,Export(US$ Mil),
Cape Verde,2017,World,Mach and Elec,Export,Export(US$ Mil),
Cape Verde,2017,World,Transportation,Export,Export(US$ Mil),
Cape Verde,2017,World,Miscellaneous,Export,Export(US$ Mil),1.10039909518686
Cape Verde,2017,World,Raw materials,Export,Export(US$ Mil),9.2284675568181
Cape Verde,2017,World,Intermediate goods,Export,Export(US$ Mil),4.92387813252594
Cape Verde,2017,World,Consumer goods,Export,Export(US$ Mil),35.782956849133
Cape Verde,2017,World,Capital goods,Export,Export(US$ Mil),
Cape Verde,2017,World,Raw materials,Import,Import(US$ Mil),73.5917677742935
Cape Verde,2017,World,Intermediate goods,Import,Import(US$ Mil),128.164489438647
Cape Verde,2017,World,Consumer goods,Import,Import(US$ Mil),404.603340168818
Cape Verde,2017,World,Capital goods,Import,Import(US$ Mil),187.239422079993
Cape Verde,2017,World,All Products,Export,Exports (in US$ Mil),49.935302538477
Cape Verde,2017,World,All Products,Import,Imports (in US$ Mil),793.599019461751
Cape Verde,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),162036.838
Cape Verde,2017,...,...,Development,Trade Balance (current US$ Mil),-344.533023743723
Cape Verde,2017,...,...,Development,GDP (current US$ Mil),1772.70645118085
Cape Verde,2015,...,...,Tariff,No. Of Tariff Agreement,1
Cape Verde,2017,...,...,Import,No. Of Import partners,107
Cape Verde,2017,...,...,Import,No. Of Import products,3210
Cape Verde,2017,...,...,Export,No. Of Export partners,16
Cape Verde,2017,...,...,Export,No. Of Export products,54
Cape Verde,2016,...,...,Others,Population,539560
Cape Verde,2018,...,...,Others,Ease of Doing Business Rank,127
Cape Verde,2018,...,...,Others,Trading Across Borders Rank,107
