Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Costa Rica,2016,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4058.03812
Costa Rica,2016,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,575.437869
Costa Rica,2016,Panama,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,561.017178
Costa Rica,2016,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,532.214175
Costa Rica,2016,Nicaragua,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,517.296834
Costa Rica,2016,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5711.167765
Costa Rica,2016,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2082.231063
Costa Rica,2016,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1067.13986
Costa Rica,2016,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,485.098323
Costa Rica,2016,Guatemala,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,416.693417
Costa Rica,2016,World,Animal,Export,Export(US$ Mil),310.488889
Costa Rica,2016,World,Vegetable,Export,Export(US$ Mil),2865.381567
Costa Rica,2016,World,Food Products,Export,Export(US$ Mil),1388.426247
Costa Rica,2016,World,Minerals,Export,Export(US$ Mil),32.956488
Costa Rica,2016,World,Fuels,Export,Export(US$ Mil),3.345828
Costa Rica,2016,World,Chemicals,Export,Export(US$ Mil),610.753979
Costa Rica,2016,World,Plastic or Rubber,Export,Export(US$ Mil),597.596738
Costa Rica,2016,World,Hides and Skins,Export,Export(US$ Mil),12.764092
Costa Rica,2016,World,Wood,Export,Export(US$ Mil),320.309955
Costa Rica,2016,World,Textiles and Clothing,Export,Export(US$ Mil),126.372393
Costa Rica,2016,World,Footwear,Export,Export(US$ Mil),1.25332
Costa Rica,2016,World,Stone and Glass,Export,Export(US$ Mil),116.08081
Costa Rica,2016,World,Metals,Export,Export(US$ Mil),318.447489
Costa Rica,2016,World,Mach and Elec,Export,Export(US$ Mil),516.377307
Costa Rica,2016,World,Transportation,Export,Export(US$ Mil),13.487999
Costa Rica,2016,World,Miscellaneous,Export,Export(US$ Mil),2673.830717
Costa Rica,2016,World,Raw materials,Export,Export(US$ Mil),2998.988892
Costa Rica,2016,World,Intermediate goods,Export,Export(US$ Mil),1394.09705
Costa Rica,2016,World,Consumer goods,Export,Export(US$ Mil),3089.2501
Costa Rica,2016,World,Capital goods,Export,Export(US$ Mil),2425.537816
Costa Rica,2016,World,Raw materials,Import,Import(US$ Mil),897.603349
Costa Rica,2016,World,Intermediate goods,Import,Import(US$ Mil),3348.623894
Costa Rica,2016,World,Consumer goods,Import,Import(US$ Mil),7295.97855800001
Costa Rica,2016,World,Capital goods,Import,Import(US$ Mil),3779.306521
Costa Rica,2016,World,All Products,Export,Exports (in US$ Mil),9907.873818
Costa Rica,2016,World,All Products,Import,Imports (in US$ Mil),15321.512292
Costa Rica,2016,World,All Products,Tariff,Duty Free Imports (US$ Thousand),10897363.503
Costa Rica,2017,...,...,Development,Trade Balance (current US$ Mil),243.6594760788
Costa Rica,2017,...,...,Development,GDP (current US$ Mil),57285.9844477113
Costa Rica,2016,...,...,Tariff,No. Of Tariff Agreement,24
Costa Rica,2016,...,...,Import,No. Of Import partners,201
Costa Rica,2016,...,...,Import,No. Of Import products,4107
Costa Rica,2016,...,...,Export,No. Of Export partners,149
Costa Rica,2016,...,...,Export,No. Of Export products,2917
Costa Rica,2016,...,...,Others,Population,4857274
Costa Rica,2018,...,...,Others,Ease of Doing Business Rank,61
