Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Cyprus,2017,Libya,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,302.934316384597
Cyprus,2017,Bunkers,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,276.527278948436
Cyprus,2017,Greece,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,260.692926837496
Cyprus,2017,Norway,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,219.23174467499
Cyprus,2017,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,191.872178285899
Cyprus,2017,Greece,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1731.76730748156
Cyprus,2017,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,681.991739157283
Cyprus,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,663.550147802414
Cyprus,2017,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,641.171873459435
Cyprus,2017,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,636.732460082663
Cyprus,2017,World,Animal,Export,Export(US$ Mil),232.40161333392
Cyprus,2017,World,Vegetable,Export,Export(US$ Mil),94.0350343426962
Cyprus,2017,World,Food Products,Export,Export(US$ Mil),151.980962221896
Cyprus,2017,World,Minerals,Export,Export(US$ Mil),29.9990836865075
Cyprus,2017,World,Fuels,Export,Export(US$ Mil),723.781395071351
Cyprus,2017,World,Chemicals,Export,Export(US$ Mil),399.444633331842
Cyprus,2017,World,Plastic or Rubber,Export,Export(US$ Mil),27.3192490317275
Cyprus,2017,World,Hides and Skins,Export,Export(US$ Mil),8.34822878576625
Cyprus,2017,World,Wood,Export,Export(US$ Mil),10.9679083573412
Cyprus,2017,World,Textiles and Clothing,Export,Export(US$ Mil),13.9482571214087
Cyprus,2017,World,Footwear,Export,Export(US$ Mil),8.2280651783525
Cyprus,2017,World,Stone and Glass,Export,Export(US$ Mil),68.083488633485
Cyprus,2017,World,Metals,Export,Export(US$ Mil),93.3471273144838
Cyprus,2017,World,Mach and Elec,Export,Export(US$ Mil),337.642534896496
Cyprus,2017,World,Transportation,Export,Export(US$ Mil),1014.65353455456
Cyprus,2017,World,Miscellaneous,Export,Export(US$ Mil),153.663487901752
Cyprus,2017,World,Raw materials,Export,Export(US$ Mil),192.233515514746
Cyprus,2017,World,Intermediate goods,Export,Export(US$ Mil),173.734081218533
Cyprus,2017,World,Consumer goods,Export,Export(US$ Mil),1544.18632789096
Cyprus,2017,World,Capital goods,Export,Export(US$ Mil),1270.73939184222
Cyprus,2017,World,Raw materials,Import,Import(US$ Mil),395.063217530992
Cyprus,2017,World,Intermediate goods,Import,Import(US$ Mil),949.315969554659
Cyprus,2017,World,Consumer goods,Import,Import(US$ Mil),5010.03728474581
Cyprus,2017,World,Capital goods,Import,Import(US$ Mil),2880.05087717363
Cyprus,2017,World,All Products,Export,Exports (in US$ Mil),3367.84460376359
Cyprus,2017,World,All Products,Import,Imports (in US$ Mil),9291.60959723267
Cyprus,2002,World,All Products,Tariff,Duty Free Imports (US$ Thousand),1171144.398
Cyprus,2017,...,...,Development,Trade Balance (current US$ Mil),-776.876267748501
Cyprus,2017,...,...,Development,GDP (current US$ Mil),22054.2258282623
Cyprus,2002,...,...,Tariff,No. Of Tariff Agreement,1
Cyprus,2017,...,...,Import,No. Of Import partners,164
Cyprus,2017,...,...,Import,No. Of Import products,3836
Cyprus,2017,...,...,Export,No. Of Export partners,193
Cyprus,2017,...,...,Export,No. Of Export products,1697
Cyprus,2016,...,...,Others,Population,1170125
Cyprus,2018,...,...,Others,Ease of Doing Business Rank,53
Cyprus,2018,...,...,Others,Trading Across Borders Rank,45
Cyprus,2016,...,...,Others,LPI Rank,59
Cyprus,2016,...,...,Others,LPI Score,2.999061
Cyprus,2017,Libya,All Products,Export,Partner share(%)-Top 5 Export Partner,8.9949
