Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Czech Republic,2017,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,59413.682174
Czech Republic,2017,Slovak Republic,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,13920.840988
Czech Republic,2017,Poland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10912.335248
Czech Republic,2017,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,9284.496883
Czech Republic,2017,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,9026.391182
Czech Republic,2017,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,42065.680401
Czech Republic,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,20498.182473
Czech Republic,2017,Poland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,12559.436221
Czech Republic,2017,Slovak Republic,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7868.064259
Czech Republic,2017,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,6882.636402
Czech Republic,2017,World,Animal,Export,Export(US$ Mil),1696.694056
Czech Republic,2017,World,Vegetable,Export,Export(US$ Mil),2207.958694
Czech Republic,2017,World,Food Products,Export,Export(US$ Mil),4538.573088
Czech Republic,2017,World,Minerals,Export,Export(US$ Mil),296.352363
Czech Republic,2017,World,Fuels,Export,Export(US$ Mil),3265.323722
Czech Republic,2017,World,Chemicals,Export,Export(US$ Mil),7632.811212
Czech Republic,2017,World,Plastic or Rubber,Export,Export(US$ Mil),10353.374538
Czech Republic,2017,World,Hides and Skins,Export,Export(US$ Mil),691.810526
Czech Republic,2017,World,Wood,Export,Export(US$ Mil),6074.774759
Czech Republic,2017,World,Textiles and Clothing,Export,Export(US$ Mil),5119.816916
Czech Republic,2017,World,Footwear,Export,Export(US$ Mil),1217.15973
Czech Republic,2017,World,Stone and Glass,Export,Export(US$ Mil),3819.372616
Czech Republic,2017,World,Metals,Export,Export(US$ Mil),15642.561691
Czech Republic,2017,World,Mach and Elec,Export,Export(US$ Mil),66279.653051
Czech Republic,2017,World,Transportation,Export,Export(US$ Mil),39740.608982
Czech Republic,2017,World,Miscellaneous,Export,Export(US$ Mil),13654.514579
Czech Republic,2017,World,Raw materials,Export,Export(US$ Mil),5579.300515
Czech Republic,2017,World,Intermediate goods,Export,Export(US$ Mil),25555.538522
Czech Republic,2017,World,Consumer goods,Export,Export(US$ Mil),72197.846528
Czech Republic,2017,World,Capital goods,Export,Export(US$ Mil),78638.919382
Czech Republic,2017,World,Raw materials,Import,Import(US$ Mil),9428.17561
Czech Republic,2017,World,Intermediate goods,Import,Import(US$ Mil),32610.999932
Czech Republic,2017,World,Consumer goods,Import,Import(US$ Mil),52713.723758
Czech Republic,2017,World,Capital goods,Import,Import(US$ Mil),68038.8663189999
Czech Republic,2017,World,All Products,Export,Exports (in US$ Mil),182231.360523
Czech Republic,2017,World,All Products,Import,Imports (in US$ Mil),162898.931578
Czech Republic,2003,World,All Products,Tariff,Duty Free Imports (US$ Thousand),13228716.553
Czech Republic,2017,...,...,Development,Trade Balance (current US$ Mil),15559.583054086
Czech Republic,2017,...,...,Development,GDP (current US$ Mil),215725.534372371
Czech Republic,2003,...,...,Tariff,No. Of Tariff Agreement,2
Czech Republic,2017,...,...,Import,No. Of Import partners,235
Czech Republic,2017,...,...,Import,No. Of Import products,4510
Czech Republic,2017,...,...,Export,No. Of Export partners,214
Czech Republic,2017,...,...,Export,No. Of Export products,4384
Czech Republic,2016,...,...,Others,Population,10566332
