Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Denmark,2017,Special Categories,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,15321.3799856052
Denmark,2017,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,14517.0678122566
Denmark,2017,Sweden,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10855.7988823092
Denmark,2017,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,7538.18349245795
Denmark,2017,Norway,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5901.13000920101
Denmark,2017,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,19726.4274580792
Denmark,2017,Sweden,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10982.2792868541
Denmark,2017,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7104.4271275839
Denmark,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,6745.09625047691
Denmark,2017,Norway,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4585.98669373847
Denmark,2017,World,Animal,Export,Export(US$ Mil),10843.8007824383
Denmark,2017,World,Vegetable,Export,Export(US$ Mil),2997.64797432757
Denmark,2017,World,Food Products,Export,Export(US$ Mil),6872.35452758248
Denmark,2017,World,Minerals,Export,Export(US$ Mil),297.436847721
Denmark,2017,World,Fuels,Export,Export(US$ Mil),4701.71115891156
Denmark,2017,World,Chemicals,Export,Export(US$ Mil),19499.1288218479
Denmark,2017,World,Plastic or Rubber,Export,Export(US$ Mil),2915.54662359791
Denmark,2017,World,Hides and Skins,Export,Export(US$ Mil),1494.1029660769
Denmark,2017,World,Wood,Export,Export(US$ Mil),2144.2669877446
Denmark,2017,World,Textiles and Clothing,Export,Export(US$ Mil),5555.00111897224
Denmark,2017,World,Footwear,Export,Export(US$ Mil),608.248023552955
Denmark,2017,World,Stone and Glass,Export,Export(US$ Mil),1288.33412018907
Denmark,2017,World,Metals,Export,Export(US$ Mil),6055.7598689107
Denmark,2017,World,Mach and Elec,Export,Export(US$ Mil),22863.8486206607
Denmark,2017,World,Transportation,Export,Export(US$ Mil),3994.22776532707
Denmark,2017,World,Miscellaneous,Export,Export(US$ Mil),9514.96556300708
Denmark,2017,World,Raw materials,Export,Export(US$ Mil),12890.0279186188
Denmark,2017,World,Intermediate goods,Export,Export(US$ Mil),14916.0345563936
Denmark,2017,World,Consumer goods,Export,Export(US$ Mil),35837.4274941984
Denmark,2017,World,Capital goods,Export,Export(US$ Mil),27593.4732546304
Denmark,2017,World,Raw materials,Import,Import(US$ Mil),8894.5017720002
Denmark,2017,World,Intermediate goods,Import,Import(US$ Mil),16542.5309634046
Denmark,2017,World,Consumer goods,Import,Import(US$ Mil),38644.0699295612
Denmark,2017,World,Capital goods,Import,Import(US$ Mil),26178.6432450304
Denmark,2017,World,All Products,Export,Exports (in US$ Mil),101646.381770868
Denmark,2017,World,All Products,Import,Imports (in US$ Mil),92248.4356953461
Denmark,2017,...,...,Development,Trade Balance (current US$ Mil),22930.098870817
Denmark,2017,...,...,Development,GDP (current US$ Mil),324871.968807469
Denmark,2017,...,...,Import,No. Of Import partners,216
Denmark,2017,...,...,Import,No. Of Import products,4418
Denmark,2017,...,...,Export,No. Of Export partners,222
Denmark,2017,...,...,Export,No. Of Export products,4251
Denmark,2016,...,...,Others,Population,5728010
Denmark,2018,...,...,Others,Ease of Doing Business Rank,3
Denmark,2018,...,...,Others,Trading Across Borders Rank,1
Denmark,2016,...,...,Others,LPI Rank,17
Denmark,2016,...,...,Others,LPI Score,3.815794
Denmark,,...,...,Others,Services Trade Restrictions Index - Over All,21
Denmark,2017,Special Categories,All Products,Export,Partner share(%)-Top 5 Export Partner,15.0732
Denmark,2017,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,14.2819
Denmark,2017,Sweden,All Products,Export,Partner share(%)-Top 5 Export Partner,10.68
Denmark,2017,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,7.4161
Denmark,2017,Norway,All Products,Export,Partner share(%)-Top 5 Export Partner,5.8055
Denmark,2017,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,21.384
Denmark,2017,Sweden,All Products,Import,Partner share(%)-Top 5 Import Partner,11.9051
Denmark,2017,Netherlands,All Products,Import,Partner share(%)-Top 5 Import Partner,7.7014
Denmark,2017,China,All Products,Import,Partner share(%)-Top 5 Import Partner,7.3119
Denmark,2017,Norway,All Products,Import,Partner share(%)-Top 5 Import Partner,4.9713
Denmark,2017,World,Animal,Export,Export Product share(%),10.6682
Denmark,2017,World,Vegetable,Export,Export Product share(%),2.9491
Denmark,2017,World,Food Products,Export,Export Product share(%),6.761
Denmark,2017,World,Minerals,Export,Export Product share(%),0.2926
Denmark,2017,World,Fuels,Export,Export Product share(%),4.6256
Denmark,2017,World,Chemicals,Export,Export Product share(%),19.1833
Denmark,2017,World,Plastic or Rubber,Export,Export Product share(%),2.8683
Denmark,2017,World,Hides and Skins,Export,Export Product share(%),1.4699
Denmark,2017,World,Wood,Export,Export Product share(%),2.1095
Denmark,2017,World,Textiles and Clothing,Export,Export Product share(%),5.465
Denmark,2017,World,Footwear,Export,Export Product share(%),0.5984
Denmark,2017,World,Stone and Glass,Export,Export Product share(%),1.2675
Denmark,2017,World,Metals,Export,Export Product share(%),5.9577
Denmark,2017,World,Mach and Elec,Export,Export Product share(%),22.4935
Denmark,2017,World,Transportation,Export,Export Product share(%),3.9295
