Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Dominican Republic,2017,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4715.90998137
Dominican Republic,2017,Haiti,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,852.525405130001
Dominican Republic,2017,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,787.90944969
Dominican Republic,2017,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,578.29974285
Dominican Republic,2017,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,244.59358265
Dominican Republic,2017,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8675.10935531001
Dominican Republic,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2577.90624518
Dominican Republic,2017,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,899.620942939999
Dominican Republic,2017,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,664.52700235
Dominican Republic,2017,Spain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,639.88935733
Dominican Republic,2017,World,Animal,Export,Export(US$ Mil),39.95369261
Dominican Republic,2017,World,Vegetable,Export,Export(US$ Mil),488.76711101
Dominican Republic,2017,World,Food Products,Export,Export(US$ Mil),1524.63676833
Dominican Republic,2017,World,Minerals,Export,Export(US$ Mil),140.17535415
Dominican Republic,2017,World,Fuels,Export,Export(US$ Mil),26.09900599
Dominican Republic,2017,World,Chemicals,Export,Export(US$ Mil),417.24279299
Dominican Republic,2017,World,Plastic or Rubber,Export,Export(US$ Mil),569.80833147
Dominican Republic,2017,World,Hides and Skins,Export,Export(US$ Mil),19.59908095
Dominican Republic,2017,World,Wood,Export,Export(US$ Mil),102.77254476
Dominican Republic,2017,World,Textiles and Clothing,Export,Export(US$ Mil),914.85578132
Dominican Republic,2017,World,Footwear,Export,Export(US$ Mil),352.32578924
Dominican Republic,2017,World,Stone and Glass,Export,Export(US$ Mil),1987.92944666
Dominican Republic,2017,World,Metals,Export,Export(US$ Mil),396.04012072
Dominican Republic,2017,World,Mach and Elec,Export,Export(US$ Mil),808.48372479
Dominican Republic,2017,World,Transportation,Export,Export(US$ Mil),25.33976081
Dominican Republic,2017,World,Miscellaneous,Export,Export(US$ Mil),1041.61559657
Dominican Republic,2017,World,Raw materials,Export,Export(US$ Mil),824.80894655
Dominican Republic,2017,World,Intermediate goods,Export,Export(US$ Mil),2628.5748315
Dominican Republic,2017,World,Consumer goods,Export,Export(US$ Mil),3607.15185398999
Dominican Republic,2017,World,Capital goods,Export,Export(US$ Mil),1795.10927033
Dominican Republic,2017,World,Raw materials,Import,Import(US$ Mil),1827.92237325
Dominican Republic,2017,World,Intermediate goods,Import,Import(US$ Mil),4499.10154260001
Dominican Republic,2017,World,Consumer goods,Import,Import(US$ Mil),9601.88491097
Dominican Republic,2017,World,Capital goods,Import,Import(US$ Mil),3594.44289926
Dominican Republic,2017,World,All Products,Export,Exports (in US$ Mil),8855.64490237
Dominican Republic,2017,World,All Products,Import,Imports (in US$ Mil),19524.25347141
Dominican Republic,2017,World,All Products,Tariff,Duty Free Imports (US$ Thousand),11453501.07284
Dominican Republic,2017,...,...,Development,Trade Balance (current US$ Mil),-2474.0575905447
Dominican Republic,2017,...,...,Development,GDP (current US$ Mil),75931.656814657
Dominican Republic,2017,...,...,Tariff,No. Of Tariff Agreement,6
Dominican Republic,2017,...,...,Import,No. Of Import partners,204
Dominican Republic,2017,...,...,Import,No. Of Import products,4086
Dominican Republic,2017,...,...,Export,No. Of Export partners,147
Dominican Republic,2017,...,...,Export,No. Of Export products,2940
Dominican Republic,2016,...,...,Others,Population,10648791
Dominican Republic,2018,...,...,Others,Ease of Doing Business Rank,99
Dominican Republic,2018,...,...,Others,Trading Across Borders Rank,59
Dominican Republic,2016,...,...,Others,LPI Rank,91
Dominican Republic,2016,...,...,Others,LPI Score,2.62728
Dominican Republic,2013,...,...,Others,No Of NTM Affected Products (HS 6 Digit),3
Dominican Republic,2013,...,...,Others,No Of NTM Measures,2
Dominican Republic,,...,...,Others,Services Trade Restrictions Index - Over All,12.3
Dominican Republic,2017,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,53.2532
Dominican Republic,2017,Haiti,All Products,Export,Partner share(%)-Top 5 Export Partner,9.6269
Dominican Republic,2017,Canada,All Products,Export,Partner share(%)-Top 5 Export Partner,8.8973
Dominican Republic,2017,India,All Products,Export,Partner share(%)-Top 5 Export Partner,6.5303
Dominican Republic,2017,Switzerland,All Products,Export,Partner share(%)-Top 5 Export Partner,2.762
Dominican Republic,2017,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,44.4325
Dominican Republic,2017,China,All Products,Import,Partner share(%)-Top 5 Import Partner,13.2036
Dominican Republic,2017,Mexico,All Products,Import,Partner share(%)-Top 5 Import Partner,4.6077
Dominican Republic,2017,Brazil,All Products,Import,Partner share(%)-Top 5 Import Partner,3.4036
Dominican Republic,2017,Spain,All Products,Import,Partner share(%)-Top 5 Import Partner,3.2774
Dominican Republic,2017,World,Animal,Export,Export Product share(%),0.4512
Dominican Republic,2017,World,Vegetable,Export,Export Product share(%),5.5193
Dominican Republic,2017,World,Food Products,Export,Export Product share(%),17.2166
Dominican Republic,2017,World,Minerals,Export,Export Product share(%),1.5829
Dominican Republic,2017,World,Fuels,Export,Export Product share(%),0.2947
Dominican Republic,2017,World,Chemicals,Export,Export Product share(%),4.7116
Dominican Republic,2017,World,Plastic or Rubber,Export,Export Product share(%),6.4344
Dominican Republic,2017,World,Hides and Skins,Export,Export Product share(%),0.2213
Dominican Republic,2017,World,Wood,Export,Export Product share(%),1.1605
Dominican Republic,2017,World,Textiles and Clothing,Export,Export Product share(%),10.3308
Dominican Republic,2017,World,Footwear,Export,Export Product share(%),3.9785
Dominican Republic,2017,World,Stone and Glass,Export,Export Product share(%),22.4482
Dominican Republic,2017,World,Metals,Export,Export Product share(%),4.4722
Dominican Republic,2017,World,Mach and Elec,Export,Export Product share(%),9.1296
Dominican Republic,2017,World,Transportation,Export,Export Product share(%),0.2861
Dominican Republic,2017,World,Miscellaneous,Export,Export Product share(%),11.7622
Dominican Republic,2017,World,Raw materials,Export,Export Product share(%),9.3139
Dominican Republic,2017,World,Intermediate goods,Export,Export Product share(%),29.6825
Dominican Republic,2017,World,Consumer goods,Export,Export Product share(%),40.7328
Dominican Republic,2017,World,Capital goods,Export,Export Product share(%),20.2708
Dominican Republic,2017,World,Raw materials,Import,Import Product share(%),9.3623
Dominican Republic,2017,World,Intermediate goods,Import,Import Product share(%),23.0437
Dominican Republic,2017,World,Consumer goods,Import,Import Product share(%),49.1793
Dominican Republic,2017,World,Capital goods,Import,Import Product share(%),18.4101
Dominican Republic,2017,World,Raw materials,Tariff,Weighted Average (%),3.31156921759834
Dominican Republic,2017,World,Intermediate goods,Tariff,Weighted Average (%),2.18108733277234
Dominican Republic,2017,World,Consumer goods,Tariff,Weighted Average (%),5.80561254189709
Dominican Republic,2017,World,Capital goods,Tariff,Weighted Average (%),3.57368312688323
Dominican Republic,2017,World,All Products,Trade Indicator,World Growth (%),1.50064825967466
Dominican Republic,2017,World,All Products,Trade Indicator,Country Growth (%),-0.987080302694243
Dominican Republic,2017,World,All Products,Tariff,Simple Average (%),6.31634123623789
Dominican Republic,2017,World,All Products,Tariff,Weighted Average (%),4.20448792950173
Dominican Republic,2017,World,All Products,Tariff,Maximum Rate (%),40
Dominican Republic,2017,World,All Products,Tariff,Duty Free Tariff Lines Share (%),57.9268089270424
Dominican Republic,2017,...,...,Trade Indicator,Index of export market penetration,2.97365437108144
Dominican Republic,2017,...,...,Trade Indicator,HH Market concentration index,0.312702587275988
Dominican Republic,2017,...,...,Development,Trade Balance (% of GDP),-3.2582689412187
Dominican Republic,2017,...,...,Development,Trade in services (% of GDP),16.1986456189453
Dominican Republic,2017,...,...,Development,Trade (% of GDP),52.9207014519019
Dominican Republic,2017,...,...,Development,"GNI per capita, Atlas method (current US$)",6630
