Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Ecuador,2017,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6056.90527155
Ecuador,2017,Vietnam,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1457.71228719
Ecuador,2017,Peru,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1282.52699079
Ecuador,2017,Chile,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1236.13459667
Ecuador,2017,Panama,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,935.80610004
Ecuador,2017,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3960.16571375
Ecuador,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3684.96985032
Ecuador,2017,Colombia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1603.06814437
Ecuador,2017,Panama,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,892.25508697
Ecuador,2017,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,876.30861976
Ecuador,2017,World,Animal,Export,Export(US$ Mil),3296.49493661
Ecuador,2017,World,Vegetable,Export,Export(US$ Mil),4558.52278604
Ecuador,2017,World,Food Products,Export,Export(US$ Mil),2574.5077863
Ecuador,2017,World,Minerals,Export,Export(US$ Mil),105.24845271
Ecuador,2017,World,Fuels,Export,Export(US$ Mil),6914.48260708
Ecuador,2017,World,Chemicals,Export,Export(US$ Mil),113.23233453
Ecuador,2017,World,Plastic or Rubber,Export,Export(US$ Mil),157.34412922
Ecuador,2017,World,Hides and Skins,Export,Export(US$ Mil),9.37196344
Ecuador,2017,World,Wood,Export,Export(US$ Mil),407.658877022
Ecuador,2017,World,Textiles and Clothing,Export,Export(US$ Mil),94.72337371
Ecuador,2017,World,Footwear,Export,Export(US$ Mil),34.84432125
Ecuador,2017,World,Stone and Glass,Export,Export(US$ Mil),214.06018948
Ecuador,2017,World,Metals,Export,Export(US$ Mil),326.2368528
Ecuador,2017,World,Mach and Elec,Export,Export(US$ Mil),192.99575788
Ecuador,2017,World,Transportation,Export,Export(US$ Mil),78.3084562
Ecuador,2017,World,Miscellaneous,Export,Export(US$ Mil),44.422273929
Ecuador,2017,World,Raw materials,Export,Export(US$ Mil),13710.39068244
Ecuador,2017,World,Intermediate goods,Export,Export(US$ Mil),1299.20470715
Ecuador,2017,World,Consumer goods,Export,Export(US$ Mil),3831.381028532
Ecuador,2017,World,Capital goods,Export,Export(US$ Mil),208.03267809
Ecuador,2017,World,Raw materials,Import,Import(US$ Mil),895.15141764
Ecuador,2017,World,Intermediate goods,Import,Import(US$ Mil),6011.84590684999
Ecuador,2017,World,Consumer goods,Import,Import(US$ Mil),7677.93033360999
Ecuador,2017,World,Capital goods,Import,Import(US$ Mil),4937.68010708
Ecuador,2017,World,All Products,Export,Exports (in US$ Mil),19122.455098201
Ecuador,2017,World,All Products,Import,Imports (in US$ Mil),19844.93284009
Ecuador,2017,World,All Products,Tariff,Duty Free Imports (US$ Thousand),9256976.44901001
Ecuador,2017,...,...,Development,Trade Balance (current US$ Mil),-788.566
Ecuador,2017,...,...,Development,GDP (current US$ Mil),104295.862
Ecuador,2017,...,...,Tariff,No. Of Tariff Agreement,46
