Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
"Egypt, Arab Rep.",2017,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2740.60966046356
"Egypt, Arab Rep.",2017,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2198.97973389763
"Egypt, Arab Rep.",2017,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1866.52249695264
"Egypt, Arab Rep.",2017,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1551.37645469335
"Egypt, Arab Rep.",2017,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1328.11792403488
"Egypt, Arab Rep.",2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8105.32850764601
"Egypt, Arab Rep.",2017,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4514.98139873745
"Egypt, Arab Rep.",2017,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4192.112900592
"Egypt, Arab Rep.",2017,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4147.56358643928
"Egypt, Arab Rep.",2017,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3896.80846812422
"Egypt, Arab Rep.",2017,World,Animal,Export,Export(US$ Mil),397.256177893656
"Egypt, Arab Rep.",2017,World,Vegetable,Export,Export(US$ Mil),3036.35231617172
"Egypt, Arab Rep.",2017,World,Food Products,Export,Export(US$ Mil),1433.24775241999
"Egypt, Arab Rep.",2017,World,Minerals,Export,Export(US$ Mil),373.558628293125
"Egypt, Arab Rep.",2017,World,Fuels,Export,Export(US$ Mil),5063.70579131907
"Egypt, Arab Rep.",2017,World,Chemicals,Export,Export(US$ Mil),3153.84987429617
"Egypt, Arab Rep.",2017,World,Plastic or Rubber,Export,Export(US$ Mil),1591.85050629507
"Egypt, Arab Rep.",2017,World,Hides and Skins,Export,Export(US$ Mil),113.273628867749
"Egypt, Arab Rep.",2017,World,Wood,Export,Export(US$ Mil),569.211791740127
"Egypt, Arab Rep.",2017,World,Textiles and Clothing,Export,Export(US$ Mil),2822.42754437256
"Egypt, Arab Rep.",2017,World,Footwear,Export,Export(US$ Mil),5.57566561644003
"Egypt, Arab Rep.",2017,World,Stone and Glass,Export,Export(US$ Mil),3017.23915332091
"Egypt, Arab Rep.",2017,World,Metals,Export,Export(US$ Mil),1950.11758366595
"Egypt, Arab Rep.",2017,World,Mach and Elec,Export,Export(US$ Mil),1874.34463955341
"Egypt, Arab Rep.",2017,World,Transportation,Export,Export(US$ Mil),127.559860972148
"Egypt, Arab Rep.",2017,World,Miscellaneous,Export,Export(US$ Mil),413.629469070628
"Egypt, Arab Rep.",2017,World,Raw materials,Export,Export(US$ Mil),5144.71936497915
"Egypt, Arab Rep.",2017,World,Intermediate goods,Export,Export(US$ Mil),8956.61251780685
"Egypt, Arab Rep.",2017,World,Consumer goods,Export,Export(US$ Mil),11070.7547648628
"Egypt, Arab Rep.",2017,World,Capital goods,Export,Export(US$ Mil),618.240444252365
"Egypt, Arab Rep.",2017,World,Raw materials,Import,Import(US$ Mil),12694.2304040047
"Egypt, Arab Rep.",2017,World,Intermediate goods,Import,Import(US$ Mil),19612.2518295719
"Egypt, Arab Rep.",2017,World,Consumer goods,Import,Import(US$ Mil),22184.6890787214
"Egypt, Arab Rep.",2017,World,Capital goods,Import,Import(US$ Mil),11784.5039892913
"Egypt, Arab Rep.",2017,World,All Products,Export,Exports (in US$ Mil),25943.2003838687
"Egypt, Arab Rep.",2017,World,All Products,Import,Imports (in US$ Mil),66338.7763492182
"Egypt, Arab Rep.",2017,World,All Products,Tariff,Duty Free Imports (US$ Thousand),39996023.1991505
"Egypt, Arab Rep.",2017,...,...,Development,Trade Balance (current US$ Mil),-31751.0920584964
"Egypt, Arab Rep.",2017,...,...,Development,GDP (current US$ Mil),235369.129337711
"Egypt, Arab Rep.",2017,...,...,Tariff,No. Of Tariff Agreement,21
"Egypt, Arab Rep.",2017,...,...,Import,No. Of Import partners,173
"Egypt, Arab Rep.",2017,...,...,Import,No. Of Import products,4139
"Egypt, Arab Rep.",2017,...,...,Export,No. Of Export partners,171
"Egypt, Arab Rep.",2017,...,...,Export,No. Of Export products,2635
"Egypt, Arab Rep.",2016,...,...,Others,Population,95688681
"Egypt, Arab Rep.",2018,...,...,Others,Ease of Doing Business Rank,128
"Egypt, Arab Rep.",2018,...,...,Others,Trading Across Borders Rank,170
"Egypt, Arab Rep.",2016,...,...,Others,LPI Rank,49
"Egypt, Arab Rep.",2016,...,...,Others,LPI Score,3.184964
"Egypt, Arab Rep.",2013,...,...,Others,No Of NTM Affected Products (HS 6 Digit),14
"Egypt, Arab Rep.",2013,...,...,Others,No Of NTM Measures,3
"Egypt, Arab Rep.",2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.3344296
"Egypt, Arab Rep.",2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.344483
"Egypt, Arab Rep.",,...,...,Others,Services Trade Restrictions Index - Over All,52.1
"Egypt, Arab Rep.",2017,United Arab Emirates,All Products,Export,Partner share(%)-Top 5 Export Partner,10.5639
"Egypt, Arab Rep.",2017,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,8.4761
"Egypt, Arab Rep.",2017,Turkey,All Products,Export,Partner share(%)-Top 5 Export Partner,7.1947
"Egypt, Arab Rep.",2017,Saudi Arabia,All Products,Export,Partner share(%)-Top 5 Export Partner,5.9799
"Egypt, Arab Rep.",2017,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,5.1193
"Egypt, Arab Rep.",2017,China,All Products,Import,Partner share(%)-Top 5 Import Partner,12.2181
"Egypt, Arab Rep.",2017,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,6.8059
"Egypt, Arab Rep.",2017,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,6.3192
"Egypt, Arab Rep.",2017,Saudi Arabia,All Products,Import,Partner share(%)-Top 5 Import Partner,6.2521
"Egypt, Arab Rep.",2017,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,5.8741
"Egypt, Arab Rep.",2017,World,Animal,Export,Export Product share(%),1.5313
"Egypt, Arab Rep.",2017,World,Vegetable,Export,Export Product share(%),11.7038
"Egypt, Arab Rep.",2017,World,Food Products,Export,Export Product share(%),5.5246
"Egypt, Arab Rep.",2017,World,Minerals,Export,Export Product share(%),1.4399
"Egypt, Arab Rep.",2017,World,Fuels,Export,Export Product share(%),19.5184
"Egypt, Arab Rep.",2017,World,Chemicals,Export,Export Product share(%),12.1567
"Egypt, Arab Rep.",2017,World,Plastic or Rubber,Export,Export Product share(%),6.1359
"Egypt, Arab Rep.",2017,World,Hides and Skins,Export,Export Product share(%),0.4366
"Egypt, Arab Rep.",2017,World,Wood,Export,Export Product share(%),2.1941
"Egypt, Arab Rep.",2017,World,Textiles and Clothing,Export,Export Product share(%),10.8793
"Egypt, Arab Rep.",2017,World,Footwear,Export,Export Product share(%),0.0215
"Egypt, Arab Rep.",2017,World,Stone and Glass,Export,Export Product share(%),11.6302
"Egypt, Arab Rep.",2017,World,Metals,Export,Export Product share(%),7.5169
"Egypt, Arab Rep.",2017,World,Mach and Elec,Export,Export Product share(%),7.2248
"Egypt, Arab Rep.",2017,World,Transportation,Export,Export Product share(%),0.4917
"Egypt, Arab Rep.",2017,World,Miscellaneous,Export,Export Product share(%),1.5944
"Egypt, Arab Rep.",2017,World,Raw materials,Export,Export Product share(%),19.8307
"Egypt, Arab Rep.",2017,World,Intermediate goods,Export,Export Product share(%),34.5239
"Egypt, Arab Rep.",2017,World,Consumer goods,Export,Export Product share(%),42.673
"Egypt, Arab Rep.",2017,World,Capital goods,Export,Export Product share(%),2.3831
"Egypt, Arab Rep.",2017,World,Raw materials,Import,Import Product share(%),19.1355
"Egypt, Arab Rep.",2017,World,Intermediate goods,Import,Import Product share(%),29.5638
"Egypt, Arab Rep.",2017,World,Consumer goods,Import,Import Product share(%),33.4415
"Egypt, Arab Rep.",2017,World,Capital goods,Import,Import Product share(%),17.7641
"Egypt, Arab Rep.",2017,World,Raw materials,Tariff,Weighted Average (%),1.07662127110026
"Egypt, Arab Rep.",2017,World,Intermediate goods,Tariff,Weighted Average (%),4.4077124510852
"Egypt, Arab Rep.",2017,World,Consumer goods,Tariff,Weighted Average (%),17.350416903487
