Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Ethiopia(excludes Eritrea),2016,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,169.446868
Ethiopia(excludes Eritrea),2016,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,167.111227
Ethiopia(excludes Eritrea),2016,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,148.318495
Ethiopia(excludes Eritrea),2016,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,130.810096
Ethiopia(excludes Eritrea),2016,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,88.6936
Ethiopia(excludes Eritrea),2016,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,6095.987645
Ethiopia(excludes Eritrea),2016,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1681.886324
Ethiopia(excludes Eritrea),2016,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1425.330717
Ethiopia(excludes Eritrea),2016,Kuwait,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1062.332437
Ethiopia(excludes Eritrea),2016,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,797.179318
Ethiopia(excludes Eritrea),2016,World,Animal,Export,Export(US$ Mil),110.129518
Ethiopia(excludes Eritrea),2016,World,Vegetable,Export,Export(US$ Mil),1057.061558
Ethiopia(excludes Eritrea),2016,World,Food Products,Export,Export(US$ Mil),12.165965
Ethiopia(excludes Eritrea),2016,World,Minerals,Export,Export(US$ Mil),15.003784
Ethiopia(excludes Eritrea),2016,World,Fuels,Export,Export(US$ Mil),0.167138
Ethiopia(excludes Eritrea),2016,World,Chemicals,Export,Export(US$ Mil),4.380399
Ethiopia(excludes Eritrea),2016,World,Plastic or Rubber,Export,Export(US$ Mil),3.664857
Ethiopia(excludes Eritrea),2016,World,Hides and Skins,Export,Export(US$ Mil),87.033608
Ethiopia(excludes Eritrea),2016,World,Wood,Export,Export(US$ Mil),1.163314
Ethiopia(excludes Eritrea),2016,World,Textiles and Clothing,Export,Export(US$ Mil),94.099117
Ethiopia(excludes Eritrea),2016,World,Footwear,Export,Export(US$ Mil),43.849015
Ethiopia(excludes Eritrea),2016,World,Stone and Glass,Export,Export(US$ Mil),141.031824
Ethiopia(excludes Eritrea),2016,World,Metals,Export,Export(US$ Mil),6.389226
Ethiopia(excludes Eritrea),2016,World,Mach and Elec,Export,Export(US$ Mil),55.974232
Ethiopia(excludes Eritrea),2016,World,Transportation,Export,Export(US$ Mil),31.252346
Ethiopia(excludes Eritrea),2016,World,Miscellaneous,Export,Export(US$ Mil),60.526145
Ethiopia(excludes Eritrea),2016,World,Raw materials,Export,Export(US$ Mil),875.956695
Ethiopia(excludes Eritrea),2016,World,Intermediate goods,Export,Export(US$ Mil),515.754769
Ethiopia(excludes Eritrea),2016,World,Consumer goods,Export,Export(US$ Mil),201.65479
Ethiopia(excludes Eritrea),2016,World,Capital goods,Export,Export(US$ Mil),115.790248
Ethiopia(excludes Eritrea),2016,World,Raw materials,Import,Import(US$ Mil),230.609082
Ethiopia(excludes Eritrea),2016,World,Intermediate goods,Import,Import(US$ Mil),4784.27105499999
Ethiopia(excludes Eritrea),2016,World,Consumer goods,Import,Import(US$ Mil),7368.868536
Ethiopia(excludes Eritrea),2016,World,Capital goods,Import,Import(US$ Mil),6716.112294
Ethiopia(excludes Eritrea),2016,World,All Products,Export,Exports (in US$ Mil),1723.892053
Ethiopia(excludes Eritrea),2016,World,All Products,Import,Imports (in US$ Mil),19120.743254
Ethiopia(excludes Eritrea),2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),2281545.099
Ethiopia(excludes Eritrea),2017,...,...,Development,Trade Balance (current US$ Mil),-12868.8831613588
Ethiopia(excludes Eritrea),2017,...,...,Development,GDP (current US$ Mil),80561.4961339172
Ethiopia(excludes Eritrea),2015,...,...,Tariff,No. Of Tariff Agreement,3
Ethiopia(excludes Eritrea),2016,...,...,Import,No. Of Import partners,162
Ethiopia(excludes Eritrea),2016,...,...,Import,No. Of Import products,3876
Ethiopia(excludes Eritrea),2016,...,...,Export,No. Of Export partners,142
Ethiopia(excludes Eritrea),2016,...,...,Export,No. Of Export products,1633
Ethiopia(excludes Eritrea),2016,...,...,Others,Population,102403196
Ethiopia(excludes Eritrea),2018,...,...,Others,Ease of Doing Business Rank,161
Ethiopia(excludes Eritrea),2018,...,...,Others,Trading Across Borders Rank,167
Ethiopia(excludes Eritrea),2017,...,...,Others,CPIA Trade Ratings,3
Ethiopia(excludes Eritrea),2016,...,...,Others,LPI Rank,126
Ethiopia(excludes Eritrea),2016,...,...,Others,LPI Score,2.376767
Ethiopia(excludes Eritrea),2015,...,...,Others,No Of NTM Affected Products (HS 6 Digit),5205
Ethiopia(excludes Eritrea),2015,...,...,Others,No Of NTM Measures,55
