Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Finland,2017,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,9398.92370067896
Finland,2017,Sweden,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6855.16831827733
Finland,2017,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4479.96405325837
Finland,2017,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4363.85556475568
Finland,2017,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3795.54575794629
Finland,2017,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10663.8501741892
Finland,2017,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,9206.26595066847
Finland,2017,Sweden,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7669.0347716855
Finland,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5123.19821435971
Finland,2017,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3242.82499302784
Finland,2017,World,Animal,Export,Export(US$ Mil),741.589015492976
Finland,2017,World,Vegetable,Export,Export(US$ Mil),346.73147810168
Finland,2017,World,Food Products,Export,Export(US$ Mil),695.360328063548
Finland,2017,World,Minerals,Export,Export(US$ Mil),620.565731828196
Finland,2017,World,Fuels,Export,Export(US$ Mil),5296.92144342211
Finland,2017,World,Chemicals,Export,Export(US$ Mil),3114.71843728735
Finland,2017,World,Plastic or Rubber,Export,Export(US$ Mil),2927.71272927725
Finland,2017,World,Hides and Skins,Export,Export(US$ Mil),573.173841315516
Finland,2017,World,Wood,Export,Export(US$ Mil),13594.5296966263
Finland,2017,World,Textiles and Clothing,Export,Export(US$ Mil),623.05507371254
Finland,2017,World,Footwear,Export,Export(US$ Mil),140.640935024184
Finland,2017,World,Stone and Glass,Export,Export(US$ Mil),1047.14879669078
Finland,2017,World,Metals,Export,Export(US$ Mil),9360.0285497139
Finland,2017,World,Mach and Elec,Export,Export(US$ Mil),14254.3297991114
Finland,2017,World,Transportation,Export,Export(US$ Mil),6848.58648917041
Finland,2017,World,Miscellaneous,Export,Export(US$ Mil),7095.5485035405
Finland,2017,World,Raw materials,Export,Export(US$ Mil),2069.7635798663
Finland,2017,World,Intermediate goods,Export,Export(US$ Mil),23716.3070885158
Finland,2017,World,Consumer goods,Export,Export(US$ Mil),14910.9152935386
Finland,2017,World,Capital goods,Export,Export(US$ Mil),20561.7140026265
Finland,2017,World,Raw materials,Import,Import(US$ Mil),10146.6520552351
Finland,2017,World,Intermediate goods,Import,Import(US$ Mil),12644.3464478842
Finland,2017,World,Consumer goods,Import,Import(US$ Mil),21106.246520557
Finland,2017,World,Capital goods,Import,Import(US$ Mil),19423.846487909
Finland,2017,World,All Products,Export,Exports (in US$ Mil),67280.6408483786
Finland,2017,World,All Products,Import,Imports (in US$ Mil),70100.3198750065
