Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Fiji,2017,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,185.310597874388
Fiji,2017,Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,147.016913033407
Fiji,2017,New Zealand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,65.3134506469181
Fiji,2017,Bunkers,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,59.901242573032
Fiji,2017,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,51.0477128775818
Fiji,2017,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,462.816634691186
Fiji,2017,New Zealand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,417.24906247343
Fiji,2017,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,401.400140076095
Fiji,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,380.461577860612
Fiji,2017,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,96.0184549027009
Fiji,2017,World,Animal,Export,Export(US$ Mil),135.456580697553
Fiji,2017,World,Vegetable,Export,Export(US$ Mil),39.3682508823049
Fiji,2017,World,Food Products,Export,Export(US$ Mil),313.78272860106
Fiji,2017,World,Minerals,Export,Export(US$ Mil),9.62936705495552
Fiji,2017,World,Fuels,Export,Export(US$ Mil),134.461106304626
Fiji,2017,World,Chemicals,Export,Export(US$ Mil),24.0470483994416
Fiji,2017,World,Plastic or Rubber,Export,Export(US$ Mil),6.68642670816768
Fiji,2017,World,Hides and Skins,Export,Export(US$ Mil),0.66203850697856
Fiji,2017,World,Wood,Export,Export(US$ Mil),27.5245333386912
Fiji,2017,World,Textiles and Clothing,Export,Export(US$ Mil),52.0187512411632
Fiji,2017,World,Footwear,Export,Export(US$ Mil),1.04202621183232
Fiji,2017,World,Stone and Glass,Export,Export(US$ Mil),67.073370051207
Fiji,2017,World,Metals,Export,Export(US$ Mil),28.0128211322461
Fiji,2017,World,Mach and Elec,Export,Export(US$ Mil),81.2305862234278
Fiji,2017,World,Transportation,Export,Export(US$ Mil),17.4508686007856
Fiji,2017,World,Miscellaneous,Export,Export(US$ Mil),17.1669916930291
Fiji,2017,World,Raw materials,Export,Export(US$ Mil),163.455130845931
Fiji,2017,World,Intermediate goods,Export,Export(US$ Mil),215.131488985066
Fiji,2017,World,Consumer goods,Export,Export(US$ Mil),476.316380061602
Fiji,2017,World,Capital goods,Export,Export(US$ Mil),95.2134231825261
Fiji,2017,World,Raw materials,Import,Import(US$ Mil),228.227292094586
Fiji,2017,World,Intermediate goods,Import,Import(US$ Mil),434.068821563822
Fiji,2017,World,Consumer goods,Import,Import(US$ Mil),1174.62400139204
Fiji,2017,World,Capital goods,Import,Import(US$ Mil),562.947274780192
Fiji,2017,World,All Products,Export,Exports (in US$ Mil),955.613495647469
Fiji,2017,World,All Products,Import,Imports (in US$ Mil),2419.93678830595
