Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Georgia,2017,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,394.71239296
Georgia,2017,Azerbaijan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,272.1724913
Georgia,2017,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,216.56706151
Georgia,2017,Armenia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,208.70146713
Georgia,2017,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,207.21803551
Georgia,2017,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1372.80262848
Georgia,2017,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,788.97012795
Georgia,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,732.29248786
Georgia,2017,Azerbaijan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,609.7217373
Georgia,2017,Ukraine,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,445.14699311
Georgia,2017,World,Animal,Export,Export(US$ Mil),81.36748766
Georgia,2017,World,Vegetable,Export,Export(US$ Mil),168.34636744
Georgia,2017,World,Food Products,Export,Export(US$ Mil),527.31590112
Georgia,2017,World,Minerals,Export,Export(US$ Mil),430.50786426
Georgia,2017,World,Fuels,Export,Export(US$ Mil),104.96650526
Georgia,2017,World,Chemicals,Export,Export(US$ Mil),283.60175669
Georgia,2017,World,Plastic or Rubber,Export,Export(US$ Mil),50.88195418
Georgia,2017,World,Hides and Skins,Export,Export(US$ Mil),3.60407216
Georgia,2017,World,Wood,Export,Export(US$ Mil),45.69542413
Georgia,2017,World,Textiles and Clothing,Export,Export(US$ Mil),96.57599703
Georgia,2017,World,Footwear,Export,Export(US$ Mil),1.58289875
Georgia,2017,World,Stone and Glass,Export,Export(US$ Mil),89.93812204
Georgia,2017,World,Metals,Export,Export(US$ Mil),441.48188636
Georgia,2017,World,Mach and Elec,Export,Export(US$ Mil),97.9209517
Georgia,2017,World,Transportation,Export,Export(US$ Mil),266.39931732
Georgia,2017,World,Miscellaneous,Export,Export(US$ Mil),37.7770753
Georgia,2017,World,Raw materials,Export,Export(US$ Mil),723.06681969
Georgia,2017,World,Intermediate goods,Export,Export(US$ Mil),692.75255134
Georgia,2017,World,Consumer goods,Export,Export(US$ Mil),1160.8591051
Georgia,2017,World,Capital goods,Export,Export(US$ Mil),139.52869762
Georgia,2017,World,Raw materials,Import,Import(US$ Mil),871.90053041
Georgia,2017,World,Intermediate goods,Import,Import(US$ Mil),1210.13905686
Georgia,2017,World,Consumer goods,Import,Import(US$ Mil),4184.21521868
Georgia,2017,World,Capital goods,Import,Import(US$ Mil),1571.91785468
Georgia,2017,World,All Products,Export,Exports (in US$ Mil),2727.9635814
Georgia,2017,World,All Products,Import,Imports (in US$ Mil),7979.43359906
Georgia,2016,World,All Products,Tariff,Duty Free Imports (US$ Thousand),6282619.32399999
Georgia,2017,...,...,Development,Trade Balance (current US$ Mil),-1807.1870923521
Georgia,2017,...,...,Development,GDP (current US$ Mil),15081.3380922875
Georgia,2016,...,...,Tariff,No. Of Tariff Agreement,4
Georgia,2017,...,...,Import,No. Of Import partners,123
Georgia,2017,...,...,Import,No. Of Import products,3955
Georgia,2017,...,...,Export,No. Of Export partners,119
Georgia,2017,...,...,Export,No. Of Export products,2262
Georgia,2016,...,...,Others,Population,3719300
Georgia,2018,...,...,Others,Ease of Doing Business Rank,9
Georgia,2018,...,...,Others,Trading Across Borders Rank,62
Georgia,2013,...,...,Others,CPIA Trade Ratings,6
Georgia,2016,...,...,Others,LPI Rank,130
Georgia,2016,...,...,Others,LPI Score,2.353013
Georgia,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0047404
Georgia,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0144548
Georgia,,...,...,Others,Services Trade Restrictions Index - Over All,11.5
Georgia,2017,Russian Federation,All Products,Export,Partner share(%)-Top 5 Export Partner,14.4691
