Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Ghana,2017,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2689.42400622276
Ghana,2017,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2381.36108499183
Ghana,2017,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1660.09819915178
Ghana,2017,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,910.266139471642
Ghana,2017,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,884.608500994848
Ghana,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2134.17611357972
Ghana,2017,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1200.05769856818
Ghana,2017,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1099.10312156174
Ghana,2017,Spain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,754.551583585788
Ghana,2017,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,718.810376726886
Ghana,2017,World,Animal,Export,Export(US$ Mil),77.6392983797457
Ghana,2017,World,Vegetable,Export,Export(US$ Mil),670.758359790624
Ghana,2017,World,Food Products,Export,Export(US$ Mil),2690.3068647189
Ghana,2017,World,Minerals,Export,Export(US$ Mil),278.114207276484
Ghana,2017,World,Fuels,Export,Export(US$ Mil),3639.25185775615
Ghana,2017,World,Chemicals,Export,Export(US$ Mil),148.948962969539
Ghana,2017,World,Plastic or Rubber,Export,Export(US$ Mil),447.99730387187
Ghana,2017,World,Hides and Skins,Export,Export(US$ Mil),0.945253284140773
Ghana,2017,World,Wood,Export,Export(US$ Mil),209.768936308122
Ghana,2017,World,Textiles and Clothing,Export,Export(US$ Mil),98.4954756583451
Ghana,2017,World,Footwear,Export,Export(US$ Mil),4.01749749309862
Ghana,2017,World,Stone and Glass,Export,Export(US$ Mil),5871.07798543451
Ghana,2017,World,Metals,Export,Export(US$ Mil),158.049101782454
Ghana,2017,World,Mach and Elec,Export,Export(US$ Mil),35.7251662356875
Ghana,2017,World,Transportation,Export,Export(US$ Mil),4.10665883844703
Ghana,2017,World,Miscellaneous,Export,Export(US$ Mil),23.3070221888757
Ghana,2017,World,Raw materials,Export,Export(US$ Mil),6054.3571504735
Ghana,2017,World,Intermediate goods,Export,Export(US$ Mil),7128.77882722289
Ghana,2017,World,Consumer goods,Export,Export(US$ Mil),1111.87693081814
Ghana,2017,World,Capital goods,Export,Export(US$ Mil),63.4970434724587
Ghana,2017,World,Raw materials,Import,Import(US$ Mil),878.069250520415
Ghana,2017,World,Intermediate goods,Import,Import(US$ Mil),4144.19235265094
Ghana,2017,World,Consumer goods,Import,Import(US$ Mil),4655.46035188195
Ghana,2017,World,Capital goods,Import,Import(US$ Mil),3040.41988904014
Ghana,2017,World,All Products,Export,Exports (in US$ Mil),14358.509951987
Ghana,2017,World,All Products,Import,Imports (in US$ Mil),12718.1418440935
Ghana,2017,World,All Products,Tariff,Duty Free Imports (US$ Thousand),1113954.96219019
Ghana,2017,...,...,Development,Trade Balance (current US$ Mil),-1847.8951868708
Ghana,2017,...,...,Development,GDP (current US$ Mil),58996.7762377603
Ghana,2017,...,...,Tariff,No. Of Tariff Agreement,2
Ghana,2017,...,...,Import,No. Of Import partners,180
Ghana,2017,...,...,Import,No. Of Import products,4160
Ghana,2017,...,...,Export,No. Of Export partners,150
Ghana,2017,...,...,Export,No. Of Export products,1980
Ghana,2016,...,...,Others,Population,28206728
Ghana,2018,...,...,Others,Ease of Doing Business Rank,120
Ghana,2018,...,...,Others,Trading Across Borders Rank,158
Ghana,2017,...,...,Others,CPIA Trade Ratings,4
Ghana,2016,...,...,Others,LPI Rank,88
Ghana,2016,...,...,Others,LPI Score,2.660931
Ghana,2014,...,...,Others,No Of NTM Affected Products (HS 6 Digit),5052
Ghana,2014,...,...,Others,No Of NTM Measures,36
Ghana,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1167794
Ghana,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1171562
Ghana,,...,...,Others,Services Trade Restrictions Index - Over All,18.4
Ghana,2017,India,All Products,Export,Partner share(%)-Top 5 Export Partner,18.7305
Ghana,2017,China,All Products,Export,Partner share(%)-Top 5 Export Partner,16.585
Ghana,2017,Switzerland,All Products,Export,Partner share(%)-Top 5 Export Partner,11.5618
Ghana,2017,South Africa,All Products,Export,Partner share(%)-Top 5 Export Partner,6.3396
Ghana,2017,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,6.1609
Ghana,2017,China,All Products,Import,Partner share(%)-Top 5 Import Partner,16.7806
Ghana,2017,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,9.4358
Ghana,2017,United Kingdom,All Products,Import,Partner share(%)-Top 5 Import Partner,8.642
Ghana,2017,Spain,All Products,Import,Partner share(%)-Top 5 Import Partner,5.9329
Ghana,2017,Belgium,All Products,Import,Partner share(%)-Top 5 Import Partner,5.6519
