Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
"Gambia, The",2016,Guinea-Bissau,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,59.123425
"Gambia, The",2016,Vietnam,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11.284093
"Gambia, The",2016,Senegal,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10.391759
"Gambia, The",2016,Mali,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5.569082
"Gambia, The",2016,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1.670331
"Gambia, The",2016,Cote d'Ivoire,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,64.634012
"Gambia, The",2016,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,44.733481
"Gambia, The",2016,Spain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,42.429459
"Gambia, The",2016,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,28.962319
"Gambia, The",2016,Malaysia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,17.183158
"Gambia, The",2016,World,Animal,Export,Export(US$ Mil),10.840048
"Gambia, The",2016,World,Vegetable,Export,Export(US$ Mil),23.533902
"Gambia, The",2016,World,Food Products,Export,Export(US$ Mil),28.052632
"Gambia, The",2016,World,Minerals,Export,Export(US$ Mil),0.004364
"Gambia, The",2016,World,Fuels,Export,Export(US$ Mil),0.645474
"Gambia, The",2016,World,Chemicals,Export,Export(US$ Mil),0.880272
"Gambia, The",2016,World,Plastic or Rubber,Export,Export(US$ Mil),0.642444
"Gambia, The",2016,World,Hides and Skins,Export,Export(US$ Mil),0.001125
"Gambia, The",2016,World,Wood,Export,Export(US$ Mil),2.661631
"Gambia, The",2016,World,Textiles and Clothing,Export,Export(US$ Mil),16.599532
"Gambia, The",2016,World,Footwear,Export,Export(US$ Mil),0.46195
"Gambia, The",2016,World,Stone and Glass,Export,Export(US$ Mil),0.588325
"Gambia, The",2016,World,Metals,Export,Export(US$ Mil),0.83295
"Gambia, The",2016,World,Mach and Elec,Export,Export(US$ Mil),3.748577
"Gambia, The",2016,World,Transportation,Export,Export(US$ Mil),4.493831
"Gambia, The",2016,World,Miscellaneous,Export,Export(US$ Mil),0.027893
"Gambia, The",2016,World,Raw materials,Export,Export(US$ Mil),24.752236
"Gambia, The",2016,World,Intermediate goods,Export,Export(US$ Mil),10.073056
"Gambia, The",2016,World,Consumer goods,Export,Export(US$ Mil),56.16901
"Gambia, The",2016,World,Capital goods,Export,Export(US$ Mil),3.020648
"Gambia, The",2016,World,Raw materials,Import,Import(US$ Mil),30.040768
"Gambia, The",2016,World,Intermediate goods,Import,Import(US$ Mil),61.514205
"Gambia, The",2016,World,Consumer goods,Import,Import(US$ Mil),256.416043
"Gambia, The",2016,World,Capital goods,Import,Import(US$ Mil),36.366712
