Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Greenland,2016,Denmark,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,447.06774
Greenland,2016,Portugal,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,45.8725
Greenland,2016,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,33.223353
Greenland,2016,Iceland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,17.047468
Greenland,2016,Norway,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2.649967
Greenland,2016,Denmark,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,426.98013
Greenland,2016,Sweden,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,60.813417
Greenland,2016,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,14.769064
Greenland,2016,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,12.28479
Greenland,2016,Austria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,9.020647
Greenland,2016,World,Animal,Export,Export(US$ Mil),389.832539
Greenland,2016,World,Vegetable,Export,Export(US$ Mil),0.000267
Greenland,2016,World,Food Products,Export,Export(US$ Mil),98.892011
Greenland,2016,World,Minerals,Export,Export(US$ Mil),0.000216
Greenland,2016,World,Fuels,Export,Export(US$ Mil),0.000307
Greenland,2016,World,Chemicals,Export,Export(US$ Mil),0.003345
Greenland,2016,World,Plastic or Rubber,Export,Export(US$ Mil),0.000381
Greenland,2016,World,Hides and Skins,Export,Export(US$ Mil),0.300752
Greenland,2016,World,Wood,Export,Export(US$ Mil),0.068242
Greenland,2016,World,Textiles and Clothing,Export,Export(US$ Mil),0.021094
Greenland,2016,World,Footwear,Export,Export(US$ Mil),0.091411
Greenland,2016,World,Stone and Glass,Export,Export(US$ Mil),0.009359
Greenland,2016,World,Metals,Export,Export(US$ Mil),0.727641
Greenland,2016,World,Mach and Elec,Export,Export(US$ Mil),0.951034
Greenland,2016,World,Transportation,Export,Export(US$ Mil),14.126123
Greenland,2016,World,Miscellaneous,Export,Export(US$ Mil),44.536141
Greenland,2016,World,Raw materials,Export,Export(US$ Mil),380.951683
Greenland,2016,World,Intermediate goods,Export,Export(US$ Mil),7.812944
Greenland,2016,World,Consumer goods,Export,Export(US$ Mil),102.560721
Greenland,2016,World,Capital goods,Export,Export(US$ Mil),14.901294
Greenland,2016,World,Raw materials,Import,Import(US$ Mil),39.097522
Greenland,2016,World,Intermediate goods,Import,Import(US$ Mil),59.689074
Greenland,2016,World,Consumer goods,Import,Import(US$ Mil),344.223017
Greenland,2016,World,Capital goods,Import,Import(US$ Mil),121.979246
Greenland,2016,World,All Products,Export,Exports (in US$ Mil),549.560858
Greenland,2016,World,All Products,Import,Imports (in US$ Mil),592.889652
Greenland,2016,...,...,Import,No. Of Import partners,134
Greenland,2016,...,...,Import,No. Of Import products,2779
Greenland,2016,...,...,Export,No. Of Export partners,14
Greenland,2016,...,...,Export,No. Of Export products,315
Greenland,2016,...,...,Others,Population,56186
Greenland,2016,Denmark,All Products,Export,Partner share(%)-Top 5 Export Partner,81.35
Greenland,2016,Portugal,All Products,Export,Partner share(%)-Top 5 Export Partner,8.3471
Greenland,2016,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,6.0454
Greenland,2016,Iceland,All Products,Export,Partner share(%)-Top 5 Export Partner,3.102
Greenland,2016,Norway,All Products,Export,Partner share(%)-Top 5 Export Partner,0.4822
Greenland,2016,Denmark,All Products,Import,Partner share(%)-Top 5 Import Partner,72.0168
Greenland,2016,Sweden,All Products,Import,Partner share(%)-Top 5 Import Partner,10.2571
Greenland,2016,China,All Products,Import,Partner share(%)-Top 5 Import Partner,2.491
Greenland,2016,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,2.072
Greenland,2016,Austria,All Products,Import,Partner share(%)-Top 5 Import Partner,1.5215
Greenland,2016,World,Animal,Export,Export Product share(%),70.9353
Greenland,2016,World,Vegetable,Export,Export Product share(%),0
Greenland,2016,World,Food Products,Export,Export Product share(%),17.9947
Greenland,2016,World,Minerals,Export,Export Product share(%),0
Greenland,2016,World,Fuels,Export,Export Product share(%),0.0001
Greenland,2016,World,Chemicals,Export,Export Product share(%),0.0006
Greenland,2016,World,Plastic or Rubber,Export,Export Product share(%),0.0001
Greenland,2016,World,Hides and Skins,Export,Export Product share(%),0.0547
Greenland,2016,World,Wood,Export,Export Product share(%),0.0124
Greenland,2016,World,Textiles and Clothing,Export,Export Product share(%),0.0038
Greenland,2016,World,Footwear,Export,Export Product share(%),0.0166
Greenland,2016,World,Stone and Glass,Export,Export Product share(%),0.0017
Greenland,2016,World,Metals,Export,Export Product share(%),0.1324
Greenland,2016,World,Mach and Elec,Export,Export Product share(%),0.1731
Greenland,2016,World,Transportation,Export,Export Product share(%),2.5704
Greenland,2016,World,Miscellaneous,Export,Export Product share(%),8.104
Greenland,2016,World,Raw materials,Export,Export Product share(%),69.3193
Greenland,2016,World,Intermediate goods,Export,Export Product share(%),1.4217
Greenland,2016,World,Consumer goods,Export,Export Product share(%),18.6623
Greenland,2016,World,Capital goods,Export,Export Product share(%),2.7115
Greenland,2016,World,Raw materials,Import,Import Product share(%),6.5944
Greenland,2016,World,Intermediate goods,Import,Import Product share(%),10.0675
Greenland,2016,World,Consumer goods,Import,Import Product share(%),58.0585
Greenland,2016,World,Capital goods,Import,Import Product share(%),20.5737
Greenland,2016,World,All Products,Trade Indicator,World Growth (%),-1.59063243474449
Greenland,2016,World,All Products,Trade Indicator,Country Growth (%),6.02095364816595
Greenland,2016,...,...,Trade Indicator,Index of export market penetration,1.25358381618782
Greenland,2016,...,...,Trade Indicator,HH Market concentration index,0.336557967597121
