Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Guyana,2017,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,409.562329601792
Guyana,2017,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,285.446430784824
Guyana,2017,Trinidad and Tobago,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,204.274057972475
Guyana,2017,Panama,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,157.576725244102
Guyana,2017,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,127.29992114014
Guyana,2017,Trinidad and Tobago,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,484.273291470758
Guyana,2017,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,466.170246138055
Guyana,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,157.076943697996
Guyana,2017,Suriname,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,107.394528754411
Guyana,2017,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,50.2291169594723
Guyana,2017,World,Animal,Export,Export(US$ Mil),112.172040414274
Guyana,2017,World,Vegetable,Export,Export(US$ Mil),205.037152199671
Guyana,2017,World,Food Products,Export,Export(US$ Mil),235.899177924232
Guyana,2017,World,Minerals,Export,Export(US$ Mil),147.898033743244
Guyana,2017,World,Fuels,Export,Export(US$ Mil),0.392062827892093
Guyana,2017,World,Chemicals,Export,Export(US$ Mil),19.8435252611829
Guyana,2017,World,Plastic or Rubber,Export,Export(US$ Mil),4.46599023212017
Guyana,2017,World,Hides and Skins,Export,Export(US$ Mil),0.0371528194780184
Guyana,2017,World,Wood,Export,Export(US$ Mil),47.154993382184
Guyana,2017,World,Textiles and Clothing,Export,Export(US$ Mil),0.925262419169431
Guyana,2017,World,Footwear,Export,Export(US$ Mil),0.127397577224212
Guyana,2017,World,Stone and Glass,Export,Export(US$ Mil),662.160704739351
Guyana,2017,World,Metals,Export,Export(US$ Mil),9.59254403919638
Guyana,2017,World,Mach and Elec,Export,Export(US$ Mil),79.5810062169719
Guyana,2017,World,Transportation,Export,Export(US$ Mil),262.937443117151
Guyana,2017,World,Miscellaneous,Export,Export(US$ Mil),1.46542083993881
Guyana,2017,World,Raw materials,Export,Export(US$ Mil),484.964151508058
Guyana,2017,World,Intermediate goods,Export,Export(US$ Mil),869.240197781227
Guyana,2017,World,Consumer goods,Export,Export(US$ Mil),93.5763969362773
Guyana,2017,World,Capital goods,Export,Export(US$ Mil),341.90916152772
Guyana,2017,World,Raw materials,Import,Import(US$ Mil),71.3890793134846
Guyana,2017,World,Intermediate goods,Import,Import(US$ Mil),302.110534031011
Guyana,2017,World,Consumer goods,Import,Import(US$ Mil),934.979878665087
Guyana,2017,World,Capital goods,Import,Import(US$ Mil),453.07334147896
Guyana,2017,World,All Products,Export,Exports (in US$ Mil),1789.68990775328
Guyana,2017,World,All Products,Import,Imports (in US$ Mil),1761.55283348854
Guyana,2017,World,All Products,Tariff,Duty Free Imports (US$ Thousand),870956.331463952
Guyana,2017,...,...,Development,Trade Balance (current US$ Mil),-557.55316029056
Guyana,2017,...,...,Development,GDP (current US$ Mil),3621.04600484262
Guyana,2017,...,...,Tariff,No. Of Tariff Agreement,5
Guyana,2017,...,...,Import,No. Of Import partners,136
Guyana,2017,...,...,Import,No. Of Import products,3235
Guyana,2017,...,...,Export,No. Of Export partners,104
Guyana,2017,...,...,Export,No. Of Export products,1280
Guyana,2016,...,...,Others,Population,773303
Guyana,2018,...,...,Others,Ease of Doing Business Rank,126
Guyana,2018,...,...,Others,Trading Across Borders Rank,142
Guyana,2017,...,...,Others,CPIA Trade Ratings,3.5
Guyana,2016,...,...,Others,LPI Rank,85
Guyana,2016,...,...,Others,LPI Score,2.667018
Guyana,2017,Canada,All Products,Export,Partner share(%)-Top 5 Export Partner,22.8845
Guyana,2017,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,15.9495
Guyana,2017,Trinidad and Tobago,All Products,Export,Partner share(%)-Top 5 Export Partner,11.4139
Guyana,2017,Panama,All Products,Export,Partner share(%)-Top 5 Export Partner,8.8047
Guyana,2017,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,7.113
Guyana,2017,Trinidad and Tobago,All Products,Import,Partner share(%)-Top 5 Import Partner,27.4913
Guyana,2017,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,26.4636
Guyana,2017,China,All Products,Import,Partner share(%)-Top 5 Import Partner,8.917
Guyana,2017,Suriname,All Products,Import,Partner share(%)-Top 5 Import Partner,6.0966
Guyana,2017,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,2.8514
Guyana,2017,World,Animal,Export,Export Product share(%),6.2677
Guyana,2017,World,Vegetable,Export,Export Product share(%),11.4566
Guyana,2017,World,Food Products,Export,Export Product share(%),13.181
Guyana,2017,World,Minerals,Export,Export Product share(%),8.2639
Guyana,2017,World,Fuels,Export,Export Product share(%),0.0219
Guyana,2017,World,Chemicals,Export,Export Product share(%),1.1088
Guyana,2017,World,Plastic or Rubber,Export,Export Product share(%),0.2495
Guyana,2017,World,Hides and Skins,Export,Export Product share(%),0.0021
Guyana,2017,World,Wood,Export,Export Product share(%),2.6348
Guyana,2017,World,Textiles and Clothing,Export,Export Product share(%),0.0517
Guyana,2017,World,Footwear,Export,Export Product share(%),0.0071
Guyana,2017,World,Stone and Glass,Export,Export Product share(%),36.9986
Guyana,2017,World,Metals,Export,Export Product share(%),0.536
Guyana,2017,World,Mach and Elec,Export,Export Product share(%),4.4466
Guyana,2017,World,Transportation,Export,Export Product share(%),14.6918
Guyana,2017,World,Miscellaneous,Export,Export Product share(%),0.0819
Guyana,2017,World,Raw materials,Export,Export Product share(%),27.0977
Guyana,2017,World,Intermediate goods,Export,Export Product share(%),48.5693
Guyana,2017,World,Consumer goods,Export,Export Product share(%),5.2286
Guyana,2017,World,Capital goods,Export,Export Product share(%),19.1044
Guyana,2017,World,Raw materials,Import,Import Product share(%),4.0526
Guyana,2017,World,Intermediate goods,Import,Import Product share(%),17.1502
Guyana,2017,World,Consumer goods,Import,Import Product share(%),53.077
Guyana,2017,World,Capital goods,Import,Import Product share(%),25.7201
Guyana,2017,World,Raw materials,Tariff,Weighted Average (%),9.95500165998295
Guyana,2017,World,Intermediate goods,Tariff,Weighted Average (%),4.7241278488767
Guyana,2017,World,Consumer goods,Tariff,Weighted Average (%),7.96827891372213
Guyana,2017,World,Capital goods,Tariff,Weighted Average (%),4.4955109723201
Guyana,2017,World,All Products,Trade Indicator,World Growth (%),1.50064825967466
Guyana,2017,World,All Products,Trade Indicator,Country Growth (%),-0.818514634434386
Guyana,2017,World,All Products,Tariff,Simple Average (%),9.77100353903627
Guyana,2017,World,All Products,Tariff,Weighted Average (%),6.6076126097712
Guyana,2017,World,All Products,Tariff,Maximum Rate (%),100
Guyana,2017,World,All Products,Tariff,Duty Free Tariff Lines Share (%),27.8937835343973
Guyana,2017,...,...,Trade Indicator,Index of export market penetration,1.3996856024412
Guyana,2017,...,...,Trade Indicator,HH Market concentration index,0.179799577036644
Guyana,2017,...,...,Development,Trade Balance (% of GDP),-15.3975718492644
Guyana,2017,...,...,Development,Trade (% of GDP),104.117792351948
Guyana,2017,...,...,Development,"GNI per capita, Atlas method (current US$)",4500
