Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
"Hong Kong, China",2017,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,297814.125928979
"Hong Kong, China",2017,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,42421.549551348
"Hong Kong, China",2017,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,21070.3020176418
"Hong Kong, China",2017,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,16513.3277931476
"Hong Kong, China",2017,Thailand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,13388.2446705521
"Hong Kong, China",2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,262582.642858795
"Hong Kong, China",2017,"Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,42401.3853239565
"Hong Kong, China",2017,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,37688.5133775255
"Hong Kong, China",2017,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,35714.1795870492
"Hong Kong, China",2017,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,32498.5298918739
"Hong Kong, China",2017,World,Animal,Export,Export(US$ Mil),4539.40804032711
"Hong Kong, China",2017,World,Vegetable,Export,Export(US$ Mil),2793.14030630793
"Hong Kong, China",2017,World,Food Products,Export,Export(US$ Mil),4331.87200433363
"Hong Kong, China",2017,World,Minerals,Export,Export(US$ Mil),71.0365650111612
"Hong Kong, China",2017,World,Fuels,Export,Export(US$ Mil),588.0985910785
"Hong Kong, China",2017,World,Chemicals,Export,Export(US$ Mil),7800.52664352915
"Hong Kong, China",2017,World,Plastic or Rubber,Export,Export(US$ Mil),11372.1326436739
"Hong Kong, China",2017,World,Hides and Skins,Export,Export(US$ Mil),6449.52639577931
"Hong Kong, China",2017,World,Wood,Export,Export(US$ Mil),3429.39086930458
"Hong Kong, China",2017,World,Textiles and Clothing,Export,Export(US$ Mil),21310.4774670671
"Hong Kong, China",2017,World,Footwear,Export,Export(US$ Mil),3409.64974927408
"Hong Kong, China",2017,World,Stone and Glass,Export,Export(US$ Mil),90090.0304050901
"Hong Kong, China",2017,World,Metals,Export,Export(US$ Mil),6548.55836752207
"Hong Kong, China",2017,World,Mach and Elec,Export,Export(US$ Mil),348687.832024626
