Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Croatia,2017,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2140.701201
Croatia,2017,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1939.862765
Croatia,2017,Slovenia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1688.932173
Croatia,2017,Bosnia and Herzegovina,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1536.746816
Croatia,2017,Austria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,985.035532
Croatia,2017,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3871.410768
Croatia,2017,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3165.174941
Croatia,2017,Slovenia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2625.720877
Croatia,2017,Hungary,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1852.818153
Croatia,2017,Austria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1849.590083
Croatia,2017,World,Animal,Export,Export(US$ Mil),417.835156
Croatia,2017,World,Vegetable,Export,Export(US$ Mil),561.610055
Croatia,2017,World,Food Products,Export,Export(US$ Mil),1137.560682
Croatia,2017,World,Minerals,Export,Export(US$ Mil),234.549052
Croatia,2017,World,Fuels,Export,Export(US$ Mil),1684.919794
Croatia,2017,World,Chemicals,Export,Export(US$ Mil),2025.535204
Croatia,2017,World,Plastic or Rubber,Export,Export(US$ Mil),500.986697
Croatia,2017,World,Hides and Skins,Export,Export(US$ Mil),260.125312
Croatia,2017,World,Wood,Export,Export(US$ Mil),1212.060024
Croatia,2017,World,Textiles and Clothing,Export,Export(US$ Mil),947.014682
Croatia,2017,World,Footwear,Export,Export(US$ Mil),293.379533
Croatia,2017,World,Stone and Glass,Export,Export(US$ Mil),399.149571
Croatia,2017,World,Metals,Export,Export(US$ Mil),1307.963964
Croatia,2017,World,Mach and Elec,Export,Export(US$ Mil),2702.295674
Croatia,2017,World,Transportation,Export,Export(US$ Mil),996.923758
Croatia,2017,World,Miscellaneous,Export,Export(US$ Mil),1050.576058
Croatia,2017,World,Raw materials,Export,Export(US$ Mil),1389.350817
Croatia,2017,World,Intermediate goods,Export,Export(US$ Mil),4010.541496
Croatia,2017,World,Consumer goods,Export,Export(US$ Mil),6954.24610999999
Croatia,2017,World,Capital goods,Export,Export(US$ Mil),3348.933305
Croatia,2017,World,Raw materials,Import,Import(US$ Mil),2565.039603
Croatia,2017,World,Intermediate goods,Import,Import(US$ Mil),6284.09138700001
Croatia,2017,World,Consumer goods,Import,Import(US$ Mil),10630.284721
Croatia,2017,World,Capital goods,Import,Import(US$ Mil),5029.639588
Croatia,2017,World,All Products,Export,Exports (in US$ Mil),15732.485216
Croatia,2017,World,All Products,Import,Imports (in US$ Mil),24512.646924
Croatia,2013,World,All Products,Tariff,Duty Free Imports (US$ Thousand),18161055.57
Croatia,2017,...,...,Development,Trade Balance (current US$ Mil),1240.9471665766
Croatia,2017,...,...,Development,GDP (current US$ Mil),55213.0872706341
Croatia,2013,...,...,Tariff,No. Of Tariff Agreement,13
Croatia,2017,...,...,Import,No. Of Import partners,159
Croatia,2017,...,...,Import,No. Of Import products,4346
Croatia,2017,...,...,Export,No. Of Export partners,182
Croatia,2017,...,...,Export,No. Of Export products,3900
Croatia,2016,...,...,Others,Population,4174349
Croatia,2018,...,...,Others,Ease of Doing Business Rank,51
Croatia,2018,...,...,Others,Trading Across Borders Rank,1
Croatia,2016,...,...,Others,LPI Rank,51
Croatia,2016,...,...,Others,LPI Score,3.160829
Croatia,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0213094
Croatia,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0622957
Croatia,2017,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,13.6069
Croatia,2017,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,12.3303
Croatia,2017,Slovenia,All Products,Export,Partner share(%)-Top 5 Export Partner,10.7353
Croatia,2017,Bosnia and Herzegovina,All Products,Export,Partner share(%)-Top 5 Export Partner,9.768
Croatia,2017,Austria,All Products,Export,Partner share(%)-Top 5 Export Partner,6.2612
Croatia,2017,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,15.7935
Croatia,2017,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,12.9124
Croatia,2017,Slovenia,All Products,Import,Partner share(%)-Top 5 Import Partner,10.7117
Croatia,2017,Hungary,All Products,Import,Partner share(%)-Top 5 Import Partner,7.5586
Croatia,2017,Austria,All Products,Import,Partner share(%)-Top 5 Import Partner,7.5455
Croatia,2017,World,Animal,Export,Export Product share(%),2.6559
Croatia,2017,World,Vegetable,Export,Export Product share(%),3.5697
Croatia,2017,World,Food Products,Export,Export Product share(%),7.2306
Croatia,2017,World,Minerals,Export,Export Product share(%),1.4909
Croatia,2017,World,Fuels,Export,Export Product share(%),10.7098
Croatia,2017,World,Chemicals,Export,Export Product share(%),12.8749
Croatia,2017,World,Plastic or Rubber,Export,Export Product share(%),3.1844
Croatia,2017,World,Hides and Skins,Export,Export Product share(%),1.6534
Croatia,2017,World,Wood,Export,Export Product share(%),7.7042
Croatia,2017,World,Textiles and Clothing,Export,Export Product share(%),6.0195
Croatia,2017,World,Footwear,Export,Export Product share(%),1.8648
Croatia,2017,World,Stone and Glass,Export,Export Product share(%),2.5371
Croatia,2017,World,Metals,Export,Export Product share(%),8.3138
Croatia,2017,World,Mach and Elec,Export,Export Product share(%),17.1765
Croatia,2017,World,Transportation,Export,Export Product share(%),6.3367
Croatia,2017,World,Miscellaneous,Export,Export Product share(%),6.6778
Croatia,2017,World,Raw materials,Export,Export Product share(%),8.8311
Croatia,2017,World,Intermediate goods,Export,Export Product share(%),25.4921
Croatia,2017,World,Consumer goods,Export,Export Product share(%),44.2031
Croatia,2017,World,Capital goods,Export,Export Product share(%),21.2867
Croatia,2017,World,Raw materials,Import,Import Product share(%),10.4641
Croatia,2017,World,Intermediate goods,Import,Import Product share(%),25.6361
Croatia,2017,World,Consumer goods,Import,Import Product share(%),43.3665
Croatia,2017,World,Capital goods,Import,Import Product share(%),20.5185
Croatia,2013,World,Raw materials,Tariff,Weighted Average (%),2.22523031164531
Croatia,2013,World,Intermediate goods,Tariff,Weighted Average (%),0.366987909815462
Croatia,2013,World,Consumer goods,Tariff,Weighted Average (%),2.09146182980357
Croatia,2013,World,Capital goods,Tariff,Weighted Average (%),0.240077667836742
Croatia,2017,World,All Products,Trade Indicator,World Growth (%),1.50064825967466
Croatia,2017,World,All Products,Trade Indicator,Country Growth (%),5.13084838117901
Croatia,2013,World,All Products,Tariff,Simple Average (%),1.89721768496286
Croatia,2013,World,All Products,Tariff,Weighted Average (%),1.3837123992018
Croatia,2013,World,All Products,Tariff,Maximum Rate (%),55
Croatia,2013,World,All Products,Tariff,Duty Free Tariff Lines Share (%),70.9263930155767
Croatia,2017,...,...,Trade Indicator,Index of export market penetration,6.13817385431279
Croatia,2017,...,...,Trade Indicator,HH Market concentration index,0.0629418991928404
Croatia,2017,...,...,Development,Trade Balance (% of GDP),2.24755982307961
Croatia,2017,...,...,Development,Trade in services (% of GDP),36.289802102799
Croatia,2017,...,...,Development,Trade (% of GDP),99.9249238065866
Croatia,2017,...,...,Development,"GNI per capita, Atlas method (current US$)",12570
