Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Hungary,2017,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,31009.859837
Hungary,2017,Romania,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5863.763591
Hungary,2017,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5790.364194
Hungary,2017,Austria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5488.25395
Hungary,2017,Slovak Republic,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5374.151991
Hungary,2017,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,27675.683525
Hungary,2017,Austria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,6438.016591
Hungary,2017,Poland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5837.577712
Hungary,2017,Slovak Republic,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5672.028579
Hungary,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5291.354643
Hungary,2017,World,Animal,Export,Export(US$ Mil),2086.005687
Hungary,2017,World,Vegetable,Export,Export(US$ Mil),3841.72719
Hungary,2017,World,Food Products,Export,Export(US$ Mil),4116.663579
Hungary,2017,World,Minerals,Export,Export(US$ Mil),96.148671
Hungary,2017,World,Fuels,Export,Export(US$ Mil),2834.446798
Hungary,2017,World,Chemicals,Export,Export(US$ Mil),9961.395246
Hungary,2017,World,Plastic or Rubber,Export,Export(US$ Mil),7234.855615
Hungary,2017,World,Hides and Skins,Export,Export(US$ Mil),563.606569
Hungary,2017,World,Wood,Export,Export(US$ Mil),2498.775753
Hungary,2017,World,Textiles and Clothing,Export,Export(US$ Mil),1627.367301
Hungary,2017,World,Footwear,Export,Export(US$ Mil),669.305537
Hungary,2017,World,Stone and Glass,Export,Export(US$ Mil),1828.829583
Hungary,2017,World,Metals,Export,Export(US$ Mil),5639.819043
Hungary,2017,World,Mach and Elec,Export,Export(US$ Mil),43669.534179
Hungary,2017,World,Transportation,Export,Export(US$ Mil),19743.830511
Hungary,2017,World,Miscellaneous,Export,Export(US$ Mil),6969.766159
Hungary,2017,World,Raw materials,Export,Export(US$ Mil),5512.167533
Hungary,2017,World,Intermediate goods,Export,Export(US$ Mil),16052.372096
Hungary,2017,World,Consumer goods,Export,Export(US$ Mil),41244.5967869999
Hungary,2017,World,Capital goods,Export,Export(US$ Mil),47125.962384
Hungary,2017,World,Raw materials,Import,Import(US$ Mil),5310.539765
Hungary,2017,World,Intermediate goods,Import,Import(US$ Mil),19568.538318
Hungary,2017,World,Consumer goods,Import,Import(US$ Mil),30404.997339
Hungary,2017,World,Capital goods,Import,Import(US$ Mil),41954.31909
Hungary,2017,World,All Products,Export,Exports (in US$ Mil),113382.077421
Hungary,2017,World,All Products,Import,Imports (in US$ Mil),104283.798638
Hungary,2002,World,All Products,Tariff,Duty Free Imports (US$ Thousand),7140691
Hungary,2017,...,...,Development,Trade Balance (current US$ Mil),10879.975707519
Hungary,2017,...,...,Development,GDP (current US$ Mil),139135.02975829
Hungary,2002,...,...,Tariff,No. Of Tariff Agreement,1
Hungary,2017,...,...,Import,No. Of Import partners,173
Hungary,2017,...,...,Import,No. Of Import products,4370
Hungary,2017,...,...,Export,No. Of Export partners,205
