Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Indonesia,2017,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,23049.295902632
Indonesia,2017,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,17810.47998925
Indonesia,2017,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,17790.812134397
Indonesia,2017,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,14083.57299426
Indonesia,2017,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,12767.19291707
Indonesia,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,34520.725303
Indonesia,2017,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,16992.133221
Indonesia,2017,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,14133.60827
Indonesia,2017,Malaysia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,9058.604613
Indonesia,2017,Thailand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,9035.564323
Indonesia,2017,World,Animal,Export,Export(US$ Mil),3381.0765128
Indonesia,2017,World,Vegetable,Export,Export(US$ Mil),29577.37084546
Indonesia,2017,World,Food Products,Export,Export(US$ Mil),6971.317881267
Indonesia,2017,World,Minerals,Export,Export(US$ Mil),3979.73652255
Indonesia,2017,World,Fuels,Export,Export(US$ Mil),36866.86943905
Indonesia,2017,World,Chemicals,Export,Export(US$ Mil),7870.71881885
Indonesia,2017,World,Plastic or Rubber,Export,Export(US$ Mil),10140.086871525
Indonesia,2017,World,Hides and Skins,Export,Export(US$ Mil),546.0508687
Indonesia,2017,World,Wood,Export,Export(US$ Mil),10434.95735451
Indonesia,2017,World,Textiles and Clothing,Export,Export(US$ Mil),12536.6846937
Indonesia,2017,World,Footwear,Export,Export(US$ Mil),5397.31068789
Indonesia,2017,World,Stone and Glass,Export,Export(US$ Mil),6385.01955637
Indonesia,2017,World,Metals,Export,Export(US$ Mil),9533.335298482
Indonesia,2017,World,Mach and Elec,Export,Export(US$ Mil),14327.44717619
Indonesia,2017,World,Transportation,Export,Export(US$ Mil),7187.93531824
Indonesia,2017,World,Miscellaneous,Export,Export(US$ Mil),3674.12508464
Indonesia,2017,World,Raw materials,Export,Export(US$ Mil),42182.93809083
Indonesia,2017,World,Intermediate goods,Export,Export(US$ Mil),44347.150788402
Indonesia,2017,World,Consumer goods,Export,Export(US$ Mil),66489.9706245519
Indonesia,2017,World,Capital goods,Export,Export(US$ Mil),14987.36605667
Indonesia,2017,World,Raw materials,Import,Import(US$ Mil),25208.756851
Indonesia,2017,World,Intermediate goods,Import,Import(US$ Mil),51549.8917460001
Indonesia,2017,World,Consumer goods,Import,Import(US$ Mil),37245.685827
Indonesia,2017,World,Capital goods,Import,Import(US$ Mil),42793.060931
Indonesia,2017,World,All Products,Export,Exports (in US$ Mil),168810.042930224
Indonesia,2017,World,All Products,Import,Imports (in US$ Mil),157388.168472
Indonesia,2017,World,All Products,Tariff,Duty Free Imports (US$ Thousand),97275176.0289999
Indonesia,2017,...,...,Development,Trade Balance (current US$ Mil),12241.254068723
Indonesia,2017,...,...,Development,GDP (current US$ Mil),1015539.0175365
Indonesia,2017,...,...,Tariff,No. Of Tariff Agreement,8
Indonesia,2017,...,...,Import,No. Of Import partners,222
Indonesia,2017,...,...,Import,No. Of Import products,4413
Indonesia,2017,...,...,Export,No. Of Export partners,216
Indonesia,2017,...,...,Export,No. Of Export products,3903
Indonesia,2016,...,...,Others,Population,261115456
Indonesia,2018,...,...,Others,Ease of Doing Business Rank,72
Indonesia,2018,...,...,Others,Trading Across Borders Rank,112
Indonesia,2006,...,...,Others,CPIA Trade Ratings,4.5
Indonesia,2016,...,...,Others,LPI Rank,63
Indonesia,2016,...,...,Others,LPI Score,2.984537
Indonesia,2015,...,...,Others,No Of NTM Affected Products (HS 6 Digit),3622
Indonesia,2015,...,...,Others,No Of NTM Measures,64
Indonesia,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0474693
Indonesia,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0787497
Indonesia,,...,...,Others,Services Trade Restrictions Index - Over All,50
Indonesia,2013,...,...,Others,Temporary Trade Barriers in Effect - Simple Average,1.820999622
Indonesia,2013,...,...,Others,Temporary Trade Barriers in Effect - Weighted Average,2.406973124
Indonesia,2017,China,All Products,Export,Partner share(%)-Top 5 Export Partner,13.654
Indonesia,2017,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,10.5506
Indonesia,2017,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,10.539
Indonesia,2017,India,All Products,Export,Partner share(%)-Top 5 Export Partner,8.3429
Indonesia,2017,Singapore,All Products,Export,Partner share(%)-Top 5 Export Partner,7.5631
Indonesia,2017,China,All Products,Import,Partner share(%)-Top 5 Import Partner,21.9335
Indonesia,2017,Singapore,All Products,Import,Partner share(%)-Top 5 Import Partner,10.7963
Indonesia,2017,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,8.9801
Indonesia,2017,Malaysia,All Products,Import,Partner share(%)-Top 5 Import Partner,5.7556
Indonesia,2017,Thailand,All Products,Import,Partner share(%)-Top 5 Import Partner,5.7409
Indonesia,2017,World,Animal,Export,Export Product share(%),2.0029
Indonesia,2017,World,Vegetable,Export,Export Product share(%),17.5211
Indonesia,2017,World,Food Products,Export,Export Product share(%),4.1297
Indonesia,2017,World,Minerals,Export,Export Product share(%),2.3575
Indonesia,2017,World,Fuels,Export,Export Product share(%),21.8393
Indonesia,2017,World,Chemicals,Export,Export Product share(%),4.6625
Indonesia,2017,World,Plastic or Rubber,Export,Export Product share(%),6.0068
Indonesia,2017,World,Hides and Skins,Export,Export Product share(%),0.3235
Indonesia,2017,World,Wood,Export,Export Product share(%),6.1815
Indonesia,2017,World,Textiles and Clothing,Export,Export Product share(%),7.4265
Indonesia,2017,World,Footwear,Export,Export Product share(%),3.1973
Indonesia,2017,World,Stone and Glass,Export,Export Product share(%),3.7824
Indonesia,2017,World,Metals,Export,Export Product share(%),5.6474
Indonesia,2017,World,Mach and Elec,Export,Export Product share(%),8.4873
Indonesia,2017,World,Transportation,Export,Export Product share(%),4.258
Indonesia,2017,World,Miscellaneous,Export,Export Product share(%),2.1765
Indonesia,2017,World,Raw materials,Export,Export Product share(%),24.9884
Indonesia,2017,World,Intermediate goods,Export,Export Product share(%),26.2704
Indonesia,2017,World,Consumer goods,Export,Export Product share(%),39.3874
Indonesia,2017,World,Capital goods,Export,Export Product share(%),8.8782
Indonesia,2017,World,Raw materials,Import,Import Product share(%),16.0169
Indonesia,2017,World,Intermediate goods,Import,Import Product share(%),32.7533
Indonesia,2017,World,Consumer goods,Import,Import Product share(%),23.6649
Indonesia,2017,World,Capital goods,Import,Import Product share(%),27.1895
Indonesia,2017,World,Raw materials,Tariff,Weighted Average (%),0.793642256772558
Indonesia,2017,World,Intermediate goods,Tariff,Weighted Average (%),1.9370434708568
Indonesia,2017,World,Consumer goods,Tariff,Weighted Average (%),4.40724156168029
Indonesia,2017,World,Capital goods,Tariff,Weighted Average (%),1.23555064162819
Indonesia,2017,World,All Products,Trade Indicator,World Growth (%),1.50064825967466
Indonesia,2017,World,All Products,Trade Indicator,Country Growth (%),2.21396445852911
Indonesia,2017,World,All Products,Tariff,Simple Average (%),5.86106026454896
Indonesia,2017,World,All Products,Tariff,Weighted Average (%),2.06443170484023
Indonesia,2017,World,All Products,Tariff,Maximum Rate (%),150
Indonesia,2017,World,All Products,Tariff,Duty Free Tariff Lines Share (%),38.8118877857
Indonesia,2017,...,...,Trade Indicator,Index of export market penetration,11.8779375126026
Indonesia,2017,...,...,Trade Indicator,HH Market concentration index,0.0731716093443049
Indonesia,2017,...,...,Development,Trade Balance (% of GDP),1.205394756611
Indonesia,2017,...,...,Development,Trade in services (% of GDP),5.65703277985414
Indonesia,2017,...,...,Development,Trade (% of GDP),39.5362353587082
