Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
India,2017,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,46018.0766407899
India,2017,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,28636.2633028988
India,2017,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,15020.619619183
India,2017,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,12495.2304595528
India,2017,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11559.9406680704
India,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,71922.7478176351
India,2017,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,24086.156632527
India,2017,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,23115.4597083756
India,2017,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,21086.8457101029
India,2017,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,20404.6500232174
India,2017,World,Animal,Export,Export(US$ Mil),11341.4000841566
India,2017,World,Vegetable,Export,Export(US$ Mil),18192.9777749933
India,2017,World,Food Products,Export,Export(US$ Mil),6287.09396768224
India,2017,World,Minerals,Export,Export(US$ Mil),3985.71001737082
India,2017,World,Fuels,Export,Export(US$ Mil),35873.7117648476
India,2017,World,Chemicals,Export,Export(US$ Mil),37148.0310982566
India,2017,World,Plastic or Rubber,Export,Export(US$ Mil),8773.41482039191
India,2017,World,Hides and Skins,Export,Export(US$ Mil),3301.70828340012
India,2017,World,Wood,Export,Export(US$ Mil),2008.51227700579
India,2017,World,Textiles and Clothing,Export,Export(US$ Mil),37220.8704627476
India,2017,World,Footwear,Export,Export(US$ Mil),3068.22042090497
India,2017,World,Stone and Glass,Export,Export(US$ Mil),44448.8703441592
India,2017,World,Metals,Export,Export(US$ Mil),28136.6421591024
India,2017,World,Mach and Elec,Export,Export(US$ Mil),25418.4991995728
India,2017,World,Transportation,Export,Export(US$ Mil),23429.4168077896
India,2017,World,Miscellaneous,Export,Export(US$ Mil),5729.41068020705
India,2017,World,Raw materials,Export,Export(US$ Mil),25401.1767580888
India,2017,World,Intermediate goods,Export,Export(US$ Mil),97723.6217286685
India,2017,World,Consumer goods,Export,Export(US$ Mil),129592.692794866
India,2017,World,Capital goods,Export,Export(US$ Mil),40570.3550648916
India,2017,World,Raw materials,Import,Import(US$ Mil),148911.039817888
India,2017,World,Intermediate goods,Import,Import(US$ Mil),146645.092350196
India,2017,World,Consumer goods,Import,Import(US$ Mil),49478.597249759
India,2017,World,Capital goods,Import,Import(US$ Mil),94409.2786463399
India,2017,World,All Products,Export,Exports (in US$ Mil),294364.490162589
India,2017,World,All Products,Import,Imports (in US$ Mil),444052.353836283
India,2017,World,All Products,Tariff,Duty Free Imports (US$ Thousand),161391484.295884
India,2017,...,...,Development,Trade Balance (current US$ Mil),-77494.968352566
India,2017,...,...,Development,GDP (current US$ Mil),2600818.24355965
India,2017,...,...,Tariff,No. Of Tariff Agreement,22
India,2017,...,...,Import,No. Of Import partners,213
India,2017,...,...,Import,No. Of Import products,4317
India,2017,...,...,Export,No. Of Export partners,219
India,2017,...,...,Export,No. Of Export products,4418
India,2016,...,...,Others,Population,1324171354
