Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Ireland,2017,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,37428.625753016
Ireland,2017,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,16333.2491885989
Ireland,2017,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,15047.5440137731
Ireland,2017,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11373.5696592275
Ireland,2017,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6998.85644995934
Ireland,2017,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,19592.6791370763
Ireland,2017,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,18286.9566942765
Ireland,2017,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,11791.4424053346
Ireland,2017,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7729.68456629554
Ireland,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4974.68211933553
Ireland,2017,World,Animal,Export,Export(US$ Mil),7271.17779120767
Ireland,2017,World,Vegetable,Export,Export(US$ Mil),466.843208926209
Ireland,2017,World,Food Products,Export,Export(US$ Mil),6876.15735189909
Ireland,2017,World,Minerals,Export,Export(US$ Mil),537.442374679355
Ireland,2017,World,Fuels,Export,Export(US$ Mil),1114.8955333525
Ireland,2017,World,Chemicals,Export,Export(US$ Mil),76090.0350557242
Ireland,2017,World,Plastic or Rubber,Export,Export(US$ Mil),1679.59882171456
Ireland,2017,World,Hides and Skins,Export,Export(US$ Mil),227.788974698669
Ireland,2017,World,Wood,Export,Export(US$ Mil),894.9537761289
Ireland,2017,World,Textiles and Clothing,Export,Export(US$ Mil),582.099540154276
Ireland,2017,World,Footwear,Export,Export(US$ Mil),58.081265911993
Ireland,2017,World,Stone and Glass,Export,Export(US$ Mil),554.966216257933
Ireland,2017,World,Metals,Export,Export(US$ Mil),1449.01518891152
Ireland,2017,World,Mach and Elec,Export,Export(US$ Mil),16952.2009599323
Ireland,2017,World,Transportation,Export,Export(US$ Mil),7340.17972586356
Ireland,2017,World,Miscellaneous,Export,Export(US$ Mil),15976.7774668457
Ireland,2017,World,Raw materials,Export,Export(US$ Mil),5729.474754625
Ireland,2017,World,Intermediate goods,Export,Export(US$ Mil),60706.1605500631
Ireland,2017,World,Consumer goods,Export,Export(US$ Mil),38706.1037408824
Ireland,2017,World,Capital goods,Export,Export(US$ Mil),31776.9950310952
Ireland,2017,World,Raw materials,Import,Import(US$ Mil),5097.34638447976
Ireland,2017,World,Intermediate goods,Import,Import(US$ Mil),17827.6976367421
Ireland,2017,World,Consumer goods,Import,Import(US$ Mil),29151.0657375944
Ireland,2017,World,Capital goods,Import,Import(US$ Mil),34250.1104165952
Ireland,2017,World,All Products,Export,Exports (in US$ Mil),138072.213252209
Ireland,2017,World,All Products,Import,Imports (in US$ Mil),88828.3574569533
Ireland,2017,...,...,Development,Trade Balance (current US$ Mil),107241.747313734
Ireland,2017,...,...,Development,GDP (current US$ Mil),333730.76477318
Ireland,2017,...,...,Import,No. Of Import partners,226
