Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Iceland,2017,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1238.32367541344
Iceland,2017,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,654.554799242503
Iceland,2017,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,456.653207804959
Iceland,2017,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,370.387054006175
Iceland,2017,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,340.753140508627
Iceland,2017,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,738.235005188833
Iceland,2017,Norway,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,634.544256199314
Iceland,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,483.22020843606
Iceland,2017,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,463.1016239096
Iceland,2017,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,444.960805634716
Iceland,2017,World,Animal,Export,Export(US$ Mil),1685.06451083664
Iceland,2017,World,Vegetable,Export,Export(US$ Mil),98.0390945337685
Iceland,2017,World,Food Products,Export,Export(US$ Mil),320.516099575687
Iceland,2017,World,Minerals,Export,Export(US$ Mil),14.3226819689924
Iceland,2017,World,Fuels,Export,Export(US$ Mil),57.6579463158368
Iceland,2017,World,Chemicals,Export,Export(US$ Mil),50.502601640429
Iceland,2017,World,Plastic or Rubber,Export,Export(US$ Mil),18.9297948004664
Iceland,2017,World,Hides and Skins,Export,Export(US$ Mil),14.2009869186096
Iceland,2017,World,Wood,Export,Export(US$ Mil),4.39604870714577
Iceland,2017,World,Textiles and Clothing,Export,Export(US$ Mil),13.1507892738678
Iceland,2017,World,Footwear,Export,Export(US$ Mil),0.23875425456174
Iceland,2017,World,Stone and Glass,Export,Export(US$ Mil),3.05334885476583
Iceland,2017,World,Metals,Export,Export(US$ Mil),2159.07283781969
Iceland,2017,World,Mach and Elec,Export,Export(US$ Mil),133.042723144907
Iceland,2017,World,Transportation,Export,Export(US$ Mil),120.909115948858
Iceland,2017,World,Miscellaneous,Export,Export(US$ Mil),189.508550434974
Iceland,2017,World,Raw materials,Export,Export(US$ Mil),1459.92502467725
Iceland,2017,World,Intermediate goods,Export,Export(US$ Mil),2574.9983179505
Iceland,2017,World,Consumer goods,Export,Export(US$ Mil),464.230042444136
Iceland,2017,World,Capital goods,Export,Export(US$ Mil),342.829725094763
Iceland,2017,World,Raw materials,Import,Import(US$ Mil),310.357529287393
Iceland,2017,World,Intermediate goods,Import,Import(US$ Mil),1377.13701934912
Iceland,2017,World,Consumer goods,Import,Import(US$ Mil),3271.62927544364
Iceland,2017,World,Capital goods,Import,Import(US$ Mil),2010.24925813986
Iceland,2017,World,All Products,Export,Exports (in US$ Mil),4882.6058850292
Iceland,2017,World,All Products,Import,Imports (in US$ Mil),6970.76250519362
Iceland,2017,World,All Products,Tariff,Duty Free Imports (US$ Thousand),5692864.37927029
Iceland,2017,...,...,Development,Trade Balance (current US$ Mil),983.880036230501
Iceland,2017,...,...,Development,GDP (current US$ Mil),23909.2899785861
Iceland,2017,...,...,Tariff,No. Of Tariff Agreement,32
Iceland,2017,...,...,Import,No. Of Import partners,147
Iceland,2017,...,...,Import,No. Of Import products,4013
Iceland,2017,...,...,Export,No. Of Export partners,129
Iceland,2017,...,...,Export,No. Of Export products,1403
Iceland,2016,...,...,Others,Population,335439
Iceland,2018,...,...,Others,Ease of Doing Business Rank,23
Iceland,2018,...,...,Others,Trading Across Borders Rank,69
Iceland,2016,...,...,Others,LPI Rank,39
Iceland,2016,...,...,Others,LPI Score,3.345605
Iceland,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0435967
Iceland,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.058861
Iceland,2017,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,25.3619
Iceland,2017,Spain,All Products,Export,Partner share(%)-Top 5 Export Partner,13.4058
Iceland,2017,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,9.3527
Iceland,2017,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,7.5858
Iceland,2017,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,6.9789
Iceland,2017,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,10.5904
Iceland,2017,Norway,All Products,Import,Partner share(%)-Top 5 Import Partner,9.1029
Iceland,2017,China,All Products,Import,Partner share(%)-Top 5 Import Partner,6.9321
Iceland,2017,Netherlands,All Products,Import,Partner share(%)-Top 5 Import Partner,6.6435
Iceland,2017,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,6.3832
Iceland,2017,World,Animal,Export,Export Product share(%),34.5116
Iceland,2017,World,Vegetable,Export,Export Product share(%),2.0079
Iceland,2017,World,Food Products,Export,Export Product share(%),6.5644
Iceland,2017,World,Minerals,Export,Export Product share(%),0.2933
Iceland,2017,World,Fuels,Export,Export Product share(%),1.1809
Iceland,2017,World,Chemicals,Export,Export Product share(%),1.0343
Iceland,2017,World,Plastic or Rubber,Export,Export Product share(%),0.3877
Iceland,2017,World,Hides and Skins,Export,Export Product share(%),0.2908
Iceland,2017,World,Wood,Export,Export Product share(%),0.09
Iceland,2017,World,Textiles and Clothing,Export,Export Product share(%),0.2693
Iceland,2017,World,Footwear,Export,Export Product share(%),0.0049
Iceland,2017,World,Stone and Glass,Export,Export Product share(%),0.0625
Iceland,2017,World,Metals,Export,Export Product share(%),44.2197
Iceland,2017,World,Mach and Elec,Export,Export Product share(%),2.7248
Iceland,2017,World,Transportation,Export,Export Product share(%),2.4763
Iceland,2017,World,Miscellaneous,Export,Export Product share(%),3.8813
Iceland,2017,World,Raw materials,Export,Export Product share(%),29.9005
Iceland,2017,World,Intermediate goods,Export,Export Product share(%),52.7382
Iceland,2017,World,Consumer goods,Export,Export Product share(%),9.5078
Iceland,2017,World,Capital goods,Export,Export Product share(%),7.0214
Iceland,2017,World,Raw materials,Import,Import Product share(%),4.4523
Iceland,2017,World,Intermediate goods,Import,Import Product share(%),19.7559
Iceland,2017,World,Consumer goods,Import,Import Product share(%),46.9336
Iceland,2017,World,Capital goods,Import,Import Product share(%),28.8383
Iceland,2017,World,Raw materials,Tariff,Weighted Average (%),15.9336729416681
Iceland,2017,World,Intermediate goods,Tariff,Weighted Average (%),0.664857878091889
Iceland,2017,World,Consumer goods,Tariff,Weighted Average (%),1.96145399979058
Iceland,2017,World,Capital goods,Tariff,Weighted Average (%),0
Iceland,2017,World,All Products,Trade Indicator,World Growth (%),1.50064825967466
Iceland,2017,World,All Products,Trade Indicator,Country Growth (%),7.96830534507005
Iceland,2017,World,All Products,Tariff,Simple Average (%),1.29342483471711
Iceland,2017,World,All Products,Tariff,Weighted Average (%),1.57228772939148
Iceland,2017,World,All Products,Tariff,Maximum Rate (%),2133.1279296875
Iceland,2017,World,All Products,Tariff,Duty Free Tariff Lines Share (%),94.5556732685712
Iceland,2017,...,...,Trade Indicator,Index of export market penetration,2.68642079086547
Iceland,2017,...,...,Trade Indicator,HH Market concentration index,0.0818218942050742
Iceland,2017,...,...,Development,Trade Balance (% of GDP),4.1150533416583
Iceland,2017,...,...,Development,Trade in services (% of GDP),42.4472808716069
Iceland,2017,...,...,Development,Trade (% of GDP),89.8126111385837
Iceland,2017,...,...,Development,"GNI per capita, Atlas method (current US$)",60830
