Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Israel,2017,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,17051.77
Israel,2017,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5168.083
Israel,2017,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4216.942
Israel,2017,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4161.011
Israel,2017,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3309.936
Israel,2017,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8087.035
Israel,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,6527.398
Israel,2017,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5503.817
Israel,2017,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4721.171
Israel,2017,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4306.655
Israel,2017,World,Animal,Export,Export(US$ Mil),39.572
Israel,2017,World,Vegetable,Export,Export(US$ Mil),1472.51
Israel,2017,World,Food Products,Export,Export(US$ Mil),732.08
Israel,2017,World,Minerals,Export,Export(US$ Mil),147.003
Israel,2017,World,Fuels,Export,Export(US$ Mil),878.897
Israel,2017,World,Chemicals,Export,Export(US$ Mil),14302.202
Israel,2017,World,Plastic or Rubber,Export,Export(US$ Mil),2851.008
Israel,2017,World,Hides and Skins,Export,Export(US$ Mil),33.31
Israel,2017,World,Wood,Export,Export(US$ Mil),330.109
Israel,2017,World,Textiles and Clothing,Export,Export(US$ Mil),961.471
Israel,2017,World,Footwear,Export,Export(US$ Mil),62.35
Israel,2017,World,Stone and Glass,Export,Export(US$ Mil),15690.869
Israel,2017,World,Metals,Export,Export(US$ Mil),2090.415
Israel,2017,World,Mach and Elec,Export,Export(US$ Mil),12142.957
Israel,2017,World,Transportation,Export,Export(US$ Mil),3321.945
Israel,2017,World,Miscellaneous,Export,Export(US$ Mil),6093.443
Israel,2017,World,Raw materials,Export,Export(US$ Mil),4228.565
Israel,2017,World,Intermediate goods,Export,Export(US$ Mil),22929.844
Israel,2017,World,Consumer goods,Export,Export(US$ Mil),15203.122
Israel,2017,World,Capital goods,Export,Export(US$ Mil),16605.123
Israel,2017,World,Raw materials,Import,Import(US$ Mil),12073.588
Israel,2017,World,Intermediate goods,Import,Import(US$ Mil),14613.029
Israel,2017,World,Consumer goods,Import,Import(US$ Mil),21587.157
Israel,2017,World,Capital goods,Import,Import(US$ Mil),20065.409
Israel,2017,World,All Products,Export,Exports (in US$ Mil),61150.141
Israel,2017,World,All Products,Import,Imports (in US$ Mil),69115.976
Israel,2017,World,All Products,Tariff,Duty Free Imports (US$ Thousand),54710035
Israel,2017,...,...,Development,GDP (current US$ Mil),350850.537827281
Israel,2017,...,...,Tariff,No. Of Tariff Agreement,13
Israel,2017,...,...,Import,No. Of Import partners,166
Israel,2017,...,...,Import,No. Of Import products,4222
Israel,2017,...,...,Export,No. Of Export partners,188
Israel,2017,...,...,Export,No. Of Export products,3041
Israel,2016,...,...,Others,Population,8546000
Israel,2018,...,...,Others,Ease of Doing Business Rank,54
Israel,2018,...,...,Others,Trading Across Borders Rank,60
Israel,2016,...,...,Others,LPI Rank,28
Israel,2016,...,...,Others,LPI Score,3.66033
Israel,2013,...,...,Others,No Of NTM Affected Products (HS 6 Digit),10
Israel,2013,...,...,Others,No Of NTM Measures,3
Israel,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0290789
Israel,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0290789
Israel,2013,...,...,Others,Temporary Trade Barriers in Effect - Simple Average,0.1937233657
Israel,2013,...,...,Others,Temporary Trade Barriers in Effect - Weighted Average,0.0977447107
Israel,2017,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,27.8851
Israel,2017,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,8.4515
Israel,2017,"Hong Kong, China",All Products,Export,Partner share(%)-Top 5 Export Partner,6.896
Israel,2017,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,6.8046
Israel,2017,China,All Products,Export,Partner share(%)-Top 5 Export Partner,5.4128
Israel,2017,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,11.7007
Israel,2017,China,All Products,Import,Partner share(%)-Top 5 Import Partner,9.4441
Israel,2017,Switzerland,All Products,Import,Partner share(%)-Top 5 Import Partner,7.9632
Israel,2017,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,6.8308
Israel,2017,United Kingdom,All Products,Import,Partner share(%)-Top 5 Import Partner,6.2311
Israel,2017,World,Animal,Export,Export Product share(%),0.0647
Israel,2017,World,Vegetable,Export,Export Product share(%),2.408
Israel,2017,World,Food Products,Export,Export Product share(%),1.1972
Israel,2017,World,Minerals,Export,Export Product share(%),0.2404
Israel,2017,World,Fuels,Export,Export Product share(%),1.4373
Israel,2017,World,Chemicals,Export,Export Product share(%),23.3887
Israel,2017,World,Plastic or Rubber,Export,Export Product share(%),4.6623
Israel,2017,World,Hides and Skins,Export,Export Product share(%),0.0545
Israel,2017,World,Wood,Export,Export Product share(%),0.5398
Israel,2017,World,Textiles and Clothing,Export,Export Product share(%),1.5723
Israel,2017,World,Footwear,Export,Export Product share(%),0.102
Israel,2017,World,Stone and Glass,Export,Export Product share(%),25.6596
Israel,2017,World,Metals,Export,Export Product share(%),3.4185
Israel,2017,World,Mach and Elec,Export,Export Product share(%),19.8576
Israel,2017,World,Transportation,Export,Export Product share(%),5.4324
Israel,2017,World,Miscellaneous,Export,Export Product share(%),9.9647
Israel,2017,World,Raw materials,Export,Export Product share(%),6.9151
Israel,2017,World,Intermediate goods,Export,Export Product share(%),37.4976
Israel,2017,World,Consumer goods,Export,Export Product share(%),24.862
Israel,2017,World,Capital goods,Export,Export Product share(%),27.1547
Israel,2017,World,Raw materials,Import,Import Product share(%),17.4686
Israel,2017,World,Intermediate goods,Import,Import Product share(%),21.1428
Israel,2017,World,Consumer goods,Import,Import Product share(%),31.2332
Israel,2017,World,Capital goods,Import,Import Product share(%),29.0315
Israel,2017,World,Raw materials,Tariff,Weighted Average (%),2.97670632794217
Israel,2017,World,Intermediate goods,Tariff,Weighted Average (%),0.620212346947777
Israel,2017,World,Consumer goods,Tariff,Weighted Average (%),2.39689988072701
Israel,2017,World,Capital goods,Tariff,Weighted Average (%),0.613805317469417
Israel,2017,World,All Products,Trade Indicator,World Growth (%),1.50064825967466
Israel,2017,World,All Products,Trade Indicator,Country Growth (%),-2.80327419665509
Israel,2017,World,All Products,Tariff,Simple Average (%),1.89430255938241
Israel,2017,World,All Products,Tariff,Weighted Average (%),1.85042054279617
Israel,2017,World,All Products,Tariff,Maximum Rate (%),268.775299072266
Israel,2017,World,All Products,Tariff,Duty Free Tariff Lines Share (%),81.1972820104012
Israel,2017,...,...,Trade Indicator,Index of export market penetration,8.73688018189752
Israel,2017,...,...,Trade Indicator,HH Market concentration index,0.170088437998507
Israel,2017,...,...,Development,Trade in services (% of GDP),20.9074212780917
Israel,2017,...,...,Development,"GNI per capita, Atlas method (current US$)",37270
