Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Italy,2017,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,62814.0698868781
Italy,2017,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,51815.3963857047
Italy,2017,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,45607.9853394897
Italy,2017,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,26093.7747987207
Italy,2017,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,25869.6656190586
Italy,2017,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,73734.5293396463
Italy,2017,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,39636.9290308455
Italy,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,32020.3747974843
Italy,2017,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,25398.8685666412
Italy,2017,Spain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,23892.6814915821
Italy,2017,World,Animal,Export,Export(US$ Mil),6564.91571879622
Italy,2017,World,Vegetable,Export,Export(US$ Mil),12925.7086371248
Italy,2017,World,Food Products,Export,Export(US$ Mil),26784.9634332433
Italy,2017,World,Minerals,Export,Export(US$ Mil),1304.5306158883
Italy,2017,World,Fuels,Export,Export(US$ Mil),16262.8393810242
Italy,2017,World,Chemicals,Export,Export(US$ Mil),51967.9251740754
Italy,2017,World,Plastic or Rubber,Export,Export(US$ Mil),25429.9828362099
Italy,2017,World,Hides and Skins,Export,Export(US$ Mil),14138.8663972744
Italy,2017,World,Wood,Export,Export(US$ Mil),11197.7567787799
Italy,2017,World,Textiles and Clothing,Export,Export(US$ Mil),33878.2610265497
Italy,2017,World,Footwear,Export,Export(US$ Mil),11874.2194889125
Italy,2017,World,Stone and Glass,Export,Export(US$ Mil),23215.3749612616
Italy,2017,World,Metals,Export,Export(US$ Mil),47300.2131128507
Italy,2017,World,Mach and Elec,Export,Export(US$ Mil),128815.338059574
Italy,2017,World,Transportation,Export,Export(US$ Mil),54060.7590604843
Italy,2017,World,Miscellaneous,Export,Export(US$ Mil),37332.2737145394
Italy,2017,World,Raw materials,Export,Export(US$ Mil),14348.8440105331
Italy,2017,World,Intermediate goods,Export,Export(US$ Mil),104432.102950225
Italy,2017,World,Consumer goods,Export,Export(US$ Mil),218458.806778829
Italy,2017,World,Capital goods,Export,Export(US$ Mil),158584.626468436
Italy,2017,World,Raw materials,Import,Import(US$ Mil),60984.5149382697
Italy,2017,World,Intermediate goods,Import,Import(US$ Mil),123679.243934571
Italy,2017,World,Consumer goods,Import,Import(US$ Mil),164502.23043085
Italy,2017,World,Capital goods,Import,Import(US$ Mil),95861.3656804306
Italy,2017,World,All Products,Export,Exports (in US$ Mil),503053.928396589
Italy,2017,World,All Products,Import,Imports (in US$ Mil),451415.534842309
Italy,2017,...,...,Development,Trade Balance (current US$ Mil),59562.039221097
Italy,2017,...,...,Development,GDP (current US$ Mil),1934797.93741133
Italy,2017,...,...,Import,No. Of Import partners,208
Italy,2017,...,...,Import,No. Of Import products,4537
Italy,2017,...,...,Export,No. Of Export partners,228
Italy,2017,...,...,Export,No. Of Export products,4443
Italy,2016,...,...,Others,Population,60627498
Italy,2018,...,...,Others,Ease of Doing Business Rank,46
Italy,2018,...,...,Others,Trading Across Borders Rank,1
Italy,2016,...,...,Others,LPI Rank,21
Italy,2016,...,...,Others,LPI Score,3.755414
Italy,,...,...,Others,Services Trade Restrictions Index - Over All,26.9
Italy,2017,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,12.4865
Italy,2017,France,All Products,Export,Partner share(%)-Top 5 Export Partner,10.3002
Italy,2017,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,9.0662
Italy,2017,Spain,All Products,Export,Partner share(%)-Top 5 Export Partner,5.1871
Italy,2017,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,5.1425
Italy,2017,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,16.3341
Italy,2017,France,All Products,Import,Partner share(%)-Top 5 Import Partner,8.7806
Italy,2017,China,All Products,Import,Partner share(%)-Top 5 Import Partner,7.0933
Italy,2017,Netherlands,All Products,Import,Partner share(%)-Top 5 Import Partner,5.6265
Italy,2017,Spain,All Products,Import,Partner share(%)-Top 5 Import Partner,5.2928
Italy,2017,World,Animal,Export,Export Product share(%),1.305
Italy,2017,World,Vegetable,Export,Export Product share(%),2.5694
Italy,2017,World,Food Products,Export,Export Product share(%),5.3245
Italy,2017,World,Minerals,Export,Export Product share(%),0.2593
Italy,2017,World,Fuels,Export,Export Product share(%),3.2328
Italy,2017,World,Chemicals,Export,Export Product share(%),10.3305
Italy,2017,World,Plastic or Rubber,Export,Export Product share(%),5.0551
Italy,2017,World,Hides and Skins,Export,Export Product share(%),2.8106
Italy,2017,World,Wood,Export,Export Product share(%),2.226
Italy,2017,World,Textiles and Clothing,Export,Export Product share(%),6.7345
Italy,2017,World,Footwear,Export,Export Product share(%),2.3604
Italy,2017,World,Stone and Glass,Export,Export Product share(%),4.6149
Italy,2017,World,Metals,Export,Export Product share(%),9.4026
Italy,2017,World,Mach and Elec,Export,Export Product share(%),25.6067
Italy,2017,World,Transportation,Export,Export Product share(%),10.7465
Italy,2017,World,Miscellaneous,Export,Export Product share(%),7.4211
Italy,2017,World,Raw materials,Export,Export Product share(%),2.8523
Italy,2017,World,Intermediate goods,Export,Export Product share(%),20.7596
Italy,2017,World,Consumer goods,Export,Export Product share(%),43.4265
Italy,2017,World,Capital goods,Export,Export Product share(%),31.5244
Italy,2017,World,Raw materials,Import,Import Product share(%),13.5096
Italy,2017,World,Intermediate goods,Import,Import Product share(%),27.3981
Italy,2017,World,Consumer goods,Import,Import Product share(%),36.4414
Italy,2017,World,Capital goods,Import,Import Product share(%),21.2357
Italy,2017,World,All Products,Trade Indicator,World Growth (%),1.50064825967466
Italy,2017,World,All Products,Trade Indicator,Country Growth (%),2.63538198627868
Italy,2017,...,...,Trade Indicator,Index of export market penetration,32.6714707730008
Italy,2017,...,...,Trade Indicator,HH Market concentration index,0.0465756677059488
Italy,2017,...,...,Development,Trade Balance (% of GDP),3.0784630306557
Italy,2017,...,...,Development,Trade in services (% of GDP),11.7916673212247
Italy,2017,...,...,Development,Trade (% of GDP),59.5145988953453
Italy,2017,...,...,Development,"GNI per capita, Atlas method (current US$)",31020
