Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Jamaica,2017,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,589.247961369999
Jamaica,2017,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,157.1178122
Jamaica,2017,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,125.61000152
Jamaica,2017,Iceland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,50.7971035
Jamaica,2017,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,49.06845344
Jamaica,2017,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2541.77724786
Jamaica,2017,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,365.94576916
Jamaica,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,364.57357427
Jamaica,2017,Trinidad and Tobago,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,298.94205815
Jamaica,2017,Colombia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,282.59455307
Jamaica,2017,World,Animal,Export,Export(US$ Mil),27.05052271
Jamaica,2017,World,Vegetable,Export,Export(US$ Mil),87.552541
Jamaica,2017,World,Food Products,Export,Export(US$ Mil),228.20005518
Jamaica,2017,World,Minerals,Export,Export(US$ Mil),102.57673746
Jamaica,2017,World,Fuels,Export,Export(US$ Mil),233.94122729
Jamaica,2017,World,Chemicals,Export,Export(US$ Mil),532.15306688
Jamaica,2017,World,Plastic or Rubber,Export,Export(US$ Mil),11.6124256
Jamaica,2017,World,Hides and Skins,Export,Export(US$ Mil),0.05326706
Jamaica,2017,World,Wood,Export,Export(US$ Mil),7.02668531
Jamaica,2017,World,Textiles and Clothing,Export,Export(US$ Mil),3.0197082
Jamaica,2017,World,Footwear,Export,Export(US$ Mil),0.09023389
Jamaica,2017,World,Stone and Glass,Export,Export(US$ Mil),12.30237332
Jamaica,2017,World,Metals,Export,Export(US$ Mil),18.43143678
Jamaica,2017,World,Mach and Elec,Export,Export(US$ Mil),27.2649222178925
Jamaica,2017,World,Transportation,Export,Export(US$ Mil),6.39184816
Jamaica,2017,World,Miscellaneous,Export,Export(US$ Mil),12.0513924379428
Jamaica,2017,World,Raw materials,Export,Export(US$ Mil),202.61437116
Jamaica,2017,World,Intermediate goods,Export,Export(US$ Mil),546.224458490001
Jamaica,2017,World,Consumer goods,Export,Export(US$ Mil),509.069464017943
Jamaica,2017,World,Capital goods,Export,Export(US$ Mil),33.6959072278925
Jamaica,2017,World,Raw materials,Import,Import(US$ Mil),647.09013234
Jamaica,2017,World,Intermediate goods,Import,Import(US$ Mil),821.754154809946
Jamaica,2017,World,Consumer goods,Import,Import(US$ Mil),3313.55305862
Jamaica,2017,World,Capital goods,Import,Import(US$ Mil),980.92626964
Jamaica,2017,World,All Products,Export,Exports (in US$ Mil),1309.71844349583
Jamaica,2017,World,All Products,Import,Imports (in US$ Mil),5818.09818143994
Jamaica,2016,World,All Products,Tariff,Duty Free Imports (US$ Thousand),1485935.249
Jamaica,2017,...,...,Development,Trade Balance (current US$ Mil),-2133.92801495793
Jamaica,2017,...,...,Development,GDP (current US$ Mil),14781.1078217513
Jamaica,2016,...,...,Tariff,No. Of Tariff Agreement,1
Jamaica,2017,...,...,Import,No. Of Import partners,114
Jamaica,2017,...,...,Import,No. Of Import products,3764
Jamaica,2017,...,...,Export,No. Of Export partners,118
Jamaica,2017,...,...,Export,No. Of Export products,1655
Jamaica,2016,...,...,Others,Population,2881355
Jamaica,2018,...,...,Others,Ease of Doing Business Rank,70
Jamaica,2018,...,...,Others,Trading Across Borders Rank,130
Jamaica,2016,...,...,Others,LPI Rank,119
Jamaica,2016,...,...,Others,LPI Score,2.400214
Jamaica,2009,...,...,Others,No Of NTM Affected Products (HS 6 Digit),1
Jamaica,2009,...,...,Others,No Of NTM Measures,1
Jamaica,2013,...,...,Others,Temporary Trade Barriers in Effect - Simple Average,0
Jamaica,2013,...,...,Others,Temporary Trade Barriers in Effect - Weighted Average,0
Jamaica,2017,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,44.9904
Jamaica,2017,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,11.9963
Jamaica,2017,Canada,All Products,Export,Partner share(%)-Top 5 Export Partner,9.5906
Jamaica,2017,Iceland,All Products,Export,Partner share(%)-Top 5 Export Partner,3.8785
Jamaica,2017,Russian Federation,All Products,Export,Partner share(%)-Top 5 Export Partner,3.7465
Jamaica,2017,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,43.6874
Jamaica,2017,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,6.2898
Jamaica,2017,China,All Products,Import,Partner share(%)-Top 5 Import Partner,6.2662
Jamaica,2017,Trinidad and Tobago,All Products,Import,Partner share(%)-Top 5 Import Partner,5.1381
Jamaica,2017,Colombia,All Products,Import,Partner share(%)-Top 5 Import Partner,4.8572
Jamaica,2017,World,Animal,Export,Export Product share(%),2.0654
Jamaica,2017,World,Vegetable,Export,Export Product share(%),6.6848
Jamaica,2017,World,Food Products,Export,Export Product share(%),17.4236
Jamaica,2017,World,Minerals,Export,Export Product share(%),7.832
Jamaica,2017,World,Fuels,Export,Export Product share(%),17.8619
Jamaica,2017,World,Chemicals,Export,Export Product share(%),40.6311
Jamaica,2017,World,Plastic or Rubber,Export,Export Product share(%),0.8866
Jamaica,2017,World,Hides and Skins,Export,Export Product share(%),0.0041
Jamaica,2017,World,Wood,Export,Export Product share(%),0.5365
Jamaica,2017,World,Textiles and Clothing,Export,Export Product share(%),0.2306
Jamaica,2017,World,Footwear,Export,Export Product share(%),0.0069
Jamaica,2017,World,Stone and Glass,Export,Export Product share(%),0.9393
Jamaica,2017,World,Metals,Export,Export Product share(%),1.4073
Jamaica,2017,World,Mach and Elec,Export,Export Product share(%),2.0817
Jamaica,2017,World,Transportation,Export,Export Product share(%),0.488
Jamaica,2017,World,Miscellaneous,Export,Export Product share(%),0.9202
Jamaica,2017,World,Raw materials,Export,Export Product share(%),15.4701
Jamaica,2017,World,Intermediate goods,Export,Export Product share(%),41.7055
Jamaica,2017,World,Consumer goods,Export,Export Product share(%),38.8686
Jamaica,2017,World,Capital goods,Export,Export Product share(%),2.5728
Jamaica,2017,World,Raw materials,Import,Import Product share(%),11.122
Jamaica,2017,World,Intermediate goods,Import,Import Product share(%),14.1241
Jamaica,2017,World,Consumer goods,Import,Import Product share(%),56.9525
Jamaica,2017,World,Capital goods,Import,Import Product share(%),16.8599
Jamaica,2016,World,Raw materials,Tariff,Weighted Average (%),5.48072354585128
Jamaica,2016,World,Intermediate goods,Tariff,Weighted Average (%),6.16790953711197
Jamaica,2016,World,Consumer goods,Tariff,Weighted Average (%),15.0722598408658
Jamaica,2016,World,Capital goods,Tariff,Weighted Average (%),5.53497875166992
Jamaica,2017,World,All Products,Trade Indicator,World Growth (%),1.50064825967466
Jamaica,2017,World,All Products,Trade Indicator,Country Growth (%),3.66085098976248
Jamaica,2016,World,All Products,Tariff,Simple Average (%),10.2786420013777
Jamaica,2016,World,All Products,Tariff,Weighted Average (%),10.838830805785
Jamaica,2016,World,All Products,Tariff,Maximum Rate (%),100
Jamaica,2016,World,All Products,Tariff,Duty Free Tariff Lines Share (%),33.2154374284823
Jamaica,2017,...,...,Trade Indicator,Index of export market penetration,1.9379026951869
Jamaica,2017,...,...,Trade Indicator,HH Market concentration index,0.141970867910763
Jamaica,2017,...,...,Development,Trade Balance (% of GDP),-14.4368611655598
Jamaica,2017,...,...,Development,Trade in services (% of GDP),39.8207581197152
Jamaica,2017,...,...,Development,Trade (% of GDP),82.5701008220616
Jamaica,2017,...,...,Development,"GNI per capita, Atlas method (current US$)",4760
