Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Jordan,2017,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1603.24154372291
Jordan,2017,Free Zones,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,933.077124115169
Jordan,2017,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,845.545267212357
Jordan,2017,Iraq,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,541.980861703281
Jordan,2017,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,519.00995406249
Jordan,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2764.40716080707
Jordan,2017,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2754.87282359359
Jordan,2017,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2000.35071951018
Jordan,2017,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,993.754988970194
Jordan,2017,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,900.369300345119
Jordan,2017,World,Animal,Export,Export(US$ Mil),241.995005748518
Jordan,2017,World,Vegetable,Export,Export(US$ Mil),616.206217276518
Jordan,2017,World,Food Products,Export,Export(US$ Mil),367.627434948224
Jordan,2017,World,Minerals,Export,Export(US$ Mil),446.857719192214
Jordan,2017,World,Fuels,Export,Export(US$ Mil),10.390444435514
Jordan,2017,World,Chemicals,Export,Export(US$ Mil),2001.0634469838
Jordan,2017,World,Plastic or Rubber,Export,Export(US$ Mil),275.440773335508
Jordan,2017,World,Hides and Skins,Export,Export(US$ Mil),8.189935522703
Jordan,2017,World,Wood,Export,Export(US$ Mil),190.529841419709
Jordan,2017,World,Textiles and Clothing,Export,Export(US$ Mil),1638.72849624559
Jordan,2017,World,Footwear,Export,Export(US$ Mil),3.486926084367
Jordan,2017,World,Stone and Glass,Export,Export(US$ Mil),271.501776733671
Jordan,2017,World,Metals,Export,Export(US$ Mil),318.458407721322
Jordan,2017,World,Mach and Elec,Export,Export(US$ Mil),583.318681651827
Jordan,2017,World,Transportation,Export,Export(US$ Mil),357.758418791224
Jordan,2017,World,Miscellaneous,Export,Export(US$ Mil),137.684924688476
Jordan,2017,World,Raw materials,Export,Export(US$ Mil),1264.19240405781
Jordan,2017,World,Intermediate goods,Export,Export(US$ Mil),1885.58472695862
Jordan,2017,World,Consumer goods,Export,Export(US$ Mil),3620.24289405366
Jordan,2017,World,Capital goods,Export,Export(US$ Mil),681.221071225408
Jordan,2017,World,Raw materials,Import,Import(US$ Mil),2885.87880180907
Jordan,2017,World,Intermediate goods,Import,Import(US$ Mil),4651.86201914434
Jordan,2017,World,Consumer goods,Import,Import(US$ Mil),8635.2046393081
Jordan,2017,World,Capital goods,Import,Import(US$ Mil),3875.82203364077
Jordan,2017,World,All Products,Export,Exports (in US$ Mil),7469.23845077918
Jordan,2017,World,All Products,Import,Imports (in US$ Mil),20407.3293396228
Jordan,2017,World,All Products,Tariff,Duty Free Imports (US$ Thousand),13924601.2799403
Jordan,2017,...,...,Development,Trade Balance (current US$ Mil),-8643.9988732395
Jordan,2017,...,...,Development,GDP (current US$ Mil),40068.3084507042
Jordan,2017,...,...,Tariff,No. Of Tariff Agreement,23
Jordan,2017,...,...,Import,No. Of Import partners,147
Jordan,2017,...,...,Import,No. Of Import products,3764
Jordan,2017,...,...,Export,No. Of Export partners,145
Jordan,2017,...,...,Export,No. Of Export products,2190
Jordan,2016,...,...,Others,Population,9455802
Jordan,2018,...,...,Others,Ease of Doing Business Rank,103
Jordan,2018,...,...,Others,Trading Across Borders Rank,53
Jordan,2016,...,...,Others,LPI Rank,67
Jordan,2016,...,...,Others,LPI Score,2.956611
Jordan,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.2234741
Jordan,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.2564379
Jordan,,...,...,Others,Services Trade Restrictions Index - Over All,42.3
Jordan,2017,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,21.4646
Jordan,2017,Free Zones,All Products,Export,Partner share(%)-Top 5 Export Partner,12.4923
Jordan,2017,Saudi Arabia,All Products,Export,Partner share(%)-Top 5 Export Partner,11.3204
Jordan,2017,Iraq,All Products,Export,Partner share(%)-Top 5 Export Partner,7.2562
Jordan,2017,India,All Products,Export,Partner share(%)-Top 5 Export Partner,6.9486
Jordan,2017,China,All Products,Import,Partner share(%)-Top 5 Import Partner,13.5461
Jordan,2017,Saudi Arabia,All Products,Import,Partner share(%)-Top 5 Import Partner,13.4994
Jordan,2017,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,9.8021
Jordan,2017,United Arab Emirates,All Products,Import,Partner share(%)-Top 5 Import Partner,4.8696
Jordan,2017,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,4.412
Jordan,2017,World,Animal,Export,Export Product share(%),3.2399
Jordan,2017,World,Vegetable,Export,Export Product share(%),8.2499
Jordan,2017,World,Food Products,Export,Export Product share(%),4.9219
Jordan,2017,World,Minerals,Export,Export Product share(%),5.9826
Jordan,2017,World,Fuels,Export,Export Product share(%),0.1391
Jordan,2017,World,Chemicals,Export,Export Product share(%),26.7907
Jordan,2017,World,Plastic or Rubber,Export,Export Product share(%),3.6877
Jordan,2017,World,Hides and Skins,Export,Export Product share(%),0.1096
Jordan,2017,World,Wood,Export,Export Product share(%),2.5509
Jordan,2017,World,Textiles and Clothing,Export,Export Product share(%),21.9397
Jordan,2017,World,Footwear,Export,Export Product share(%),0.0467
Jordan,2017,World,Stone and Glass,Export,Export Product share(%),3.6349
Jordan,2017,World,Metals,Export,Export Product share(%),4.2636
Jordan,2017,World,Mach and Elec,Export,Export Product share(%),7.8096
Jordan,2017,World,Transportation,Export,Export Product share(%),4.7898
Jordan,2017,World,Miscellaneous,Export,Export Product share(%),1.8434
Jordan,2017,World,Raw materials,Export,Export Product share(%),16.9253
Jordan,2017,World,Intermediate goods,Export,Export Product share(%),25.2447
Jordan,2017,World,Consumer goods,Export,Export Product share(%),48.4687
Jordan,2017,World,Capital goods,Export,Export Product share(%),9.1204
Jordan,2017,World,Raw materials,Import,Import Product share(%),14.1414
Jordan,2017,World,Intermediate goods,Import,Import Product share(%),22.7951
Jordan,2017,World,Consumer goods,Import,Import Product share(%),42.3142
Jordan,2017,World,Capital goods,Import,Import Product share(%),18.9923
Jordan,2017,World,Raw materials,Tariff,Weighted Average (%),3.72192609704149
Jordan,2017,World,Intermediate goods,Tariff,Weighted Average (%),1.32899030484943
Jordan,2017,World,Consumer goods,Tariff,Weighted Average (%),7.25113157647047
Jordan,2017,World,Capital goods,Tariff,Weighted Average (%),2.66284083173444
Jordan,2017,World,All Products,Trade Indicator,World Growth (%),1.50064825967466
Jordan,2017,World,All Products,Trade Indicator,Country Growth (%),-9.51204168270999
Jordan,2017,World,All Products,Tariff,Simple Average (%),4.83873634942198
Jordan,2017,World,All Products,Tariff,Weighted Average (%),4.40647975209849
Jordan,2017,World,All Products,Tariff,Maximum Rate (%),654.070617675781
Jordan,2017,World,All Products,Tariff,Duty Free Tariff Lines Share (%),81.5397624912681
Jordan,2017,...,...,Trade Indicator,Index of export market penetration,2.96317166911051
Jordan,2017,...,...,Trade Indicator,HH Market concentration index,0.145872693023085
Jordan,2017,...,...,Development,Trade Balance (% of GDP),-21.5731564607328
Jordan,2017,...,...,Development,Trade in services (% of GDP),28.7547683974469
Jordan,2017,...,...,Development,Trade (% of GDP),92.9390362563593
Jordan,2017,...,...,Development,"GNI per capita, Atlas method (current US$)",3980
