Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Kazakhstan,2017,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8669.34423434999
Kazakhstan,2017,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5777.6840277
Kazakhstan,2017,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4748.2062041
Kazakhstan,2017,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4515.16452660001
Kazakhstan,2017,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3100.68849955
Kazakhstan,2017,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,11472.92362197
Kazakhstan,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4692.24242389
Kazakhstan,2017,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1484.11629002
Kazakhstan,2017,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1253.45112105
Kazakhstan,2017,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,945.265959229999
Kazakhstan,2017,World,Animal,Export,Export(US$ Mil),125.56478745
Kazakhstan,2017,World,Vegetable,Export,Export(US$ Mil),1868.41398115
Kazakhstan,2017,World,Food Products,Export,Export(US$ Mil),385.36225198
Kazakhstan,2017,World,Minerals,Export,Export(US$ Mil),2467.93965116
Kazakhstan,2017,World,Fuels,Export,Export(US$ Mil),30678.99956653
Kazakhstan,2017,World,Chemicals,Export,Export(US$ Mil),2375.46489504
Kazakhstan,2017,World,Plastic or Rubber,Export,Export(US$ Mil),101.63060051
Kazakhstan,2017,World,Hides and Skins,Export,Export(US$ Mil),18.95903059
Kazakhstan,2017,World,Wood,Export,Export(US$ Mil),65.16466014
Kazakhstan,2017,World,Textiles and Clothing,Export,Export(US$ Mil),209.66462777
Kazakhstan,2017,World,Footwear,Export,Export(US$ Mil),8.63358686
Kazakhstan,2017,World,Stone and Glass,Export,Export(US$ Mil),621.16896074
