Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Cambodia,2016,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2147.050442
Cambodia,2016,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,953.227889
Cambodia,2016,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,903.841649
Cambodia,2016,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,827.187921
Cambodia,2016,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,654.750048
Cambodia,2016,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4550.948205
Cambodia,2016,Thailand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1910.042317
Cambodia,2016,Vietnam,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1415.992835
Cambodia,2016,"Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,701.50851
Cambodia,2016,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,564.698654
Cambodia,2016,World,Animal,Export,Export(US$ Mil),4.460734
Cambodia,2016,World,Vegetable,Export,Export(US$ Mil),362.932435
Cambodia,2016,World,Food Products,Export,Export(US$ Mil),106.721718
Cambodia,2016,World,Minerals,Export,Export(US$ Mil),0.737964
Cambodia,2016,World,Fuels,Export,Export(US$ Mil),0.776779
Cambodia,2016,World,Chemicals,Export,Export(US$ Mil),119.542793
Cambodia,2016,World,Plastic or Rubber,Export,Export(US$ Mil),288.806201
Cambodia,2016,World,Hides and Skins,Export,Export(US$ Mil),329.585531
Cambodia,2016,World,Wood,Export,Export(US$ Mil),54.024188
Cambodia,2016,World,Textiles and Clothing,Export,Export(US$ Mil),6799.724835
Cambodia,2016,World,Footwear,Export,Export(US$ Mil),825.155983
Cambodia,2016,World,Stone and Glass,Export,Export(US$ Mil),210.172298
Cambodia,2016,World,Metals,Export,Export(US$ Mil),47.673089
Cambodia,2016,World,Mach and Elec,Export,Export(US$ Mil),480.274286
Cambodia,2016,World,Transportation,Export,Export(US$ Mil),354.833617
Cambodia,2016,World,Miscellaneous,Export,Export(US$ Mil),83.909125
Cambodia,2016,World,Raw materials,Export,Export(US$ Mil),239.240552
Cambodia,2016,World,Intermediate goods,Export,Export(US$ Mil),563.846941000001
Cambodia,2016,World,Consumer goods,Export,Export(US$ Mil),8927.745139
Cambodia,2016,World,Capital goods,Export,Export(US$ Mil),334.827876
Cambodia,2016,World,Raw materials,Import,Import(US$ Mil),484.37107
Cambodia,2016,World,Intermediate goods,Import,Import(US$ Mil),6173.994452
Cambodia,2016,World,Consumer goods,Import,Import(US$ Mil),3766.127343
Cambodia,2016,World,Capital goods,Import,Import(US$ Mil),1943.31252
Cambodia,2016,World,All Products,Export,Exports (in US$ Mil),10069.331577
Cambodia,2016,World,All Products,Import,Imports (in US$ Mil),12371.008437
Cambodia,2016,World,All Products,Tariff,Duty Free Imports (US$ Thousand),1671548.909
Cambodia,2017,...,...,Development,Trade Balance (current US$ Mil),-759.315839213202
Cambodia,2017,...,...,Development,GDP (current US$ Mil),22158.2095026391
Cambodia,2016,...,...,Tariff,No. Of Tariff Agreement,1
Cambodia,2016,...,...,Import,No. Of Import partners,137
Cambodia,2016,...,...,Import,No. Of Import products,3323
Cambodia,2016,...,...,Export,No. Of Export partners,149
Cambodia,2016,...,...,Export,No. Of Export products,1215
Cambodia,2016,...,...,Others,Population,15762370
Cambodia,2018,...,...,Others,Ease of Doing Business Rank,135
Cambodia,2018,...,...,Others,Trading Across Borders Rank,108
Cambodia,2017,...,...,Others,CPIA Trade Ratings,4.5
Cambodia,2016,...,...,Others,LPI Rank,73
Cambodia,2016,...,...,Others,LPI Score,2.80059
Cambodia,2015,...,...,Others,No Of NTM Affected Products (HS 6 Digit),5205
Cambodia,2015,...,...,Others,No Of NTM Measures,49
Cambodia,,...,...,Others,Services Trade Restrictions Index - Over All,23.7
Cambodia,2016,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,21.3227
Cambodia,2016,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,9.4666
Cambodia,2016,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,8.9762
Cambodia,2016,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,8.2149
Cambodia,2016,Canada,All Products,Export,Partner share(%)-Top 5 Export Partner,6.5024
Cambodia,2016,China,All Products,Import,Partner share(%)-Top 5 Import Partner,36.7872
Cambodia,2016,Thailand,All Products,Import,Partner share(%)-Top 5 Import Partner,15.4397
