Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Kiribati,2016,Malaysia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3.488251
Kiribati,2016,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2.226586
Kiribati,2016,Fiji,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1.562849
Kiribati,2016,New Zealand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1.513834
Kiribati,2016,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.447327
Kiribati,2016,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,25.623595
Kiribati,2016,Fiji,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,25.562156
Kiribati,2016,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,11.239523
Kiribati,2016,New Zealand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,9.614738
Kiribati,2016,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8.88519
Kiribati,2016,World,Animal,Export,Export(US$ Mil),2.702412
Kiribati,2016,World,Vegetable,Export,Export(US$ Mil),4.259575
Kiribati,2016,World,Food Products,Export,Export(US$ Mil),0.081343
Kiribati,2016,World,Minerals,Export,Export(US$ Mil),0.004408
Kiribati,2016,World,Fuels,Export,Export(US$ Mil),1.294471
Kiribati,2016,World,Chemicals,Export,Export(US$ Mil),0.02007
Kiribati,2016,World,Plastic or Rubber,Export,Export(US$ Mil),0.044311
Kiribati,2016,World,Hides and Skins,Export,Export(US$ Mil),0.0023
Kiribati,2016,World,Wood,Export,Export(US$ Mil),0.04087
Kiribati,2016,World,Textiles and Clothing,Export,Export(US$ Mil),0.002872
Kiribati,2016,World,Footwear,Export,Export(US$ Mil),0.00031
Kiribati,2016,World,Stone and Glass,Export,Export(US$ Mil),4.4E-05
Kiribati,2016,World,Metals,Export,Export(US$ Mil),0.350483
Kiribati,2016,World,Mach and Elec,Export,Export(US$ Mil),1.221301
Kiribati,2016,World,Transportation,Export,Export(US$ Mil),0.297443
Kiribati,2016,World,Miscellaneous,Export,Export(US$ Mil),0.190707
