Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Kuwait,2017,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,49588.8868070486
Kuwait,2017,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,765.906298474474
Kuwait,2017,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,668.4906559294
Kuwait,2017,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,590.41898574184
Kuwait,2017,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,499.669672017968
Kuwait,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5499.61088629218
Kuwait,2017,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3443.29684595772
Kuwait,2017,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2929.74196224371
Kuwait,2017,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1992.55335096931
Kuwait,2017,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1836.1763756393
Kuwait,2017,World,Animal,Export,Export(US$ Mil),134.111559589031
Kuwait,2017,World,Vegetable,Export,Export(US$ Mil),156.970271068709
Kuwait,2017,World,Food Products,Export,Export(US$ Mil),245.189251944959
Kuwait,2017,World,Minerals,Export,Export(US$ Mil),4.95420202982232
Kuwait,2017,World,Fuels,Export,Export(US$ Mil),49605.2920972467
Kuwait,2017,World,Chemicals,Export,Export(US$ Mil),1696.27416490136
Kuwait,2017,World,Plastic or Rubber,Export,Export(US$ Mil),670.025954607758
Kuwait,2017,World,Hides and Skins,Export,Export(US$ Mil),5.79454128704836
Kuwait,2017,World,Wood,Export,Export(US$ Mil),94.3049382448738
Kuwait,2017,World,Textiles and Clothing,Export,Export(US$ Mil),77.9189247124503
Kuwait,2017,World,Footwear,Export,Export(US$ Mil),15.3488240265615
Kuwait,2017,World,Stone and Glass,Export,Export(US$ Mil),174.766185996537
Kuwait,2017,World,Metals,Export,Export(US$ Mil),252.128492040356
Kuwait,2017,World,Mach and Elec,Export,Export(US$ Mil),379.597518473148
Kuwait,2017,World,Transportation,Export,Export(US$ Mil),889.065301280818
Kuwait,2017,World,Miscellaneous,Export,Export(US$ Mil),405.104940791048
Kuwait,2017,World,Raw materials,Export,Export(US$ Mil),38441.8343788744
Kuwait,2017,World,Intermediate goods,Export,Export(US$ Mil),2518.03601059098
Kuwait,2017,World,Consumer goods,Export,Export(US$ Mil),12936.7854789926
Kuwait,2017,World,Capital goods,Export,Export(US$ Mil),715.937176666584
Kuwait,2017,World,Raw materials,Import,Import(US$ Mil),2790.08741089065
Kuwait,2017,World,Intermediate goods,Import,Import(US$ Mil),5755.97059375923
Kuwait,2017,World,Consumer goods,Import,Import(US$ Mil),14554.2319026798
Kuwait,2017,World,Capital goods,Import,Import(US$ Mil),10444.1432910571
Kuwait,2017,World,All Products,Export,Exports (in US$ Mil),54806.8471682412
