Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
St. Lucia,2016,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,51.734675
St. Lucia,2016,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,14.845364
St. Lucia,2016,Trinidad and Tobago,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10.0987
St. Lucia,2016,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,9.000644
St. Lucia,2016,Barbados,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6.645253
St. Lucia,2016,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,313.669734
St. Lucia,2016,Trinidad and Tobago,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,85.076958
St. Lucia,2016,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,33.620556
St. Lucia,2016,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,27.998301
St. Lucia,2016,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,21.120608
St. Lucia,2016,World,Animal,Export,Export(US$ Mil),0.08134
St. Lucia,2016,World,Vegetable,Export,Export(US$ Mil),9.780937
St. Lucia,2016,World,Food Products,Export,Export(US$ Mil),36.566362
St. Lucia,2016,World,Minerals,Export,Export(US$ Mil),1.05126
St. Lucia,2016,World,Fuels,Export,Export(US$ Mil),2.68103
St. Lucia,2016,World,Chemicals,Export,Export(US$ Mil),5.801181
St. Lucia,2016,World,Plastic or Rubber,Export,Export(US$ Mil),1.256784
St. Lucia,2016,World,Hides and Skins,Export,Export(US$ Mil),0.443048
St. Lucia,2016,World,Wood,Export,Export(US$ Mil),6.924235
St. Lucia,2016,World,Textiles and Clothing,Export,Export(US$ Mil),4.296369
St. Lucia,2016,World,Footwear,Export,Export(US$ Mil),1.328499
St. Lucia,2016,World,Stone and Glass,Export,Export(US$ Mil),10.757473
St. Lucia,2016,World,Metals,Export,Export(US$ Mil),3.619208
St. Lucia,2016,World,Mach and Elec,Export,Export(US$ Mil),23.107242
St. Lucia,2016,World,Transportation,Export,Export(US$ Mil),2.266183
St. Lucia,2016,World,Miscellaneous,Export,Export(US$ Mil),9.845448
St. Lucia,2016,World,Raw materials,Export,Export(US$ Mil),13.489618
St. Lucia,2016,World,Intermediate goods,Export,Export(US$ Mil),9.392173
St. Lucia,2016,World,Consumer goods,Export,Export(US$ Mil),70.512337
St. Lucia,2016,World,Capital goods,Export,Export(US$ Mil),25.743113
St. Lucia,2016,World,Raw materials,Import,Import(US$ Mil),44.28976
St. Lucia,2016,World,Intermediate goods,Import,Import(US$ Mil),83.726636
