Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Sri Lanka,2017,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2920.20980920845
Sri Lanka,2017,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1043.18245364403
Sri Lanka,2017,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,789.586078406607
Sri Lanka,2017,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,547.124738424909
Sri Lanka,2017,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,531.646226075319
Sri Lanka,2017,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4494.06565552931
Sri Lanka,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4189.42661561279
Sri Lanka,2017,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1563.89111452747
Sri Lanka,2017,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1292.07715581167
Sri Lanka,2017,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1038.07816457705
Sri Lanka,2017,World,Animal,Export,Export(US$ Mil),251.666643004147
Sri Lanka,2017,World,Vegetable,Export,Export(US$ Mil),2286.07925576899
Sri Lanka,2017,World,Food Products,Export,Export(US$ Mil),488.41261227372
Sri Lanka,2017,World,Minerals,Export,Export(US$ Mil),34.3701612998465
Sri Lanka,2017,World,Fuels,Export,Export(US$ Mil),294.670912178942
Sri Lanka,2017,World,Chemicals,Export,Export(US$ Mil),199.188604436919
Sri Lanka,2017,World,Plastic or Rubber,Export,Export(US$ Mil),961.300684734397
Sri Lanka,2017,World,Hides and Skins,Export,Export(US$ Mil),23.0921750714696
Sri Lanka,2017,World,Wood,Export,Export(US$ Mil),192.971449139751
Sri Lanka,2017,World,Textiles and Clothing,Export,Export(US$ Mil),5208.80119345248
Sri Lanka,2017,World,Footwear,Export,Export(US$ Mil),137.283315815796
Sri Lanka,2017,World,Stone and Glass,Export,Export(US$ Mil),343.057199589119
Sri Lanka,2017,World,Metals,Export,Export(US$ Mil),130.282686826868
Sri Lanka,2017,World,Mach and Elec,Export,Export(US$ Mil),492.615727962355
Sri Lanka,2017,World,Transportation,Export,Export(US$ Mil),411.586278018713
Sri Lanka,2017,World,Miscellaneous,Export,Export(US$ Mil),285.657886514854
Sri Lanka,2017,World,Raw materials,Export,Export(US$ Mil),674.825015339173
Sri Lanka,2017,World,Intermediate goods,Export,Export(US$ Mil),1176.2411636735
Sri Lanka,2017,World,Consumer goods,Export,Export(US$ Mil),9073.50692005533
Sri Lanka,2017,World,Capital goods,Export,Export(US$ Mil),778.446546237524
Sri Lanka,2017,World,Raw materials,Import,Import(US$ Mil),1915.867433688
Sri Lanka,2017,World,Intermediate goods,Import,Import(US$ Mil),8141.16641729334
Sri Lanka,2017,World,Consumer goods,Import,Import(US$ Mil),6576.8600706062
Sri Lanka,2017,World,Capital goods,Import,Import(US$ Mil),4484.64182161787
Sri Lanka,2017,World,All Products,Export,Exports (in US$ Mil),11741.0367860884
Sri Lanka,2017,World,All Products,Import,Imports (in US$ Mil),21316.1999502708
Sri Lanka,2017,World,All Products,Tariff,Duty Free Imports (US$ Thousand),12966315.9189753
Sri Lanka,2017,...,...,Development,Trade Balance (current US$ Mil),-6279.8662546312
Sri Lanka,2017,...,...,Development,GDP (current US$ Mil),87357.2059231238
Sri Lanka,2017,...,...,Tariff,No. Of Tariff Agreement,10
Sri Lanka,2017,...,...,Import,No. Of Import partners,195
Sri Lanka,2017,...,...,Import,No. Of Import products,4246
Sri Lanka,2017,...,...,Export,No. Of Export partners,198
Sri Lanka,2017,...,...,Export,No. Of Export products,3121
Sri Lanka,2016,...,...,Others,Population,21203000
Sri Lanka,2018,...,...,Others,Ease of Doing Business Rank,111
Sri Lanka,2018,...,...,Others,Trading Across Borders Rank,86
Sri Lanka,2015,...,...,Others,CPIA Trade Ratings,3.5
Sri Lanka,2012,...,...,Others,No Of NTM Affected Products (HS 6 Digit),5052
Sri Lanka,2012,...,...,Others,No Of NTM Measures,38
Sri Lanka,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0742395
Sri Lanka,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0808426
Sri Lanka,,...,...,Others,Services Trade Restrictions Index - Over All,38.2
Sri Lanka,2017,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,24.8718
Sri Lanka,2017,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,8.8849
Sri Lanka,2017,India,All Products,Export,Partner share(%)-Top 5 Export Partner,6.725
Sri Lanka,2017,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,4.6599
Sri Lanka,2017,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,4.5281
Sri Lanka,2017,India,All Products,Import,Partner share(%)-Top 5 Import Partner,21.0829
Sri Lanka,2017,China,All Products,Import,Partner share(%)-Top 5 Import Partner,19.6537
Sri Lanka,2017,United Arab Emirates,All Products,Import,Partner share(%)-Top 5 Import Partner,7.3366
Sri Lanka,2017,Singapore,All Products,Import,Partner share(%)-Top 5 Import Partner,6.0615
Sri Lanka,2017,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,4.8699
Sri Lanka,2017,World,Animal,Export,Export Product share(%),2.1435
Sri Lanka,2017,World,Vegetable,Export,Export Product share(%),19.4708
Sri Lanka,2017,World,Food Products,Export,Export Product share(%),4.1599
