Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Luxembourg,2017,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3758.79986283103
Luxembourg,2017,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2062.87979074757
Luxembourg,2017,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1620.11696757748
Luxembourg,2017,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,779.380914780297
Luxembourg,2017,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,546.630459616617
Luxembourg,2017,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5114.32317291135
Luxembourg,2017,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5069.5723384583
Luxembourg,2017,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2496.03743517059
Luxembourg,2017,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1090.40779220189
Luxembourg,2017,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1085.07394696125
Luxembourg,2017,World,Animal,Export,Export(US$ Mil),531.613991790933
Luxembourg,2017,World,Vegetable,Export,Export(US$ Mil),143.233192292803
Luxembourg,2017,World,Food Products,Export,Export(US$ Mil),607.595376601972
Luxembourg,2017,World,Minerals,Export,Export(US$ Mil),81.2619394546104
Luxembourg,2017,World,Fuels,Export,Export(US$ Mil),11.2025861845986
Luxembourg,2017,World,Chemicals,Export,Export(US$ Mil),816.132327323826
Luxembourg,2017,World,Plastic or Rubber,Export,Export(US$ Mil),2049.55880734951
Luxembourg,2017,World,Hides and Skins,Export,Export(US$ Mil),14.0940899208817
Luxembourg,2017,World,Wood,Export,Export(US$ Mil),644.436519031043
Luxembourg,2017,World,Textiles and Clothing,Export,Export(US$ Mil),603.906632140159
Luxembourg,2017,World,Footwear,Export,Export(US$ Mil),53.7674260413344
Luxembourg,2017,World,Stone and Glass,Export,Export(US$ Mil),680.172779358378
Luxembourg,2017,World,Metals,Export,Export(US$ Mil),3240.44362317744
