Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Latvia,2017,Lithuania,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2159.13562353546
Latvia,2017,Estonia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1514.18975844069
Latvia,2017,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1185.17149096845
Latvia,2017,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,949.962982959956
Latvia,2017,Sweden,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,799.288589848721
Latvia,2017,Lithuania,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2944.86474028549
Latvia,2017,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1796.02215561469
Latvia,2017,Poland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1440.75655804353
Latvia,2017,Estonia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1220.21723940876
Latvia,2017,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1181.05221394244
Latvia,2017,World,Animal,Export,Export(US$ Mil),570.766355127612
Latvia,2017,World,Vegetable,Export,Export(US$ Mil),898.401612378687
Latvia,2017,World,Food Products,Export,Export(US$ Mil),1214.22784306648
Latvia,2017,World,Minerals,Export,Export(US$ Mil),66.5060471584616
Latvia,2017,World,Fuels,Export,Export(US$ Mil),538.494681446655
Latvia,2017,World,Chemicals,Export,Export(US$ Mil),971.356268770884
Latvia,2017,World,Plastic or Rubber,Export,Export(US$ Mil),415.258619915213
Latvia,2017,World,Hides and Skins,Export,Export(US$ Mil),31.3008629550239
Latvia,2017,World,Wood,Export,Export(US$ Mil),2434.62443160203
Latvia,2017,World,Textiles and Clothing,Export,Export(US$ Mil),392.724412373932
Latvia,2017,World,Footwear,Export,Export(US$ Mil),37.1698052563469
Latvia,2017,World,Stone and Glass,Export,Export(US$ Mil),393.906950758717
Latvia,2017,World,Metals,Export,Export(US$ Mil),1142.2683182188
Latvia,2017,World,Mach and Elec,Export,Export(US$ Mil),2257.52097786076
Latvia,2017,World,Transportation,Export,Export(US$ Mil),809.318831909099
Latvia,2017,World,Miscellaneous,Export,Export(US$ Mil),823.677681532748
Latvia,2017,World,Raw materials,Export,Export(US$ Mil),2047.29945493078
Latvia,2017,World,Intermediate goods,Export,Export(US$ Mil),2896.60275304358
Latvia,2017,World,Consumer goods,Export,Export(US$ Mil),4933.89543309246
Latvia,2017,World,Capital goods,Export,Export(US$ Mil),2727.54250829392
Latvia,2017,World,Raw materials,Import,Import(US$ Mil),1192.38992652482
Latvia,2017,World,Intermediate goods,Import,Import(US$ Mil),2708.84830442365
Latvia,2017,World,Consumer goods,Import,Import(US$ Mil),7071.90712169207
Latvia,2017,World,Capital goods,Import,Import(US$ Mil),3732.40683396152
Latvia,2017,World,All Products,Export,Exports (in US$ Mil),12997.5237003314
Latvia,2017,World,All Products,Import,Imports (in US$ Mil),15848.1655683826
