Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Macao,2016,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,737.325309
Macao,2016,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,397.326736
Macao,2016,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,86.005166
Macao,2016,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,24.350909
Macao,2016,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3.657689
Macao,2016,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3132.42622
Macao,2016,"Hong Kong, China",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,792.045907
Macao,2016,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,713.544378
Macao,2016,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,703.549466
Macao,2016,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,702.104279
Macao,2016,World,Animal,Export,Export(US$ Mil),0.24473
Macao,2016,World,Vegetable,Export,Export(US$ Mil),0.000437
Macao,2016,World,Food Products,Export,Export(US$ Mil),28.219043
Macao,2016,World,Minerals,Export,Export(US$ Mil),
Macao,2016,World,Fuels,Export,Export(US$ Mil),
Macao,2016,World,Chemicals,Export,Export(US$ Mil),7.456627
Macao,2016,World,Plastic or Rubber,Export,Export(US$ Mil),52.313135
Macao,2016,World,Hides and Skins,Export,Export(US$ Mil),44.855901
Macao,2016,World,Wood,Export,Export(US$ Mil),1.801398
Macao,2016,World,Textiles and Clothing,Export,Export(US$ Mil),20.571487
Macao,2016,World,Footwear,Export,Export(US$ Mil),26.161982
Macao,2016,World,Stone and Glass,Export,Export(US$ Mil),66.444483
Macao,2016,World,Metals,Export,Export(US$ Mil),10.555333
Macao,2016,World,Mach and Elec,Export,Export(US$ Mil),94.141636
Macao,2016,World,Transportation,Export,Export(US$ Mil),8.296265
Macao,2016,World,Miscellaneous,Export,Export(US$ Mil),895.540639
Macao,2016,World,Raw materials,Export,Export(US$ Mil),8.494476
Macao,2016,World,Intermediate goods,Export,Export(US$ Mil),2.970983
Macao,2016,World,Consumer goods,Export,Export(US$ Mil),376.164481
Macao,2016,World,Capital goods,Export,Export(US$ Mil),91.117299
Macao,2016,World,Raw materials,Import,Import(US$ Mil),410.121442
Macao,2016,World,Intermediate goods,Import,Import(US$ Mil),852.382663999999
Macao,2016,World,Consumer goods,Import,Import(US$ Mil),5282.45407100001
Macao,2016,World,Capital goods,Import,Import(US$ Mil),1343.356442
Macao,2016,World,All Products,Export,Exports (in US$ Mil),1256.603099
Macao,2016,World,All Products,Import,Imports (in US$ Mil),8924.463347
Macao,2016,World,All Products,Tariff,Duty Free Imports (US$ Thousand),10284830.194
Macao,2017,...,...,Development,Trade Balance (current US$ Mil),23863.8175928233
Macao,2017,...,...,Development,GDP (current US$ Mil),50361.2010964366
Macao,2016,...,...,Tariff,No. Of Tariff Agreement,1
Macao,2016,...,...,Import,No. Of Import partners,129
Macao,2016,...,...,Import,No. Of Import products,1741
Macao,2016,...,...,Export,No. Of Export partners,27
Macao,2016,...,...,Export,No. Of Export products,208
Macao,2016,...,...,Others,Population,612167
Macao,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0
