Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Morocco,2016,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5336.411067
Morocco,2016,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4827.951401
Morocco,2016,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1062.472957
Morocco,2016,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,795.395536
Morocco,2016,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,758.469397
Morocco,2016,Spain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,6553.540609
Morocco,2016,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5513.78675
Morocco,2016,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3804.065961
Morocco,2016,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2659.313906
Morocco,2016,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2452.467957
Morocco,2016,World,Animal,Export,Export(US$ Mil),1382.607179
Morocco,2016,World,Vegetable,Export,Export(US$ Mil),2109.218036
Morocco,2016,World,Food Products,Export,Export(US$ Mil),1457.936396
Morocco,2016,World,Minerals,Export,Export(US$ Mil),1191.083546
Morocco,2016,World,Fuels,Export,Export(US$ Mil),194.668775
Morocco,2016,World,Chemicals,Export,Export(US$ Mil),3549.882001
Morocco,2016,World,Plastic or Rubber,Export,Export(US$ Mil),211.344984
Morocco,2016,World,Hides and Skins,Export,Export(US$ Mil),110.604254
Morocco,2016,World,Wood,Export,Export(US$ Mil),155.257944
Morocco,2016,World,Textiles and Clothing,Export,Export(US$ Mil),3491.942627
Morocco,2016,World,Footwear,Export,Export(US$ Mil),313.678618
Morocco,2016,World,Stone and Glass,Export,Export(US$ Mil),360.117183
Morocco,2016,World,Metals,Export,Export(US$ Mil),523.346173
Morocco,2016,World,Mach and Elec,Export,Export(US$ Mil),4031.310804
Morocco,2016,World,Transportation,Export,Export(US$ Mil),3591.530534
Morocco,2016,World,Miscellaneous,Export,Export(US$ Mil),183.759471
Morocco,2016,World,Raw materials,Export,Export(US$ Mil),3585.103093
Morocco,2016,World,Intermediate goods,Export,Export(US$ Mil),5890.32953500001
Morocco,2016,World,Consumer goods,Export,Export(US$ Mil),11611.017669
Morocco,2016,World,Capital goods,Export,Export(US$ Mil),1770.010913
Morocco,2016,World,Raw materials,Import,Import(US$ Mil),3991.733516
Morocco,2016,World,Intermediate goods,Import,Import(US$ Mil),11871.920894
Morocco,2016,World,Consumer goods,Import,Import(US$ Mil),14788.250038
Morocco,2016,World,Capital goods,Import,Import(US$ Mil),10877.052284
Morocco,2016,World,All Products,Export,Exports (in US$ Mil),22858.288521
Morocco,2016,World,All Products,Import,Imports (in US$ Mil),41696.101721
Morocco,2016,World,All Products,Tariff,Duty Free Imports (US$ Thousand),27388004.878
Morocco,2017,...,...,Development,Trade Balance (current US$ Mil),-10432.4184894758
Morocco,2017,...,...,Development,GDP (current US$ Mil),109708.728848535
Morocco,2016,...,...,Tariff,No. Of Tariff Agreement,19
Morocco,2016,...,...,Import,No. Of Import partners,181
Morocco,2016,...,...,Import,No. Of Import products,4271
Morocco,2016,...,...,Export,No. Of Export partners,179
Morocco,2016,...,...,Export,No. Of Export products,3052
Morocco,2016,...,...,Others,Population,35276786
Morocco,2018,...,...,Others,Ease of Doing Business Rank,69
Morocco,2018,...,...,Others,Trading Across Borders Rank,65
Morocco,2016,...,...,Others,LPI Rank,86
Morocco,2016,...,...,Others,LPI Score,2.665994
Morocco,2013,...,...,Others,No Of NTM Affected Products (HS 6 Digit),11
Morocco,2013,...,...,Others,No Of NTM Measures,2
Morocco,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1545955
Morocco,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.2304282
Morocco,,...,...,Others,Services Trade Restrictions Index - Over All,21
Morocco,2016,Spain,All Products,Export,Partner share(%)-Top 5 Export Partner,23.3456
Morocco,2016,France,All Products,Export,Partner share(%)-Top 5 Export Partner,21.1212
Morocco,2016,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,4.6481
Morocco,2016,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,3.4797
Morocco,2016,India,All Products,Export,Partner share(%)-Top 5 Export Partner,3.3181
Morocco,2016,Spain,All Products,Import,Partner share(%)-Top 5 Import Partner,15.7174
Morocco,2016,France,All Products,Import,Partner share(%)-Top 5 Import Partner,13.2237
Morocco,2016,China,All Products,Import,Partner share(%)-Top 5 Import Partner,9.1233
Morocco,2016,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,6.3778
Morocco,2016,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,5.8818
Morocco,2016,World,Animal,Export,Export Product share(%),6.0486
Morocco,2016,World,Vegetable,Export,Export Product share(%),9.2274
Morocco,2016,World,Food Products,Export,Export Product share(%),6.3782
Morocco,2016,World,Minerals,Export,Export Product share(%),5.2107
Morocco,2016,World,Fuels,Export,Export Product share(%),0.8516
Morocco,2016,World,Chemicals,Export,Export Product share(%),15.53
Morocco,2016,World,Plastic or Rubber,Export,Export Product share(%),0.9246
Morocco,2016,World,Hides and Skins,Export,Export Product share(%),0.4839
Morocco,2016,World,Wood,Export,Export Product share(%),0.6792
Morocco,2016,World,Textiles and Clothing,Export,Export Product share(%),15.2765
Morocco,2016,World,Footwear,Export,Export Product share(%),1.3723
Morocco,2016,World,Stone and Glass,Export,Export Product share(%),1.5754
Morocco,2016,World,Metals,Export,Export Product share(%),2.2895
Morocco,2016,World,Mach and Elec,Export,Export Product share(%),17.6361
Morocco,2016,World,Transportation,Export,Export Product share(%),15.7122
Morocco,2016,World,Miscellaneous,Export,Export Product share(%),0.8039
Morocco,2016,World,Raw materials,Export,Export Product share(%),15.684
Morocco,2016,World,Intermediate goods,Export,Export Product share(%),25.7689
Morocco,2016,World,Consumer goods,Export,Export Product share(%),50.7957
Morocco,2016,World,Capital goods,Export,Export Product share(%),7.7434
Morocco,2016,World,Raw materials,Import,Import Product share(%),9.5734
Morocco,2016,World,Intermediate goods,Import,Import Product share(%),28.4725
Morocco,2016,World,Consumer goods,Import,Import Product share(%),35.4667
Morocco,2016,World,Capital goods,Import,Import Product share(%),26.0865
Morocco,2016,World,Raw materials,Tariff,Weighted Average (%),4.37336928686861
Morocco,2016,World,Intermediate goods,Tariff,Weighted Average (%),1.77728403890571
Morocco,2016,World,Consumer goods,Tariff,Weighted Average (%),3.3011460880096
Morocco,2016,World,Capital goods,Tariff,Weighted Average (%),1.81003904689374
Morocco,2016,World,All Products,Trade Indicator,World Growth (%),-1.59063243474449
Morocco,2016,World,All Products,Trade Indicator,Country Growth (%),1.45056629762834
Morocco,2016,World,All Products,Tariff,Simple Average (%),4.30347567236117
Morocco,2016,World,All Products,Tariff,Weighted Average (%),3.78383269035711
Morocco,2016,World,All Products,Tariff,Maximum Rate (%),200
Morocco,2016,World,All Products,Tariff,Duty Free Tariff Lines Share (%),64.3376892203647
Morocco,2016,...,...,Trade Indicator,Index of export market penetration,5.99848243417558
Morocco,2016,...,...,Trade Indicator,HH Market concentration index,0.0994285330464309
Morocco,2017,...,...,Development,Trade Balance (% of GDP),-9.5091963957389
Morocco,2017,...,...,Development,Trade in services (% of GDP),24.9370395907076
Morocco,2017,...,...,Development,Trade (% of GDP),83.7322968088878
Morocco,2017,...,...,Development,"GNI per capita, Atlas method (current US$)",2860
